gene	JC	K2P
FBgn0000008	 10.24 10.29
FBgn0028583	  7.41  7.46
FBgn0028644	  9.03  9.15
FBgn0028645	  4.11  4.11
FBgn0028646	  3.06  3.07
FBgn0028647	  6.46  6.47
FBgn0028648	  7.35  7.35
FBgn0028658	  8.46  8.48
FBgn0028662	 11.90 12.18
FBgn0028667	  8.41  8.41
FBgn0028669	  -0.00  -0.00
FBgn0028671	  8.55  8.55
FBgn0028675	  5.46  5.46
FBgn0028684	  3.06  3.06
FBgn0028685	  6.25  6.25
FBgn0028686	 14.16 14.27
FBgn0028688	  8.46  8.51
FBgn0028689	  1.07  1.08
FBgn0028690	  8.02  8.02
FBgn0028691	  1.13  1.13
FBgn0028692	 10.97 11.04
FBgn0028695	  3.26  3.26
FBgn0028699	  1.01  1.01
FBgn0028700	  5.98  5.98
FBgn0028704	  3.06  3.06
FBgn0028707	  -0.00  -0.00
FBgn0028708	  2.03  2.03
FBgn0028717	 11.90 11.92
FBgn0028734	  4.11  4.11
FBgn0028737	 15.50 15.70
FBgn0028738	  3.06  3.09
FBgn0028740	  3.16  3.17
FBgn0028743	  2.03  2.03
FBgn0028744	  6.25  6.25
FBgn0028789	  3.09  3.10
FBgn0028836	 14.68 14.73
FBgn0028837	  6.32  6.46
FBgn0028841	  3.09  3.10
FBgn0028844	  7.41  7.43
FBgn0028847	 20.66 20.83
FBgn0028848	 13.18 13.25
FBgn0028850	  -0.00  -0.00
FBgn0028852	  7.06  7.08
FBgn0028853	  8.12  8.26
FBgn0028855	  3.30  3.30
FBgn0028857	  5.61  5.61
FBgn0028858	 19.28 19.51
FBgn0028863	  3.06  3.07
FBgn0028866	  6.79  6.79
FBgn0028868	 15.66 15.73
FBgn0028870	 17.65 17.93
FBgn0028871	  2.05  2.05
FBgn0028872	  4.11  4.13
FBgn0028875	  2.03  2.03
FBgn0028878	  2.03  2.03
FBgn0028879	  1.01  1.01
FBgn0028882	  4.11  4.11
FBgn0028884	 13.85 13.87
FBgn0028887	 10.90 10.90
FBgn0028888	  1.01  1.01
FBgn0028889	 11.47 11.50
FBgn0028892	  6.32  6.36
FBgn0028893	 15.47 15.47
FBgn0028894	  2.26  2.26
FBgn0028895	  6.32  6.40
FBgn0028896	  7.06  7.06
FBgn0028897	 13.67 13.72
FBgn0028900	  6.90  6.90
FBgn0028901	  6.60  6.64
FBgn0028903	 13.67 13.69
FBgn0028909	 10.85 10.98
FBgn0028912	  4.74  4.78
FBgn0028913	  3.26  3.27
FBgn0028916	-nan	-nan
FBgn0028919	  3.09  3.10
FBgn0028920	  4.11  4.13
FBgn0028931	 14.93 14.97
FBgn0028932	 16.13 16.16
FBgn0028935	 12.16 12.22
FBgn0028936	  3.49  3.50
FBgn0028938	  1.06  1.06
FBgn0028939	  -0.00  -0.00
FBgn0028940	  3.41  3.42
FBgn0028941	  5.23  5.23
FBgn0028942	  3.09  3.10
FBgn0028944	  5.23  5.23
FBgn0028945	  5.52  5.52
FBgn0028946	  1.01  1.01
FBgn0028947	 13.22 13.39
FBgn0028948	  5.28  5.33
FBgn0028949	  3.19  3.20
FBgn0028950	  4.15  4.18
FBgn0028952	 11.09 11.16
FBgn0028956	 12.03 12.03
FBgn0028962	  6.25  6.26
FBgn0028963	  7.23  7.25
FBgn0028965	  9.90  9.90
FBgn0028968	  6.25  6.26
FBgn0028969	  9.69 10.03
FBgn0028978	  6.25  6.26
FBgn0028981	  3.13  3.13
FBgn0028983	  4.29  4.29
FBgn0028987	 12.16 12.18
FBgn0028992	 15.11 15.11
FBgn0028996	  1.01  1.01
FBgn0028997	 15.50 15.50
FBgn0028999	  -0.00  -0.00
FBgn0029002	  6.46  6.46
FBgn0029003	  6.25  6.29
FBgn0029006	 11.00 11.01
FBgn0029067	  1.01  1.01
FBgn0029079	 13.83 14.02
FBgn0029088	  8.83  8.84
FBgn0029093	  7.59  7.59
FBgn0029094	  9.59  9.59
FBgn0029095	  4.20  4.22
FBgn0029105	  1.01  1.01
FBgn0029113	  8.71  8.71
FBgn0029114	  2.14  2.14
FBgn0029117	  9.59  9.74
FBgn0029118	 15.50 15.70
FBgn0029121	 13.08 13.24
FBgn0029123	  2.03  2.03
FBgn0029133	 10.73 10.74
FBgn0029134	  6.25  6.29
FBgn0029137	  3.06  3.06
FBgn0029147	  9.57  9.58
FBgn0029152	  8.64  8.70
FBgn0029157	  7.35  7.37
FBgn0029158	  6.82  6.83
FBgn0029167	  2.05  2.05
FBgn0029174	  9.80  9.80
FBgn0029176	  8.46  8.46
FBgn0029503	 12.63 12.64
FBgn0029504	  4.11  4.11
FBgn0029506	  7.06  7.11
FBgn0029507	  7.15  7.19
FBgn0029508	  2.03  2.03
FBgn0029512	 18.20 18.36
FBgn0029518	  5.17  5.22
FBgn0029522	-nan	-nan
FBgn0029529	 13.08 13.24
FBgn0029531	  2.03  2.03
FBgn0029532	 10.73 10.76
FBgn0029535	  3.26  3.26
FBgn0029539	 10.01 10.03
FBgn0029552	  7.35  7.37
FBgn0029568	  -0.00  -0.00
FBgn0029573	  1.01  1.01
FBgn0029587	  5.34  5.39
FBgn0029588	 10.73 10.80
FBgn0029594	  7.35  7.35
FBgn0029596	 10.61 10.61
FBgn0029603	  5.27  5.29
FBgn0029606	  4.11  4.11
FBgn0029608	  -0.00  -0.00
FBgn0029639	  7.51  7.56
FBgn0029649	  5.64  5.64
FBgn0029657	  1.07  1.07
FBgn0029659	  6.39  6.40
FBgn0029662	  3.66  3.67
FBgn0029663	  2.05  2.05
FBgn0029665	 12.16 12.18
FBgn0029667	 10.61 10.62
FBgn0029681	  1.02  1.02
FBgn0029686	 19.50 19.52
FBgn0029688	  7.76  7.76
FBgn0029690	  2.03  2.03
FBgn0029693	  8.46  8.51
FBgn0029694	  7.51  7.52
FBgn0029696	  8.55  8.60
FBgn0029697	  3.06  3.07
FBgn0029700	 18.31 18.45
FBgn0029701	-nan	-nan
FBgn0029702	  2.09  2.09
FBgn0029703	-nan	-nan
FBgn0029705	 13.99 14.10
FBgn0029706	 13.08 13.24
FBgn0029708	  3.06  3.07
FBgn0029709	 14.76 15.01
FBgn0029710	 13.18 13.19
FBgn0029712	  6.39  6.42
FBgn0029714	 10.85 10.85
FBgn0029716	  1.08  1.08
FBgn0029718	  3.57  3.58
FBgn0029719	  8.23  8.24
FBgn0029720	  1.16  1.16
FBgn0029722	 21.76 21.79
FBgn0029723	  8.72  8.73
FBgn0029724	 12.43 12.45
FBgn0029725	 16.93 16.97
FBgn0029726	  5.17  5.20
FBgn0029727	 10.01 10.06
FBgn0029728	 15.85 15.87
FBgn0029729	  9.54  9.54
FBgn0029733	  9.59  9.67
FBgn0029736	  9.90  9.95
FBgn0029737	  9.93  9.94
FBgn0029747	  7.35  7.41
FBgn0029750	 14.68 15.01
FBgn0029751	-nan	-nan
FBgn0029752	-nan	-nan
FBgn0029753	 17.65 17.82
FBgn0029754	 10.45 10.45
FBgn0029756	  9.90  10.00
FBgn0029762	  -0.00  -0.00
FBgn0029768	  1.01  1.01
FBgn0029769	  9.59  9.63
FBgn0029770	 10.51 10.57
FBgn0029771	  6.05  6.07
FBgn0029778	 15.11 15.20
FBgn0029783	  3.14  3.14
FBgn0029789	  8.46  8.48
FBgn0029795	  4.11  4.11
FBgn0029798	 14.44 14.47
FBgn0029799	  7.99  8.00
FBgn0029800	  5.17  5.19
FBgn0029801	 22.11 22.82
FBgn0029804	  2.03  2.03
FBgn0029807	  1.15  1.15
FBgn0029809	  2.07  2.07
FBgn0029810	  3.06  3.09
FBgn0029811	  4.53  4.53
FBgn0029812	 38.31 45.81
FBgn0029813	  4.11  4.11
FBgn0029816	  -0.00  -0.00
FBgn0029819	  5.23  5.28
FBgn0029820	  5.23  5.24
FBgn0029821	 13.37 13.41
FBgn0029823	 13.08 13.33
FBgn0029824	  9.69  9.78
FBgn0029827	  -0.00  -0.00
FBgn0029828	  1.01  1.01
FBgn0029830	 10.73 10.80
FBgn0029831	  -0.00  -0.00
FBgn0029834	  5.17  5.19
FBgn0029835	  1.03  1.03
FBgn0029836	  -0.00  -0.00
FBgn0029837	  2.03  2.04
FBgn0029838	  6.60  6.64
FBgn0029839	  -0.00  -0.00
FBgn0029843	  3.06  3.06
FBgn0029848	  3.06  3.06
FBgn0029849	  9.90  9.91
FBgn0029851	  1.01  1.01
FBgn0029853	  2.03  2.04
FBgn0029854	  5.23  5.23
FBgn0029856	  8.93  8.93
FBgn0029857	  7.43  7.43
FBgn0029858	  5.34  5.34
FBgn0029860	  7.35  7.41
FBgn0029861	  6.25  6.29
FBgn0029863	  2.05  2.06
FBgn0029864	  2.21  2.21
FBgn0029867	  4.11  4.17
FBgn0029868	  5.84  5.90
FBgn0029870	  9.59  9.74
FBgn0029873	 15.36 15.42
FBgn0029874	 10.32 10.39
FBgn0029877	 19.41 19.70
FBgn0029881	  2.03  2.04
FBgn0029882	  8.46  8.48
FBgn0029885	  6.46  6.46
FBgn0029887	 12.80 13.25
FBgn0029888	  3.09  3.10
FBgn0029894	  4.29  4.30
FBgn0029895	  5.17  5.18
FBgn0029896	  -0.00  -0.00
FBgn0029898	  1.01  1.01
FBgn0029903	  5.23  5.23
FBgn0029905	  8.12  8.15
FBgn0029906	 10.61 10.65
FBgn0029907	  5.17  5.19
FBgn0029909	  3.09  3.10
FBgn0029911	  9.80  9.84
FBgn0029912	  8.55  8.57
FBgn0029913	  9.59  9.60
FBgn0029914	  7.23  7.34
FBgn0029915	  -0.00  -0.00
FBgn0029922	  4.33  4.34
FBgn0029924	  6.53  6.54
FBgn0029925	 11.90 12.08
FBgn0029928	  7.35  7.41
FBgn0029929	  6.67  6.71
FBgn0029930	  7.35  7.41
FBgn0029931	  5.28  5.30
FBgn0029932	  5.40  5.41
FBgn0029935	  5.40  5.41
FBgn0029936	  7.59  7.72
FBgn0029937	  3.49  3.50
FBgn0029939	 10.73 10.79
FBgn0029940	  7.59  7.59
FBgn0029942	 16.22 16.35
FBgn0029944	  7.43  7.44
FBgn0029945	 12.03 12.03
FBgn0029947	  9.69  9.78
FBgn0029948	  8.46  8.56
FBgn0029950	  1.08  1.09
FBgn0029951	  9.59  9.63
FBgn0029952	  5.40  5.41
FBgn0029955	  1.01  1.01
FBgn0029957	 16.74 16.74
FBgn0029958	  5.28  5.38
FBgn0029959	  9.90  10.00
FBgn0029961	  1.01  1.01
FBgn0029962	  3.26  3.27
FBgn0029963	  7.51  7.53
FBgn0029964	-nan	-nan
FBgn0029965	  3.06  3.06
FBgn0029966	  2.03  2.03
FBgn0029968	  5.17  5.18
FBgn0029969	  6.67  6.67
FBgn0029970	  5.28  5.33
FBgn0029974	  7.51  7.57
FBgn0029975	  5.28  5.33
FBgn0029977	  3.06  3.07
FBgn0029979	 14.58 14.76
FBgn0029980	 24.11 24.11
FBgn0029986	  9.56  9.57
FBgn0029990	 15.66 15.94
FBgn0029992	  5.23  5.24
FBgn0029993	  7.06  7.08
FBgn0029994	  2.39  2.39
FBgn0029995	  5.23  5.32
FBgn0029996	  3.09  3.10
FBgn0029997	  5.23  5.23
FBgn0029999	  5.46  5.46
FBgn0030000	 13.22 13.32
FBgn0030001	  2.03  2.03
FBgn0030003	-nan	-nan
FBgn0030004	  3.57  3.58
FBgn0030005	  2.03  2.03
FBgn0030007	  6.39  6.39
FBgn0030008	 17.43 17.44
FBgn0030009	  -0.00  -0.00
FBgn0030013	  5.17  5.18
FBgn0030014	  3.23  3.24
FBgn0030015	 11.63 11.64
FBgn0030016	  3.33  3.33
FBgn0030017	  3.13  3.13
FBgn0030018	 13.08 13.08
FBgn0030025	 13.37 13.41
FBgn0030026	  4.11  4.13
FBgn0030027	  4.11  4.11
FBgn0030028	  1.02  1.02
FBgn0030029	  1.01  1.01
FBgn0030030	  4.63  4.66
FBgn0030033	 17.65 17.66
FBgn0030034	  8.62  8.65
FBgn0030037	  1.15  1.15
FBgn0030038	  7.67  7.70
FBgn0030039	 11.21 11.29
FBgn0030040	 17.33 17.38
FBgn0030048	  9.59  9.60
FBgn0030049	  7.51  7.52
FBgn0030050	  2.11  2.11
FBgn0030051	 11.90 11.95
FBgn0030052	  8.46  8.56
FBgn0030053	  6.25  6.26
FBgn0030054	  9.59  9.60
FBgn0030055	 15.67 15.68
FBgn0030056	  8.83  8.95
FBgn0030057	 18.85 20.27
FBgn0030058	  -0.00  -0.00
FBgn0030060	  6.25  6.33
FBgn0030061	  6.46  6.49
FBgn0030063	  7.43  7.43
FBgn0030065	  5.23  5.23
FBgn0030066	  8.72  8.81
FBgn0030067	  6.90  6.90
FBgn0030071	 12.58 12.64
FBgn0030077	  6.25  6.39
FBgn0030081	  9.24  9.25
FBgn0030082	  4.11  4.11
FBgn0030085	  6.25  6.25
FBgn0030087	  8.55  8.55
FBgn0030089	  1.01  1.01
FBgn0030090	  3.09  3.10
FBgn0030091	 21.91 21.95
FBgn0030092	  8.46  8.48
FBgn0030093	 16.41 16.64
FBgn0030097	  7.59  7.59
FBgn0030098	  5.98  6.04
FBgn0030100	 12.43 12.45
FBgn0030101	  7.51  7.63
FBgn0030102	 15.36 15.42
FBgn0030103	  5.23  5.23
FBgn0030105	 14.02 14.03
FBgn0030107	  -0.00  -0.00
FBgn0030108	  7.41  7.52
FBgn0030109	 10.13 10.22
FBgn0030121	 12.87 12.94
FBgn0030122	  -0.00  -0.00
FBgn0030136	  6.25  6.26
FBgn0030141	  9.14  9.14
FBgn0030148	  2.07  2.07
FBgn0030151	 16.74 16.78
FBgn0030156	  3.16  3.19
FBgn0030157	 12.72 12.79
FBgn0030158	  -0.00  -0.00
FBgn0030159	  3.09  3.13
FBgn0030160	  8.55  8.60
FBgn0030161	  3.09  3.10
FBgn0030162	  7.35  7.41
FBgn0030167	  2.03  2.03
FBgn0030170	 11.47 11.72
FBgn0030174	  4.11  4.13
FBgn0030177	 10.85 10.87
FBgn0030178	 15.67 15.68
FBgn0030181	 12.03 12.11
FBgn0030186	  5.34  5.34
FBgn0030187	  2.05  2.05
FBgn0030196	 13.83 13.94
FBgn0030204	  3.06  3.07
FBgn0030206	  5.46  5.46
FBgn0030207	 15.19 15.28
FBgn0030208	 10.73 10.86
FBgn0030217	 10.73 10.76
FBgn0030218	  -0.00  -0.00
FBgn0030224	  5.17  5.18
FBgn0030228	 14.28 14.42
FBgn0030230	  3.06  3.07
FBgn0030234	  1.08  1.08
FBgn0030237	  2.14  2.14
FBgn0030239	  8.12  8.12
FBgn0030241	  8.46  8.51
FBgn0030242	 17.88 18.48
FBgn0030243	  9.10  9.12
FBgn0030244	  8.83  8.83
FBgn0030245	  8.83  8.84
FBgn0030246	 22.22 22.56
FBgn0030251	  9.69  9.92
FBgn0030257	  1.01  1.01
FBgn0030258	  9.69  9.70
FBgn0030259	  7.84  7.98
FBgn0030260	 13.67 13.69
FBgn0030262	  -0.00  -0.00
FBgn0030266	  6.25  6.25
FBgn0030268	  8.55  8.55
FBgn0030269	  5.17  5.19
FBgn0030270	  -0.00  -0.00
FBgn0030271	  3.19  3.20
FBgn0030272	  1.15  1.15
FBgn0030277	 12.16 12.22
FBgn0030278	 11.09 11.11
FBgn0030283	 11.90 11.91
FBgn0030286	  6.32  6.36
FBgn0030289	  9.14  9.16
FBgn0030290	  7.67  7.70
FBgn0030296	 10.73 10.74
FBgn0030297	 15.47 15.87
FBgn0030300	  2.09  2.09
FBgn0030301	  9.06  9.06
FBgn0030305	 12.03 12.04
FBgn0030310	 10.45 10.53
FBgn0030311	  7.43  7.55
FBgn0030313	  8.72  8.73
FBgn0030316	  7.51  7.57
FBgn0030317	  6.60  6.75
FBgn0030319	 14.76 14.77
FBgn0030320	 11.09 11.16
FBgn0030321	 11.47 11.49
FBgn0030323	 10.61 10.90
FBgn0030326	  2.28  2.30
FBgn0030328	  2.03  2.03
FBgn0030329	  2.03  2.04
FBgn0030334	  5.28  5.28
FBgn0030336	  4.58  4.61
FBgn0030338	 10.73 10.80
FBgn0030339	  2.05  2.05
FBgn0030342	  8.64  8.66
FBgn0030343	 10.48 10.53
FBgn0030344	  6.46  6.49
FBgn0030345	  4.15  4.16
FBgn0030346	  6.46  6.46
FBgn0030347	  5.40  5.41
FBgn0030348	  1.09  1.10
FBgn0030349	 11.09 11.42
FBgn0030350	 11.09 11.42
FBgn0030351	  6.90  6.90
FBgn0030357	  -0.00  -0.00
FBgn0030358	  5.58  5.58
FBgn0030359	  6.60  6.61
FBgn0030360	  7.23  7.25
FBgn0030361	  6.13  6.16
FBgn0030362	  8.01  8.01
FBgn0030364	 13.22 13.23
FBgn0030365	 12.17 12.34
FBgn0030367	 12.32 12.32
FBgn0030369	  -0.00  -0.00
FBgn0030370	 18.60 18.60
FBgn0030373	 10.97 11.00
FBgn0030375	  5.23  5.23
FBgn0030377	  9.54  9.62
FBgn0030384	 20.12 20.12
FBgn0030385	  5.17  5.19
FBgn0030390	  5.17  5.19
FBgn0030391	 21.07 21.19
FBgn0030394	  3.06  3.07
FBgn0030398	  1.01  1.01
FBgn0030400	 11.90 11.95
FBgn0030403	-nan	-nan
FBgn0030406	 13.13 13.18
FBgn0030407	 18.00 18.25
FBgn0030408	  1.08  1.09
FBgn0030409	 11.27 11.39
FBgn0030410	 13.08 13.12
FBgn0030411	  8.21  8.22
FBgn0030412	  8.83  8.89
FBgn0030417	 11.03 11.21
FBgn0030418	  4.11  4.17
FBgn0030425	  4.24  4.25
FBgn0030431	  5.28  5.28
FBgn0030432	  1.01  1.01
FBgn0030433	  4.43  4.46
FBgn0030434	  6.53  6.53
FBgn0030435	-nan	-nan
FBgn0030437	  5.28  5.28
FBgn0030438	  4.11  4.17
FBgn0030439	  5.17  5.19
FBgn0030440	 11.85 11.88
FBgn0030443	  8.51  8.55
FBgn0030447	  4.15  4.15
FBgn0030451	  8.21  8.24
FBgn0030457	  7.59  7.59
FBgn0030459	  2.33  2.34
FBgn0030465	  9.59  9.67
FBgn0030466	  9.69  9.74
FBgn0030467	  1.01  1.01
FBgn0030468	 13.13 13.34
FBgn0030477	  3.06  3.07
FBgn0030479	  6.46  6.54
FBgn0030480	 12.03 12.06
FBgn0030481	 10.86 10.87
FBgn0030482	  1.01  1.01
FBgn0030483	 15.05 15.11
FBgn0030484	  3.06  3.09
FBgn0030485	 15.85 15.85
FBgn0030486	  8.64  8.66
FBgn0030492	  5.17  5.22
FBgn0030493	  1.01  1.01
FBgn0030494	  2.31  2.31
FBgn0030495	  3.30  3.31
FBgn0030500	  8.46  8.48
FBgn0030501	  7.35  7.35
FBgn0030502	  5.40  5.40
FBgn0030503	 10.06 10.08
FBgn0030504	 13.83 13.94
FBgn0030505	  9.59  9.63
FBgn0030507	  7.76  7.76
FBgn0030508	  3.06  3.06
FBgn0030509	  9.59  9.82
FBgn0030510	  6.25  6.29
FBgn0030511	  2.11  2.12
FBgn0030514	 11.27 11.39
FBgn0030518	  5.98  6.00
FBgn0030519	  5.23  5.23
FBgn0030521	 11.90 12.01
FBgn0030522	 11.61 11.64
FBgn0030525	-nan	-nan
FBgn0030528	  8.46  8.51
FBgn0030530	  6.61  6.64
FBgn0030536	  6.75  6.76
FBgn0030537	  1.12  1.12
FBgn0030539	  6.61  6.61
FBgn0030540	  3.16  3.17
FBgn0030541	  2.18  2.20
FBgn0030542	  7.35  7.37
FBgn0030543	  -0.00  -0.00
FBgn0030544	  2.09  2.11
FBgn0030545	  9.03  9.05
FBgn0030551	 14.33 14.34
FBgn0030552	  8.46  8.48
FBgn0030554	  6.25  6.29
FBgn0030555	  6.53  6.54
FBgn0030556	 13.37 13.38
FBgn0030559	  6.25  6.29
FBgn0030562	  2.03  2.03
FBgn0030569	  -0.00  -0.00
FBgn0030570	  3.09  3.13
FBgn0030571	 15.64 15.78
FBgn0030574	  7.43  7.44
FBgn0030575	  1.04  1.04
FBgn0030576	  5.17  5.22
FBgn0030577	-nan	-nan
FBgn0030581	  6.53  6.53
FBgn0030583	  8.55  8.55
FBgn0030586	  3.06  3.07
FBgn0030587	  7.80  7.80
FBgn0030588	  1.01  1.01
FBgn0030589	  3.06  3.09
FBgn0030590	  -0.00  -0.00
FBgn0030592	  1.02  1.02
FBgn0030593	  2.05  2.06
FBgn0030594	 13.67 13.79
FBgn0030595	  2.03  2.03
FBgn0030596	  6.25  6.26
FBgn0030597	  5.17  5.19
FBgn0030598	  6.60  6.64
FBgn0030599	-nan	-nan
FBgn0030600	  1.01  1.01
FBgn0030603	  4.29  4.29
FBgn0030605	 22.17 22.26
FBgn0030607	  9.90  9.95
FBgn0030608	  3.06  3.07
FBgn0030610	  3.06  3.09
FBgn0030611	  9.69  9.69
FBgn0030612	  9.59  9.63
FBgn0030613	  4.11  4.11
FBgn0030614	 15.85 15.95
FBgn0030615	  2.51  2.53
FBgn0030616	 10.73 10.74
FBgn0030617	  1.01  1.01
FBgn0030620	 12.80 12.80
FBgn0030622	  5.23  5.28
FBgn0030624	  8.46  8.48
FBgn0030628	 14.16 14.36
FBgn0030634	  1.12  1.12
FBgn0030638	  8.46  8.51
FBgn0030642	  -0.00  -0.00
FBgn0030643	  -0.00  -0.00
FBgn0030647	  7.23  7.28
FBgn0030648	  3.73  3.74
FBgn0030653	 22.17 22.33
FBgn0030657	  6.90  6.91
FBgn0030659	  9.35  9.37
FBgn0030660	 17.10 17.11
FBgn0030661	  2.21  2.21
FBgn0030662	  3.16  3.16
FBgn0030663	 17.73 17.73
FBgn0030664	 25.55 25.68
FBgn0030666	  6.36  6.36
FBgn0030667	-nan	-nan
FBgn0030670	 15.85 15.87
FBgn0030671	 12.96 13.07
FBgn0030672	  2.03  2.04
FBgn0030673	  2.05  2.06
FBgn0030675	  8.46  8.46
FBgn0030676	 10.73 10.74
FBgn0030678	 10.48 10.53
FBgn0030679	  6.53  6.60
FBgn0030683	  8.83  8.85
FBgn0030684	  4.69  4.72
FBgn0030685	  8.46  8.51
FBgn0030686	  8.62  8.65
FBgn0030687	  5.34  5.39
FBgn0030688	  5.17  5.19
FBgn0030691	  7.32  7.34
FBgn0030699	  9.59  9.60
FBgn0030700	 17.22 17.68
FBgn0030701	  4.11  4.11
FBgn0030703	-nan	-nan
FBgn0030706	  2.03  2.03
FBgn0030707	  1.01  1.01
FBgn0030710	  8.41  8.44
FBgn0030711	 27.08 27.62
FBgn0030715	 15.11 15.11
FBgn0030716	  4.11  4.11
FBgn0030717	  4.38  4.38
FBgn0030718	  5.28  5.28
FBgn0030720	  9.59  9.63
FBgn0030721	  6.60  6.64
FBgn0030722	  8.95  8.95
FBgn0030723	  3.06  3.07
FBgn0030724	  5.46  5.46
FBgn0030725	 14.76 14.77
FBgn0030729	  -0.00  -0.00
FBgn0030731	  6.13  6.19
FBgn0030733	 16.80 16.88
FBgn0030734	  5.17  5.18
FBgn0030735	  3.06  3.07
FBgn0030738	  4.63  4.66
FBgn0030740	 12.58 12.60
FBgn0030742	  4.15  4.18
FBgn0030743	  -0.00  -0.00
FBgn0030746	  9.90  9.91
FBgn0030747	  5.17  5.19
FBgn0030748	 10.36 10.41
FBgn0030749	  7.35  7.47
FBgn0030752	  6.75  6.79
FBgn0030753	 15.85 16.27
FBgn0030756	  2.03  2.03
FBgn0030759	  8.41  8.44
FBgn0030763	  1.01  1.01
FBgn0030766	  5.17  5.22
FBgn0030768	 12.32 12.36
FBgn0030769	  6.82  6.83
FBgn0030770	  9.14  9.16
FBgn0030773	  7.51  7.59
FBgn0030774	  8.74  8.75
FBgn0030775	  5.40  5.40
FBgn0030777	  1.08  1.09
FBgn0030778	  3.09  3.13
FBgn0030780	  5.23  5.24
FBgn0030786	 13.08 13.12
FBgn0030787	-nan	-nan
FBgn0030788	-nan	-nan
FBgn0030790	  6.25  6.26
FBgn0030791	 10.36 10.46
FBgn0030792	 16.37 16.54
FBgn0030793	 14.33 14.33
FBgn0030795	  8.46  8.51
FBgn0030796	  2.03  2.03
FBgn0030798	  1.13  1.14
FBgn0030799	 16.22 16.24
FBgn0030800	 18.85 19.09
FBgn0030801	 17.01 17.16
FBgn0030804	  2.03  2.03
FBgn0030805	  8.74  8.85
FBgn0030806	  7.18  7.21
FBgn0030807	 11.90 11.91
FBgn0030809	  7.51  7.57
FBgn0030812	  7.35  7.47
FBgn0030814	 13.02 13.03
FBgn0030815	  -0.00  -0.00
FBgn0030823	 11.56 11.58
FBgn0030824	  1.01  1.01
FBgn0030826	  -0.00  -0.00
FBgn0030828	  2.21  2.21
FBgn0030829	  2.03  2.03
FBgn0030830	  1.01  1.01
FBgn0030832	  2.03  2.03
FBgn0030834	  9.80  9.89
FBgn0030836	  8.46  8.56
FBgn0030837	 18.61 18.63
FBgn0030838	 22.39 22.39
FBgn0030839	  6.25  6.26
FBgn0030840	  7.06  7.11
FBgn0030841	  2.05  2.05
FBgn0030844	  1.08  1.08
FBgn0030847	  6.32  6.32
FBgn0030850	  9.69  9.71
FBgn0030851	  5.46  5.46
FBgn0030853	  9.59  9.74
FBgn0030854	  9.69  9.70
FBgn0030855	 13.02 13.05
FBgn0030859	  1.01  1.01
FBgn0030863	  8.46  8.46
FBgn0030864	  8.74  8.92
FBgn0030868	  3.06  3.06
FBgn0030869	  6.90  7.00
FBgn0030870	  -0.00  -0.00
FBgn0030872	 16.93 17.11
FBgn0030873	  5.23  5.23
FBgn0030874	  4.15  4.15
FBgn0030876	  4.11  4.13
FBgn0030877	  6.32  6.32
FBgn0030878	 10.32 10.47
FBgn0030880	  3.13  3.13
FBgn0030881	  9.93  9.96
FBgn0030883	  4.11  4.11
FBgn0030884	  5.17  5.20
FBgn0030887	  1.01  1.01
FBgn0030889	  5.17  5.18
FBgn0030890	  6.39  6.47
FBgn0030891	 12.03 12.03
FBgn0030893	 10.85 10.88
FBgn0030894	  1.01  1.01
FBgn0030895	  1.01  1.01
FBgn0030897	  1.01  1.01
FBgn0030898	 10.26 10.39
FBgn0030900	  3.13  3.13
FBgn0030904	  -0.00  -0.00
FBgn0030905	 10.97 11.11
FBgn0030911	  3.37  3.38
FBgn0030912	  6.25  6.33
FBgn0030913	  2.05  2.05
FBgn0030914	  4.33  4.33
FBgn0030915	 19.50 19.73
FBgn0030918	 16.41 16.59
FBgn0030921	  4.43  4.43
FBgn0030925	  3.06  3.06
FBgn0030926	  4.86  4.87
FBgn0030927	  3.75  3.76
FBgn0030928	  3.23  3.26
FBgn0030929	  3.06  3.06
FBgn0030930	  4.11  4.11
FBgn0030931	  6.25  6.25
FBgn0030933	 34.70 34.86
FBgn0030936	-nan	-nan
FBgn0030937	 10.73 10.85
FBgn0030941	  5.46  5.47
FBgn0030944	  2.18  2.18
FBgn0030945	 14.86 14.88
FBgn0030946	 14.44 14.44
FBgn0030947	  5.17  5.18
FBgn0030949	  6.46  6.46
FBgn0030951	  9.83  9.94
FBgn0030952	  1.01  1.01
FBgn0030954	  -0.00  -0.00
FBgn0030955	  -0.00  -0.00
FBgn0030956	 13.08 13.09
FBgn0030961	  3.45  3.45
FBgn0030963	  9.69  9.69
FBgn0030964	  4.24  4.27
FBgn0030966	  6.25  6.25
FBgn0030969	 13.49 13.49
FBgn0030970	  9.03  9.09
FBgn0030973	  9.69  9.78
FBgn0030976	  2.03  2.04
FBgn0030979	 13.83 13.84
FBgn0030980	  3.09  3.09
FBgn0030981	  1.01  1.01
FBgn0030982	  7.32  7.32
FBgn0030983	  7.15  7.19
FBgn0030985	  6.53  6.54
FBgn0030989	  3.37  3.37
FBgn0030990	 14.02 14.05
FBgn0030991	 12.03 12.04
FBgn0030992	  7.35  7.37
FBgn0030995	 12.03 12.03
FBgn0030997	 10.57 10.62
FBgn0030998	 10.73 10.85
FBgn0030999	  3.16  3.17
FBgn0031000	  4.58  4.61
FBgn0031001	  7.41  7.46
FBgn0031002	  -0.00  -0.00
FBgn0031004	  6.25  6.25
FBgn0031005	  7.67  7.70
