gene	N	S	dN	dS	w
FBgn0028895	919.5	319.5	0.0002	0.1861	0.001
FBgn0028897	705.0	219.0	0.0058	0.1422	0.0405
FBgn0028899	5334.2	1481.8	0.0728	0.1647	0.4419
FBgn0028901	4408.6	1243.4	0.0919	0.1727	0.532
FBgn0028902	1339.6	415.4	0.0038	0.1721	0.0218
FBgn0028903	962.6	252.4	0.0042	0.1281	0.0326
FBgn0028913	342.5	110.5	0.0241	0.1538	0.1565
FBgn0028916	2291.4	549.6	0.0076	0.1355	0.0557
FBgn0028919	579.3	161.7	0.0088	0.2203	0.0402
FBgn0028920	613.2	160.8	0.0169	0.1369	0.1235
FBgn0028926	453.1	95.9	0.0002	0.1963	0.001
FBgn0028931	1481.5	498.5	0.0383	0.0839	0.457
FBgn0028932	632.7	141.3	0.012	0.0871	0.1382
FBgn0028935	1637.6	492.4	0.0309	0.1433	0.2154
FBgn0028940	1146.6	368.4	0.016	0.0889	0.1797
FBgn0028941	643.4	247.6	0.0388	0.1411	0.2749
FBgn0028942	526.2	181.8	0.068	0.1535	0.443
FBgn0028943	253.0	68.0	0.008	0.1109	0.0725
FBgn0028944	569.3	183.7	0.0393	0.128	0.307
FBgn0028945	589.2	172.8	0.0102	0.1848	0.0549
FBgn0028946	923.5	303.5	0.0099	0.1154	0.0861
FBgn0028947	548.5	171.5	0.0259	0.1554	0.1665
FBgn0028948	573.6	185.4	0.011	0.1141	0.0961
FBgn0028949	613.0	149.0	0.01	0.1332	0.075
FBgn0028950	577.1	205.9	0.0053	0.126	0.0417
FBgn0028952	1193.7	450.3	0.0284	0.0552	0.5144
FBgn0028953	1154.9	381.1	0.0018	0.0764	0.023
FBgn0028955	206.1	33.9	0.0251	0.1342	0.1868
FBgn0028962	2314.1	721.9	0.0101	0.1323	0.0762
FBgn0028963	855.0	270.0	0.0059	0.1188	0.05
FBgn0028965	901.8	226.2	0.0174	0.0791	0.2198
FBgn0028968	2051.6	582.4	0.0098	0.1443	0.0676
FBgn0028969	1248.1	347.9	0.005	0.1243	0.0399
FBgn0028970	862.0	176.0	0.0035	0.2289	0.0154
FBgn0028978	1173.8	272.2	0.0078	0.1227	0.0633
FBgn0028979	2168.5	888.5	0.0198	0.1038	0.1911
FBgn0028980	716.1	177.9	0.0155	0.1566	0.0992
FBgn0028982	4384.9	1105.1	0.0069	0.1296	0.0534
FBgn0028983	914.3	207.7	0.0067	0.0774	0.0869
FBgn0028984	1000.7	280.3	0.0111	0.2123	0.0524
FBgn0028988	857.8	258.2	0.0107	0.1373	0.0779
FBgn0028990	1083.7	257.3	0.0067	0.1571	0.0426
FBgn0028992	809.4	168.6	0.0089	0.206	0.0434
FBgn0028996	2376.4	857.6	0.0324	0.1059	0.3058
FBgn0028997	918.0	243.0	0.0066	0.154	0.0429
FBgn0028999	1113.8	293.2	0.021	0.1504	0.1394
FBgn0029002	603.0	234.0	0.0203	0.1077	0.1885
FBgn0029003	920.3	174.7	0.0046	0.1726	0.0266
FBgn0029006	2338.2	841.8	0.0035	0.107	0.0323
FBgn0029067	519.8	209.2	0.0001	0.0596	0.001
FBgn0029079	513.2	131.8	0.0078	0.1761	0.0441
FBgn0029084	713.4	192.6	0.0144	0.144	0.0999
FBgn0029088	2786.7	867.3	0.0069	0.1569	0.0441
FBgn0029091	3225.0	951.0	0.0082	0.1249	0.0654
FBgn0029092	1275.7	275.3	0.0032	0.1016	0.0311
FBgn0029093	908.1	267.9	0.0045	0.1355	0.0332
FBgn0029094	497.0	157.0	0.004	0.0912	0.0443
FBgn0029095	1865.1	549.9	0.006	0.1343	0.0446
FBgn0029105	2030.6	396.4	0.002	0.106	0.0188
FBgn0029113	1596.2	500.8	0.0102	0.1019	0.0999
FBgn0029114	3075.2	962.8	0.0034	0.1045	0.0322
FBgn0029117	661.9	238.1	0.0204	0.1264	0.1616
FBgn0029118	926.7	321.3	0.0044	0.1341	0.0327
FBgn0029121	651.9	254.1	0.0237	0.1057	0.2241
FBgn0029123	1649.7	498.3	0.0012	0.1037	0.0119
FBgn0029131	683.8	216.2	0.0045	0.098	0.0459
FBgn0029133	584.9	150.1	0.0104	0.2011	0.0519
FBgn0029134	681.8	164.2	0.009	0.1361	0.0658
FBgn0029137	1333.4	421.6	0.0008	0.144	0.0052
FBgn0029147	1355.9	399.1	0.0212	0.1147	0.1849
FBgn0029148	389.2	90.8	0.0002	0.159	0.001
FBgn0029152	926.3	231.7	0.0155	0.1571	0.0984
FBgn0029153	1317.3	482.7	0.0211	0.1437	0.1465
FBgn0029154	1367.3	462.7	0.0103	0.1874	0.0552
FBgn0029155	1451.6	420.4	0.0007	0.1191	0.0059
FBgn0029157	2788.1	781.9	0.0176	0.0827	0.2126
FBgn0029158	860.7	270.3	0.0083	0.1684	0.0495
FBgn0029161	556.9	88.1	0.0001	0.0846	0.001
FBgn0029167	8742.7	2777.3	0.0083	0.1499	0.0554
FBgn0029170	629.1	216.9	0.0107	0.0536	0.1988
FBgn0029172	813.9	251.1	0.0352	0.149	0.2362
FBgn0029174	1048.1	268.9	0.009	0.1137	0.0793
FBgn0029175	1603.1	547.9	0.0013	0.1238	0.0102
FBgn0029176	1141.1	151.9	0.0027	0.1019	0.0267
FBgn0029501	1756.6	478.4	0.0196	0.1344	0.1462
FBgn0029502	483.0	174.0	0.0106	0.1097	0.0964
FBgn0029503	804.1	257.9	0.018	0.0787	0.2287
FBgn0029504	2623.8	1069.2	0.0157	0.096	0.1636
FBgn0029506	500.6	183.4	0.0685	0.0918	0.7463
FBgn0029507	544.2	136.8	0.0019	0.142	0.0133
FBgn0029508	563.5	114.5	0.0222	0.1208	0.1834
FBgn0029512	759.2	251.8	0.0108	0.1666	0.0646
FBgn0029514	564.1	152.9	0.0107	0.2003	0.0535
FBgn0029521	834.8	341.2	0.0219	0.1189	0.1841
FBgn0029525	2995.8	1123.2	0.0268	0.1057	0.2535
FBgn0029529	297.0	45.0	0.0069	0.265	0.0259
FBgn0029531	660.9	299.1	0.0396	0.0929	0.4264
FBgn0029532	1032.3	392.7	0.0188	0.1102	0.1703
FBgn0029535	250.6	106.4	0.0596	0.1243	0.4795
FBgn0029552	299.1	84.9	0.0393	0.2112	0.186
FBgn0029568	948.7	359.3	0.0296	0.0809	0.3656
FBgn0029573	403.2	49.8	0.005	0.3589	0.0139
FBgn0029580	463.0	95.0	0.0022	0.0887	0.0253
FBgn0029587	501.0	162.0	0.0143	0.0938	0.1524
FBgn0029594	393.6	134.4	0.0001	0.1097	0.001
FBgn0029596	437.2	168.8	0.0632	0.1975	0.3199
FBgn0029603	477.5	182.5	0.1409	0.1904	0.7399
FBgn0029608	693.5	215.5	0.0224	0.1472	0.1524
FBgn0029629	702.6	104.4	0.0029	0.2255	0.0128
FBgn0029642	541.0	194.0	0.0693	0.1761	0.3935
FBgn0029643	685.4	193.6	0.0285	0.1814	0.157
FBgn0029644	580.7	133.3	0.0247	0.1218	0.2026
FBgn0029645	683.3	177.7	0.0722	0.345	0.2092
FBgn0029646	718.9	196.1	0.0182	0.1863	0.0976
FBgn0029647	322.0	122.0	0.0649	0.1017	0.6381
FBgn0029648	544.8	202.2	0.0056	0.1793	0.0313
FBgn0029649	599.1	192.9	0.019	0.0968	0.1968
FBgn0029656	1074.4	359.6	0.0202	0.2626	0.0768
FBgn0029657	457.8	157.2	0.0461	0.3939	0.117
FBgn0029658	432.8	137.2	0.036	0.3087	0.1167
FBgn0029659	451.9	148.1	0.0114	0.4662	0.0244
FBgn0029660	1250.7	420.3	0.1776	0.3853	0.4609
FBgn0029661	860.3	282.7	0.1412	0.344	0.4104
FBgn0029662	1275.2	458.8	0.0373	0.1943	0.1918
FBgn0029663	1630.4	547.6	0.0012	0.1784	0.007
FBgn0029664	964.2	343.8	0.0139	0.1503	0.0928
FBgn0029665	442.6	130.4	0.0186	0.117	0.159
FBgn0029666	1382.1	468.9	0.059	0.1427	0.4133
FBgn0029667	1172.3	264.7	0.0009	0.277	0.0031
FBgn0029672	1090.1	400.9	0.029	0.1919	0.1511
FBgn0029679	1502.8	444.2	0.0686	0.1706	0.4023
FBgn0029681	1049.7	393.3	0.0097	0.1413	0.0689
FBgn0029685	1920.0	657.0	0.0063	0.1043	0.0608
FBgn0029687	603.9	203.1	0.0308	0.0529	0.5826
FBgn0029688	6162.9	2159.1	0.0132	0.1087	0.1219
FBgn0029689	1417.4	475.6	0.0065	0.1367	0.0473
FBgn0029690	1293.6	455.4	0.0078	0.0915	0.0854
FBgn0029693	1887.7	476.3	0.02	0.1197	0.1672
FBgn0029696	324.6	131.4	0.0288	0.0805	0.3576
FBgn0029697	2789.9	1032.1	0.0574	0.1777	0.3233
FBgn0029700	276.5	92.5	0.111	0.1159	0.9577
FBgn0029701	350.0	100.0	0.0234	0.1554	0.1506
FBgn0029702	1090.4	334.6	0.0694	0.1065	0.6514
FBgn0029703	1211.9	435.1	0.1691	0.2737	0.618
FBgn0029705	957.7	299.3	0.132	0.1587	0.8316
FBgn0029706	2156.4	657.6	0.0038	0.1081	0.0349
FBgn0029707	209.8	69.2	0.0048	0.0307	0.1563
FBgn0029708	1343.2	441.8	0.0038	0.0814	0.0465
FBgn0029709	535.4	88.6	0.0076	0.1241	0.0614
FBgn0029710	1138.8	385.2	0.0788	0.1777	0.4436
FBgn0029711	985.7	310.3	0.0231	0.1546	0.1492
FBgn0029712	545.3	192.7	0.0188	0.115	0.1635
FBgn0029713	1057.7	337.3	0.0048	0.1581	0.0301
FBgn0029714	585.6	170.4	0.0052	0.1484	0.0348
FBgn0029715	480.7	161.3	0.0219	0.1852	0.1185
FBgn0029716	1469.5	393.5	0.0126	0.1594	0.0788
FBgn0029717	520.3	172.7	0.0888	0.1775	0.5005
FBgn0029718	402.8	137.2	0.0128	0.167	0.0766
FBgn0029719	1548.9	563.1	0.0378	0.1553	0.243
FBgn0029720	784.3	235.7	0.0039	0.1119	0.0344
FBgn0029722	1136.4	291.6	0.008	0.1676	0.0479
FBgn0029723	1184.3	444.7	0.0158	0.1299	0.1218
FBgn0029724	609.8	212.2	0.1377	0.1929	0.7141
FBgn0029726	283.0	101.0	0.0625	0.1129	0.5539
FBgn0029727	1090.1	346.9	0.0222	0.1925	0.1152
FBgn0029728	3973.7	1381.3	0.2077	0.25	0.831
FBgn0029729	510.9	167.1	0.0632	0.2213	0.2857
FBgn0029733	1184.3	387.7	0.0061	0.1303	0.0467
FBgn0029736	1864.6	592.4	0.0033	0.1043	0.0313
FBgn0029737	1329.4	398.6	0.0117	0.1655	0.0705
FBgn0029740	495.0	150.0	0.0377	0.1741	0.2165
FBgn0029745	711.8	260.2	0.0848	0.1909	0.4441
FBgn0029746	904.6	343.4	0.0225	0.1319	0.1708
FBgn0029747	1354.5	379.5	0.0098	0.2758	0.0357
FBgn0029750	1694.0	517.0	0.0846	0.2859	0.296
FBgn0029751	571.1	187.9	0.12	0.2703	0.444
FBgn0029752	365.6	93.4	0.1073	0.3305	0.3247
FBgn0029753	1037.0	301.0	0.0739	0.3304	0.2238
FBgn0029754	1076.7	342.3	0.3301	0.4031	0.8188
FBgn0029755	1021.0	248.0	0.0183	0.175	0.1046
FBgn0029756	1504.0	398.0	0.0088	0.2037	0.043
FBgn0029761	2156.8	777.2	0.0042	0.063	0.0664
FBgn0029762	1486.3	436.7	0.007	0.1815	0.0384
FBgn0029765	337.5	118.5	0.0092	0.1843	0.0499
FBgn0029766	1183.5	403.5	0.0581	0.1817	0.3196
FBgn0029768	1041.4	263.6	0.0039	0.2735	0.0143
FBgn0029769	1404.1	428.9	0.0748	0.2044	0.3661
FBgn0029770	450.4	95.6	0.0181	0.2192	0.0826
FBgn0029771	349.9	94.1	0.003	0.1334	0.0221
FBgn0029778	1198.3	283.7	0.0025	0.1275	0.0197
FBgn0029783	741.2	194.8	0.0055	0.1797	0.0304
FBgn0029785	315.5	53.5	0.0032	0.0864	0.0375
FBgn0029789	2208.7	731.3	0.0098	0.1385	0.0706
FBgn0029791	2390.7	582.3	0.0094	0.1556	0.0604
FBgn0029798	2241.8	713.2	0.0045	0.1268	0.0356
FBgn0029799	566.8	186.2	0.0054	0.0886	0.0612
FBgn0029800	344.9	120.1	0.0679	0.1337	0.5077
FBgn0029801	832.2	223.8	0.0159	0.1136	0.1399
FBgn0029804	1057.7	268.3	0.0058	0.0829	0.0698
FBgn0029807	2424.6	917.4	0.026	0.1673	0.1554
FBgn0029809	802.9	301.1	0.0298	0.1362	0.2191
FBgn0029810	1334.6	564.4	0.047	0.095	0.4945
FBgn0029812	724.8	196.2	0.0243	0.2299	0.1057
FBgn0029813	492.4	155.6	0.0186	0.1791	0.1039
FBgn0029814	1794.0	816.0	0.0108	0.0631	0.1713
FBgn0029816	518.5	177.5	0.0467	0.1021	0.457
FBgn0029818	1538.3	483.7	0.0033	0.1298	0.0256
FBgn0029819	1263.2	410.8	0.0056	0.116	0.0485
FBgn0029820	1181.3	300.7	0.0156	0.14	0.1114
FBgn0029821	1168.4	313.6	0.0061	0.1371	0.0444
FBgn0029822	1281.1	359.9	0.0064	0.1273	0.0504
FBgn0029823	1309.8	301.2	0.0109	0.1855	0.0589
FBgn0029824	1520.8	513.2	0.0148	0.128	0.1159
FBgn0029826	686.2	228.8	0.0261	0.1169	0.2236
FBgn0029827	777.3	296.7	0.0426	0.1456	0.2929
FBgn0029828	680.7	240.3	0.0227	0.114	0.1988
FBgn0029830	2443.7	730.3	0.0037	0.1368	0.0273
FBgn0029831	1213.5	406.5	0.0025	0.1232	0.0203
FBgn0029833	443.3	102.7	0.0023	0.2426	0.0095
FBgn0029834	4759.1	1393.9	0.0011	0.1288	0.0083
FBgn0029835	1999.6	637.4	0.0122	0.1019	0.1201
FBgn0029836	429.8	110.2	0.1117	0.2201	0.5076
FBgn0029837	672.4	176.6	0.0001	0.1458	0.001
FBgn0029838	473.1	105.9	0.0002	0.182	0.001
FBgn0029839	639.2	143.8	0.0096	0.1526	0.0627
FBgn0029840	3657.8	1199.2	0.0112	0.1102	0.1018
FBgn0029843	2053.9	469.1	0.001	0.1541	0.0064
FBgn0029848	1238.1	420.9	0.0317	0.1493	0.2123
FBgn0029849	830.7	225.3	0.0025	0.1708	0.0145
FBgn0029851	836.6	231.4	0.0001	0.0661	0.001
FBgn0029853	521.0	142.0	0.0264	0.2382	0.111
FBgn0029854	276.8	74.2	0.0039	0.1843	0.0213
FBgn0029857	991.1	271.9	0.019	0.1481	0.1282
FBgn0029858	1249.7	292.3	0.0352	0.2153	0.1635
FBgn0029859	756.1	134.9	0.0096	0.1907	0.0502
FBgn0029860	324.9	122.1	0.0125	0.1611	0.0776
FBgn0029861	2066.9	531.1	0.0382	0.1886	0.2023
FBgn0029863	707.0	178.0	0.0071	0.1533	0.0462
FBgn0029864	3417.0	1317.0	0.0244	0.1253	0.1944
FBgn0029866	929.6	279.4	0.0258	0.1236	0.2087
FBgn0029867	941.6	198.4	0.0097	0.2083	0.0467
FBgn0029868	382.4	79.6	0.0026	0.0677	0.0391
FBgn0029870	2017.5	424.5	0.003	0.1521	0.0199
FBgn0029873	794.9	162.1	0.0179	0.2308	0.0774
FBgn0029874	1023.3	320.7	0.0252	0.1643	0.1533
FBgn0029877	615.4	179.6	0.0214	0.1683	0.1273
FBgn0029878	1560.4	488.6	0.0535	0.1563	0.3422
FBgn0029879	1376.3	432.7	0.0207	0.1726	0.1198
FBgn0029880	1611.8	515.2	0.1336	0.1998	0.6686
FBgn0029881	2128.7	802.3	0.0076	0.1117	0.0681
FBgn0029882	572.6	117.4	0.0276	0.2405	0.1148
FBgn0029885	400.1	85.9	0.0025	0.1001	0.0251
FBgn0029887	1019.1	291.9	0.019	0.1914	0.0995
FBgn0029888	425.1	99.9	0.0072	0.1245	0.058
FBgn0029890	1206.5	290.5	0.0025	0.1718	0.0148
FBgn0029891	1666.1	472.9	0.0159	0.1399	0.1133
FBgn0029892	817.4	250.6	0.0242	0.1117	0.2163
FBgn0029893	2319.9	710.1	0.0192	0.127	0.1509
FBgn0029894	683.5	267.5	0.0015	0.0396	0.0376
FBgn0029895	2589.2	827.8	0.0088	0.1215	0.0728
FBgn0029896	1492.7	403.3	0.0034	0.0857	0.0401
FBgn0029897	470.5	87.5	0.0	0.0244	0.001
FBgn0029898	1230.7	374.3	0.0017	0.1288	0.0129
FBgn0029903	2944.3	853.7	0.0132	0.129	0.1027
FBgn0029905	1378.1	418.9	0.0089	0.1247	0.0714
FBgn0029906	1151.6	381.4	0.0126	0.1413	0.0889
FBgn0029907	508.4	181.6	0.0178	0.1275	0.1393
FBgn0029909	844.2	268.8	0.0133	0.1533	0.087
FBgn0029911	713.5	195.5	0.0085	0.1061	0.0805
FBgn0029912	2235.7	563.3	0.0078	0.1403	0.0555
FBgn0029913	979.4	316.6	0.0365	0.1279	0.2856
FBgn0029914	857.6	297.4	0.0084	0.117	0.0714
FBgn0029915	504.5	137.5	0.0203	0.1381	0.1469
FBgn0029922	2497.0	947.0	0.0149	0.1353	0.1103
FBgn0029924	1530.5	500.5	0.0127	0.1318	0.0967
FBgn0029925	573.3	140.7	0.009	0.0986	0.0916
FBgn0029928	1032.2	260.8	0.0137	0.1579	0.0867
FBgn0029929	542.2	84.8	0.0056	0.3038	0.0185
FBgn0029930	614.5	174.5	0.0033	0.1222	0.0268
FBgn0029931	599.2	141.8	0.01	0.1999	0.0499
FBgn0029932	1218.1	356.9	0.0025	0.1345	0.0185
FBgn0029935	746.3	192.7	0.0082	0.1862	0.0441
FBgn0029936	926.8	261.2	0.0223	0.1419	0.1573
FBgn0029937	419.4	108.6	0.0194	0.123	0.1574
FBgn0029939	2818.2	814.8	0.0152	0.1085	0.1399
FBgn0029940	518.0	175.0	0.0651	0.1351	0.4817
FBgn0029941	2261.2	693.8	0.0317	0.206	0.1537
FBgn0029942	701.4	222.6	0.0174	0.1976	0.088
FBgn0029943	628.3	178.7	0.0032	0.118	0.0272
FBgn0029944	1372.9	490.1	0.0077	0.1126	0.0683
FBgn0029945	1343.5	480.5	0.042	0.1426	0.2947
FBgn0029946	221.2	90.8	0.0182	0.0734	0.2478
FBgn0029947	464.5	165.5	0.0481	0.0697	0.6903
FBgn0029948	394.9	136.1	0.0102	0.1079	0.0944
FBgn0029949	822.8	299.2	0.078	0.124	0.6292
FBgn0029950	1294.0	509.0	0.0055	0.1277	0.043
FBgn0029951	1443.2	551.8	0.0314	0.0718	0.4374
FBgn0029952	268.3	67.7	0.0901	0.1659	0.5427
FBgn0029955	1134.7	503.3	0.0091	0.0997	0.0909
FBgn0029957	1303.2	355.8	0.0141	0.1473	0.0957
FBgn0029958	1114.2	310.8	0.0128	0.101	0.1266
FBgn0029959	472.3	181.7	0.0001	0.1131	0.001
FBgn0029961	1350.9	491.1	0.022	0.139	0.1582
FBgn0029962	745.5	253.5	0.0	0.0325	0.001
FBgn0029963	854.8	336.2	0.0726	0.1678	0.4328
FBgn0029964	351.6	98.4	0.0651	0.1931	0.3371
FBgn0029965	1443.9	518.1	0.023	0.1452	0.1588
FBgn0029966	1354.2	520.8	0.0272	0.1477	0.1839
FBgn0029968	1282.5	400.5	0.0071	0.1137	0.0625
FBgn0029969	930.7	299.3	0.0033	0.1393	0.0234
FBgn0029970	1669.3	535.7	0.0103	0.1028	0.1002
FBgn0029971	128.9	39.1	0.008	0.1397	0.057
FBgn0029974	791.0	229.0	0.0051	0.0601	0.0854
FBgn0029975	750.9	212.1	0.0082	0.1201	0.0686
FBgn0029976	2519.4	831.6	0.0073	0.1229	0.0591
FBgn0029977	1028.3	429.7	0.0333	0.1069	0.3111
FBgn0029979	2110.8	721.2	0.0117	0.1204	0.097
FBgn0029980	703.9	196.1	0.0058	0.1173	0.0493
FBgn0029987	379.8	148.2	0.0642	0.0815	0.7875
FBgn0029990	929.9	288.1	0.1224	0.1456	0.8407
FBgn0029992	2807.2	903.8	0.0145	0.0983	0.1476
FBgn0029993	1530.6	422.4	0.018	0.2181	0.0825
FBgn0029994	782.0	178.0	0.0345	0.3738	0.0924
FBgn0029995	719.4	228.6	0.0028	0.1313	0.0216
FBgn0029996	464.8	84.2	0.0001	0.1475	0.001
FBgn0029997	1898.4	492.6	0.0055	0.1348	0.0407
FBgn0029999	1417.6	493.4	0.0108	0.1163	0.0932
FBgn0030000	1423.3	403.7	0.013	0.0967	0.134
FBgn0030001	1151.8	360.2	0.007	0.1651	0.0424
FBgn0030003	1407.5	377.5	0.027	0.1242	0.2172
FBgn0030004	1770.8	458.2	0.0069	0.1355	0.051
FBgn0030005	705.8	239.2	0.0309	0.1172	0.2635
FBgn0030006	674.7	219.3	0.0505	0.135	0.3743
FBgn0030007	1158.7	335.3	0.0035	0.0961	0.0365
FBgn0030008	1125.7	269.3	0.0081	0.11	0.0737
FBgn0030009	376.9	100.1	0.044	0.1554	0.283
FBgn0030010	1076.8	252.2	0.0185	0.1497	0.1233
FBgn0030011	858.0	216.0	0.0001	0.1145	0.001
FBgn0030012	1139.4	255.6	0.0265	0.1553	0.1703
FBgn0030013	527.0	121.0	0.0098	0.114	0.086
FBgn0030014	880.8	334.2	0.0222	0.1436	0.1547
FBgn0030015	721.9	238.1	0.0481	0.1413	0.3406
FBgn0030016	988.2	250.8	0.0124	0.2129	0.0583
FBgn0030017	1383.5	563.5	0.0103	0.1241	0.0826
FBgn0030025	311.8	171.2	0.0784	0.0698	1.1229
FBgn0030026	600.4	140.6	0.0017	0.0979	0.0172
FBgn0030027	2458.1	697.9	0.0075	0.1544	0.0483
FBgn0030028	493.7	145.3	0.0165	0.1597	0.1032
FBgn0030029	467.7	171.3	0.0291	0.0833	0.3493
FBgn0030030	930.3	215.7	0.0011	0.1255	0.0087
FBgn0030033	2118.5	743.5	0.0372	0.1238	0.3009
FBgn0030035	1413.7	482.3	0.0109	0.1432	0.0762
FBgn0030037	1198.6	376.4	0.0017	0.1237	0.0136
FBgn0030038	1318.3	319.7	0.0132	0.1288	0.1025
FBgn0030039	514.0	140.0	0.0369	0.1895	0.1948
FBgn0030040	571.9	115.1	0.0275	0.2769	0.0994
FBgn0030041	663.1	155.9	0.0122	0.1216	0.1002
FBgn0030048	443.7	156.3	0.0361	0.1476	0.2448
FBgn0030049	2310.0	687.0	0.0084	0.088	0.0951
FBgn0030050	474.1	89.9	0.0002	0.1862	0.001
FBgn0030051	931.9	241.1	0.0295	0.2028	0.1455
FBgn0030052	1671.0	390.0	0.0043	0.1644	0.0261
FBgn0030053	944.1	264.9	0.0076	0.1338	0.0565
FBgn0030054	2786.6	759.4	0.0272	0.1406	0.1931
FBgn0030055	1861.9	613.1	0.011	0.0939	0.1167
FBgn0030056	589.3	160.7	0.0001	0.124	0.001
FBgn0030057	723.5	218.5	0.0467	0.1624	0.2878
FBgn0030058	608.6	174.4	0.005	0.1173	0.0424
FBgn0030060	1048.5	226.5	0.0088	0.1493	0.0588
FBgn0030061	1169.8	264.2	0.0151	0.1507	0.1003
FBgn0030063	611.4	96.6	0.0493	0.2485	0.1983
FBgn0030067	888.3	134.7	0.0149	0.2967	0.0501
FBgn0030071	290.6	102.4	0.0362	0.2333	0.1554
FBgn0030073	580.6	166.4	0.0053	0.2993	0.0177
FBgn0030074	399.8	113.2	0.0102	0.2546	0.0402
FBgn0030077	1856.0	544.0	0.0211	0.2111	0.1
FBgn0030078	251.7	57.3	0.063	0.2504	0.2518
FBgn0030081	1407.4	398.6	0.0022	0.1629	0.0132
FBgn0030082	575.3	144.7	0.0018	0.1455	0.0121
FBgn0030086	1278.1	326.9	0.0063	0.1013	0.0625
FBgn0030087	3164.1	897.9	0.0013	0.1455	0.0088
FBgn0030088	497.5	102.5	0.002	0.1023	0.0199
FBgn0030089	2273.8	672.2	0.0027	0.0821	0.0326
FBgn0030090	723.9	239.1	0.0208	0.1067	0.1953
FBgn0030091	2791.7	823.3	0.0483	0.1676	0.288
FBgn0030092	440.8	129.2	0.0358	0.1542	0.2325
FBgn0030093	1492.6	517.4	0.0239	0.1344	0.1777
FBgn0030096	1095.2	275.8	0.0169	0.1539	0.1096
FBgn0030097	575.2	168.8	0.0794	0.3365	0.236
FBgn0030098	539.7	117.3	0.04	0.1816	0.2204
FBgn0030099	671.8	189.2	0.0187	0.1944	0.0963
FBgn0030100	489.7	143.3	0.0084	0.1559	0.054
FBgn0030101	655.8	196.2	0.0613	0.1589	0.3854
FBgn0030102	1225.1	265.9	0.005	0.2308	0.0219
FBgn0030103	355.1	121.9	0.0143	0.197	0.0728
FBgn0030104	384.1	83.9	0.0599	0.2697	0.2221
FBgn0030105	269.7	96.3	0.091	0.2583	0.3523
FBgn0030107	855.2	242.8	0.0154	0.1399	0.1102
FBgn0030108	862.4	292.6	0.0157	0.1094	0.1436
FBgn0030109	1654.5	559.5	0.0104	0.1201	0.0869
FBgn0030114	1548.7	413.3	0.0007	0.1046	0.0062
FBgn0030122	1040.6	357.4	0.0118	0.0984	0.1201
FBgn0030136	152.1	42.9	0.0	0.0473	0.001
FBgn0030137	419.6	159.4	0.0596	0.1022	0.5832
FBgn0030141	1510.2	469.8	0.0207	0.115	0.18
FBgn0030148	1726.8	496.2	0.0095	0.1589	0.0596
FBgn0030151	989.0	202.0	0.001	0.1509	0.0068
FBgn0030156	811.2	250.8	0.0062	0.0765	0.0815
FBgn0030157	463.7	148.3	0.1924	0.3931	0.4895
FBgn0030158	387.4	98.6	0.0026	0.0739	0.0355
FBgn0030159	405.9	113.1	0.0176	0.1876	0.0938
FBgn0030160	305.3	57.7	0.007	0.146	0.0477
FBgn0030161	437.8	120.2	0.0093	0.1898	0.0489
FBgn0030162	938.3	273.7	0.0099	0.1366	0.0723
FBgn0030163	743.3	258.7	0.0165	0.1882	0.0879
FBgn0030164	724.1	289.9	0.0142	0.1254	0.1133
FBgn0030167	1298.5	462.5	0.015	0.109	0.1373
FBgn0030170	2432.2	867.8	0.0253	0.1297	0.1952
FBgn0030174	1077.8	314.2	0.0076	0.0874	0.0865
FBgn0030177	1139.1	267.9	0.0108	0.193	0.056
FBgn0030178	553.5	136.5	0.0165	0.2681	0.0617
FBgn0030181	403.0	155.0	0.0572	0.1206	0.474
FBgn0030183	285.1	56.9	0.0001	0.118	0.001
FBgn0030186	684.3	326.7	0.1824	0.4488	0.4063
FBgn0030187	728.9	273.1	0.0117	0.0756	0.1547
FBgn0030189	1128.2	347.8	0.057	0.1728	0.3297
FBgn0030195	816.4	224.6	0.019	0.1787	0.1063
FBgn0030196	507.6	128.4	0.004	0.1059	0.0379
FBgn0030204	912.8	263.2	0.0056	0.1152	0.0484
FBgn0030206	1432.2	307.8	0.007	0.1703	0.0414
FBgn0030207	793.4	232.6	0.1233	0.1762	0.7001
FBgn0030215	380.4	126.6	0.0384	0.2904	0.1321
FBgn0030217	1391.5	495.5	0.023	0.1365	0.1686
FBgn0030218	1056.2	320.8	0.0126	0.1151	0.1098
FBgn0030222	2069.3	663.7	0.0194	0.1596	0.1216
FBgn0030223	2130.3	662.7	0.0125	0.1714	0.0728
FBgn0030224	631.9	244.1	0.0343	0.1359	0.2528
FBgn0030228	1712.0	439.0	0.0488	0.1679	0.2906
FBgn0030230	1583.2	330.8	0.0039	0.1107	0.0348
FBgn0030234	420.6	110.4	0.0098	0.085	0.1151
FBgn0030237	329.0	106.0	0.0316	0.1284	0.2459
FBgn0030239	544.2	184.8	0.0114	0.1803	0.0633
FBgn0030244	533.2	207.8	0.0041	0.0863	0.0472
FBgn0030245	1060.7	313.3	0.0155	0.1197	0.1293
FBgn0030246	2870.5	993.5	0.0039	0.1142	0.0339
FBgn0030247	561.4	200.6	0.1943	0.1687	1.1518
FBgn0030251	1300.2	466.8	0.0086	0.1382	0.0623
FBgn0030257	1231.4	364.6	0.0074	0.1173	0.0633
FBgn0030258	405.9	146.1	0.0	0.0289	0.001
