gene	YN00_dN	YN00_dS	YN00_w	NG86_dN	NG86_dS	NG86_w
FBgn0030719	0.0059	0.0762	0.078	0.0056	0.0909	0.0617
FBgn0030720	0.0084	0.0807	0.1045	0.009	0.0766	0.1175
FBgn0030722	0.0403	0.089	0.4528	0.0359	0.1267	0.2835
FBgn0030723	0.0079	0.0449	0.1766	0.0077	0.0491	0.1562
FBgn0030724	0.0031	0.0534	0.0583	0.0032	0.0501	0.0632
FBgn0030729	0.0134	0.2416	0.0554	0.0137	0.2555	0.0536
FBgn0030731	0.017	0.1267	0.1341	0.018	0.1001	0.1803
FBgn0030734	0.0011	0.0839	0.0134	0.0011	0.102	0.0103
FBgn0030735	0.006	0.0701	0.0849	0.0056	0.0827	0.068
FBgn0030738	0.0509	0.2346	0.2169	0.0563	0.2227	0.2528
FBgn0030739	0.0132	0.1201	0.1096	0.013	0.1307	0.0996
FBgn0030740	0.0184	0.1585	0.1161	0.0197	0.1345	0.1462
FBgn0030742	0.0026	0.264	0.0097	0.0027	0.1826	0.0151
FBgn0030743	0.0044	0.0406	0.1074	0.0043	0.0411	0.1055
FBgn0030744	0.0327	0.1456	0.2246	0.0318	0.1555	0.2047
FBgn0030745	-0.0	0.0915	0.0	0.0	0.0833	-1.0
FBgn0030746	0.0195	0.1743	0.112	0.0195	0.1752	0.1113
FBgn0030747	0.0083	0.1403	0.0592	0.0082	0.1422	0.0579
FBgn0030748	0.0101	0.1535	0.0659	0.0104	0.1496	0.0694
FBgn0030749	0.0053	0.0838	0.0627	0.0054	0.0827	0.0651
FBgn0030752	0.0176	0.0917	0.1915	0.0195	0.0645	0.3029
FBgn0030756	0.0264	0.1318	0.2001	0.0267	0.1353	0.1975
FBgn0030759	0.008	0.1004	0.0797	0.0078	0.1066	0.0733
FBgn0030761	0.016	0.1405	0.114	0.0174	0.0981	0.1769
FBgn0030763	0.0037	0.12	0.0305	0.004	0.0862	0.046
FBgn0030766	0.0109	0.1292	0.0841	0.0116	0.1077	0.1081
FBgn0030768	0.0868	0.1986	0.4371	0.0915	0.1614	0.567
FBgn0030769	0.0064	0.2182	0.0292	0.0068	0.1543	0.0443
FBgn0030770	0.0097	0.0958	0.101	0.0101	0.0822	0.1227
FBgn0030776	0.0382	0.102	0.374	0.039	0.0946	0.4126
FBgn0030777	0.0343	0.2499	0.1371	0.0365	0.2049	0.1783
FBgn0030778	0.0056	0.1605	0.035	0.0059	0.1303	0.0451
FBgn0030780	0.0323	0.153	0.2112	0.0323	0.1527	0.2116
FBgn0030786	0.0089	0.1217	0.073	0.0094	0.0934	0.1009
FBgn0030787	0.0225	0.2361	0.0954	0.0257	0.1302	0.1974
FBgn0030788	-0.0	0.1042	0.0	0.0	0.0562	-1.0
FBgn0030789	0.0604	0.218	0.277	0.0625	0.1982	0.3156
FBgn0030790	0.0053	0.0809	0.0653	0.005	0.0954	0.052
FBgn0030791	0.0068	0.1779	0.0384	0.0073	0.1373	0.053
FBgn0030792	0.0304	0.214	0.1419	0.0328	0.1496	0.2194
FBgn0030793	0.0822	0.1559	0.5271	0.0848	0.1387	0.611
FBgn0030794	0.0388	0.1091	0.3553	0.0367	0.1294	0.2835
FBgn0030795	0.0151	0.1885	0.0801	0.0159	0.1632	0.0973
FBgn0030796	0.0192	0.1118	0.1713	0.0189	0.1184	0.1592
FBgn0030797	0.0371	0.1853	0.2	0.04	0.1389	0.2877
FBgn0030799	0.0799	0.1609	0.4965	0.0769	0.1774	0.4335
FBgn0030800	0.001	0.1079	0.0095	0.0011	0.0935	0.0114
FBgn0030801	0.0327	0.1069	0.3056	0.0292	0.1435	0.2032
FBgn0030802	0.0047	0.1793	0.026	0.0046	0.1862	0.0245
FBgn0030803	0.058	0.1379	0.4208	0.0579	0.1374	0.4211
FBgn0030804	0.0482	0.0947	0.5087	0.0464	0.1032	0.4499
FBgn0030805	0.0074	0.143	0.052	0.0081	0.1256	0.0647
FBgn0030807	0.0362	0.0936	0.3868	0.0323	0.1273	0.2537
FBgn0030808	0.0118	0.1152	0.102	0.0122	0.1053	0.1155
FBgn0030809	0.0178	0.1364	0.1303	0.0184	0.1223	0.1504
FBgn0030812	0.0377	0.1142	0.3301	0.0403	0.0978	0.4124
FBgn0030813	0.0063	0.1124	0.0564	0.0066	0.0953	0.0692
FBgn0030814	0.0373	0.1005	0.3711	0.0352	0.117	0.3004
FBgn0030815	0.0221	0.1195	0.185	0.0214	0.1329	0.1607
FBgn0030816	0.007	0.1146	0.061	0.0067	0.1303	0.0512
FBgn0030823	0.0123	0.1483	0.0832	0.0119	0.1702	0.0701
FBgn0030826	0.0099	0.151	0.0655	0.0101	0.1369	0.0737
FBgn0030828	0.0086	0.0998	0.0863	0.0092	0.0922	0.1003
FBgn0030833	0.0508	0.0983	0.5174	0.0493	0.1068	0.4618
FBgn0030834	0.0033	0.1463	0.0227	0.0036	0.0925	0.0392
FBgn0030836	0.0439	0.2828	0.1553	0.0501	0.1533	0.3271
FBgn0030837	0.02	0.1399	0.1427	0.0203	0.128	0.1586
FBgn0030838	0.0041	0.1008	0.0404	0.0043	0.0839	0.0507
FBgn0030839	0.027	0.1529	0.1766	0.0281	0.1337	0.2102
FBgn0030840	0.0371	0.1823	0.2033	0.0379	0.1645	0.2302
FBgn0030841	0.0273	0.0787	0.3471	0.0252	0.0998	0.2528
FBgn0030844	0.0144	0.1279	0.1125	0.0145	0.1208	0.1201
FBgn0030846	0.1048	0.0798	1.3133	0.0964	0.1003	0.9614
FBgn0030847	0.0083	0.0827	0.1007	0.0085	0.0766	0.1111
FBgn0030850	0.0014	0.1048	0.0138	0.0014	0.1147	0.0122
FBgn0030851	0.0104	0.1071	0.0974	0.0106	0.1007	0.1049
FBgn0030853	-0.0	0.1342	0.0	0.0	0.0981	-1.0
FBgn0030854	0.0509	0.1944	0.2617	0.0496	0.2056	0.241
FBgn0030855	0.0156	0.1107	0.1408	0.0159	0.1117	0.1421
FBgn0030858	0.0073	0.1418	0.0516	0.0078	0.1087	0.0721
FBgn0030859	0.0324	0.1159	0.28	0.0332	0.1077	0.3079
FBgn0030863	0.0041	0.068	0.0605	0.0042	0.0636	0.0657
FBgn0030864	0.0152	0.1487	0.1023	0.0164	0.1376	0.1193
FBgn0030868	0.0349	0.1359	0.2569	0.0368	0.1117	0.3294
FBgn0030869	0.0105	0.1448	0.0727	0.0114	0.1116	0.1023
FBgn0030870	0.0014	0.0712	0.0199	0.0015	0.0529	0.0289
FBgn0030871	0.005	0.1559	0.0319	0.0056	0.1443	0.0389
FBgn0030872	0.0481	0.1718	0.2798	0.0541	0.1216	0.4448
FBgn0030873	0.0027	0.1087	0.0245	0.0027	0.1023	0.0264
FBgn0030874	0.0105	0.1579	0.0662	0.0116	0.1198	0.0971
FBgn0030876	0.0078	0.1004	0.0774	0.0082	0.0819	0.0995
FBgn0030877	0.0057	0.1077	0.0526	0.0059	0.0935	0.0629
FBgn0030878	0.0096	0.1721	0.0559	0.0106	0.1032	0.103
FBgn0030880	0.0463	0.1867	0.2477	0.0475	0.1667	0.285
FBgn0030881	0.0865	0.1426	0.6066	0.0866	0.1395	0.6207
FBgn0030883	0.0153	0.1828	0.0838	0.0164	0.1331	0.1235
FBgn0030884	0.0051	0.144	0.0351	0.0049	0.1527	0.0324
FBgn0030887	0.0035	0.1008	0.0346	0.0033	0.1228	0.0265
FBgn0030889	0.0073	0.1279	0.0574	0.0079	0.1069	0.0736
FBgn0030890	0.0013	0.1062	0.0122	0.0013	0.1061	0.0122
FBgn0030891	0.0052	0.1118	0.0468	0.0061	0.1025	0.0593
FBgn0030892	0.0604	0.1647	0.3668	0.0633	0.1395	0.454
FBgn0030893	0.0052	0.1023	0.0507	0.0054	0.0885	0.0608
FBgn0030894	0.0063	0.0835	0.0758	0.0064	0.0788	0.0814
FBgn0030895	0.005	0.1518	0.033	0.0052	0.1234	0.0423
FBgn0030897	-0.0	0.0261	0.0	0.0	0.0347	-1.0
FBgn0030898	0.0831	0.2027	0.4099	0.0813	0.2158	0.377
FBgn0030899	0.0848	0.2628	0.3227	0.086	0.2497	0.3444
FBgn0030900	0.0183	0.1442	0.1266	0.0202	0.0851	0.2372
FBgn0030904	0.0217	0.1928	0.1128	0.025	0.1226	0.2035
FBgn0030905	0.0285	0.1364	0.2089	0.028	0.1426	0.1965
FBgn0030912	0.0451	0.1836	0.2459	0.0479	0.152	0.3154
FBgn0030913	0.0216	0.1056	0.2048	0.0239	0.0872	0.274
FBgn0030914	0.0147	0.1182	0.1239	0.015	0.1081	0.1388
FBgn0030915	0.004	0.1228	0.0323	0.0043	0.0839	0.0516
FBgn0030921	0.0468	0.1151	0.4071	0.0476	0.1085	0.4392
FBgn0030927	0.0211	0.1639	0.129	0.0224	0.1479	0.1517
FBgn0030928	0.0197	0.1812	0.109	0.0215	0.1382	0.1558
FBgn0030929	0.0292	0.1546	0.189	0.0308	0.1214	0.2541
FBgn0030930	-0.0	0.1401	0.0	0.0	0.0977	-1.0
FBgn0030931	0.0202	0.1342	0.1504	0.02	0.1362	0.1468
FBgn0030932	0.0228	0.1901	0.1198	0.0252	0.1311	0.1922
FBgn0030933	0.0508	0.2322	0.2186	0.0557	0.1502	0.3712
FBgn0030936	0.2167	0.1964	1.1032	0.2163	0.1949	1.11
FBgn0030937	0.1257	0.1838	0.684	0.1222	0.1963	0.6224
FBgn0030938	0.0546	0.1064	0.5127	0.0549	0.1027	0.534
FBgn0030940	0.1386	0.2063	0.672	0.1287	0.2491	0.5168
FBgn0030941	0.0024	0.1348	0.0179	0.0026	0.0983	0.0265
FBgn0030943	0.051	0.1309	0.3897	0.0545	0.105	0.5187
FBgn0030944	-0.0	0.0988	0.0	0.0	0.0536	-1.0
FBgn0030945	0.013	0.1453	0.0898	0.0139	0.1139	0.1217
FBgn0030946	0.0237	0.1845	0.1282	0.026	0.1249	0.2078
FBgn0030947	0.0071	0.1019	0.07	0.0081	0.0553	0.1462
FBgn0030949	0.0266	0.1042	0.2554	0.0262	0.1079	0.2424
FBgn0030951	0.0226	0.4542	0.0497	0.0252	0.3241	0.0777
FBgn0030952	0.0711	0.1619	0.4394	0.0701	0.1653	0.4239
FBgn0030954	0.008	0.1115	0.0718	0.0085	0.089	0.0956
FBgn0030955	-0.0	0.0684	0.0	0.0	0.0551	-1.0
FBgn0030960	-0.0	0.1423	0.0	0.0	0.1035	-1.0
FBgn0030961	0.0044	0.1342	0.033	0.0046	0.1151	0.0399
FBgn0030963	0.033	0.1841	0.1794	0.0343	0.153	0.2244
FBgn0030964	0.0179	0.2029	0.0881	0.0201	0.1378	0.1457
FBgn0030966	0.0108	0.0932	0.1163	0.0108	0.0923	0.1171
FBgn0030968	0.0018	0.1712	0.0103	0.0019	0.1379	0.0136
FBgn0030969	0.0058	0.1521	0.0382	0.0062	0.1172	0.0526
FBgn0030970	0.0521	0.1066	0.4886	0.0528	0.1003	0.5269
FBgn0030973	0.0256	0.0823	0.3108	0.0272	0.071	0.3827
FBgn0030974	0.0203	0.1621	0.1251	0.0204	0.1609	0.1267
FBgn0030975	0.0239	0.1321	0.1805	0.0245	0.1218	0.2009
FBgn0030976	-0.0	0.0634	0.0	0.0	0.0491	-1.0
FBgn0030979	0.1274	0.1463	0.8707	0.1204	0.1712	0.7035
FBgn0030982	0.0496	0.2054	0.2416	0.0568	0.1176	0.4834
FBgn0030983	0.3261	0.2226	1.4648	0.3253	0.2219	1.4663
FBgn0030984	0.0165	0.1528	0.1082	0.0177	0.1103	0.1608
FBgn0030985	0.0284	0.1757	0.1617	0.0277	0.1888	0.1468
FBgn0030989	0.0123	0.2979	0.0411	0.0137	0.1585	0.0866
FBgn0030990	0.0063	0.1868	0.0338	0.0083	0.1187	0.0696
FBgn0030991	0.0263	0.0903	0.2914	0.0265	0.0925	0.2861
FBgn0030992	0.0031	0.119	0.0259	0.0033	0.0942	0.0348
FBgn0030993	0.0071	0.2844	0.0251	0.0083	0.1861	0.0447
FBgn0030996	0.0024	0.1302	0.0181	0.0024	0.1092	0.0224
FBgn0030997	0.0036	0.0956	0.038	0.0041	0.0578	0.0703
FBgn0030998	0.0159	0.1836	0.0866	0.0179	0.1224	0.1463
FBgn0030999	0.0173	0.1241	0.1395	0.018	0.1075	0.1674
FBgn0031000	0.0788	0.2036	0.3872	0.0733	0.2459	0.2982
FBgn0031001	0.0113	0.095	0.119	0.0113	0.0987	0.1144
FBgn0031002	0.0114	0.1025	0.1108	0.012	0.0829	0.1451
FBgn0031003	0.0196	0.1457	0.1344	0.0203	0.1381	0.1472
FBgn0031004	0.0112	0.0839	0.1336	0.0121	0.0616	0.1963
FBgn0031005	0.0134	0.2073	0.0645	0.0179	0.1055	0.1697
FBgn0031006	0.0135	0.108	0.1248	0.0136	0.104	0.1308
FBgn0031008	0.0171	0.1025	0.167	0.0184	0.0716	0.2573
FBgn0031010	0.0121	0.1473	0.0821	0.0132	0.1317	0.1
FBgn0031011	0.0067	0.1566	0.0429	0.0077	0.1251	0.0614
FBgn0031012	0.0056	0.1682	0.0335	0.0058	0.1477	0.0392
FBgn0031016	0.0116	0.2722	0.0426	0.0135	0.1714	0.0788
FBgn0031020	0.0019	0.0767	0.0247	0.002	0.0666	0.0295
FBgn0031021	0.009	0.1853	0.0485	0.0108	0.0934	0.1161
FBgn0031022	0.0521	0.1266	0.4117	0.0514	0.1299	0.3955
FBgn0031023	0.0607	0.1469	0.413	0.0625	0.1329	0.4704
FBgn0031026	0.0587	0.4164	0.1409	0.0624	0.2913	0.2143
FBgn0031030	0.0004	0.0788	0.005	0.0004	0.0636	0.0065
FBgn0031032	0.062	0.1922	0.3226	0.064	0.1714	0.3737
FBgn0031036	0.0109	0.1421	0.077	0.0119	0.0931	0.1276
FBgn0031037	-0.0	0.0963	0.0	0.0	0.0707	-1.0
FBgn0031039	0.0065	0.1478	0.0437	0.0069	0.1113	0.0622
FBgn0031040	-0.0	0.1805	0.0	0.0	0.1129	-1.0
FBgn0031041	0.0301	0.0897	0.3352	0.0303	0.0892	0.3398
FBgn0031042	0.011	0.1713	0.0642	0.012	0.1131	0.1065
FBgn0031043	0.0324	0.2492	0.13	0.0367	0.1613	0.2277
FBgn0031044	0.0109	0.1715	0.0636	0.0126	0.1187	0.1064
FBgn0031045	0.0198	0.117	0.1689	0.0214	0.0843	0.2541
FBgn0031047	0.007	0.2968	0.0235	0.0074	0.2175	0.0341
FBgn0031048	0.0162	0.2529	0.0641	0.0178	0.1577	0.1129
FBgn0031050	0.0055	0.177	0.0313	0.0059	0.1353	0.0436
FBgn0031051	0.0078	0.1521	0.0511	0.0082	0.1196	0.0688
FBgn0031052	0.0694	0.1379	0.503	0.0702	0.1318	0.5328
FBgn0031053	0.0129	0.142	0.091	0.0137	0.1207	0.1131
FBgn0031054	0.0063	0.1305	0.0487	0.0066	0.1077	0.0614
FBgn0031055	0.0537	0.1824	0.2942	0.0568	0.1464	0.3882
FBgn0031057	0.0053	0.1049	0.0506	0.0056	0.0823	0.0681
FBgn0031058	0.0839	0.1433	0.5858	0.0817	0.1497	0.5458
FBgn0031059	0.023	0.3165	0.0728	0.0252	0.1954	0.1288
FBgn0031060	0.0191	0.1399	0.1366	0.0211	0.0991	0.2124
FBgn0031061	0.014	0.2341	0.0598	0.0157	0.1242	0.1265
FBgn0031062	0.0288	0.1561	0.1843	0.03	0.1305	0.23
FBgn0031064	0.0026	0.1046	0.0253	0.0027	0.0898	0.0306
FBgn0031065	0.0052	0.1456	0.0355	0.0059	0.0793	0.0744
FBgn0031066	-0.0	0.0479	0.0	0.0	0.0182	-1.0
FBgn0031068	0.0061	0.1283	0.0479	0.0066	0.0917	0.0718
FBgn0031069	0.0012	0.1049	0.0116	0.0013	0.0711	0.0187
FBgn0031070	0.0604	0.1685	0.3587	0.0646	0.1289	0.5012
FBgn0031077	0.0252	0.113	0.2234	0.0265	0.0991	0.267
FBgn0031078	0.0615	0.2454	0.2505	0.0672	0.17	0.3954
FBgn0031080	0.0255	0.0988	0.2582	0.0251	0.1024	0.2448
FBgn0031081	0.0036	0.2276	0.016	0.0041	0.1724	0.0238
FBgn0031082	0.0951	0.2958	0.3215	0.0976	0.2586	0.3776
FBgn0031085	0.0297	0.1648	0.1799	0.031	0.1376	0.2253
FBgn0031086	0.0191	0.0979	0.1949	0.0187	0.1024	0.1828
FBgn0031089	0.0089	0.1679	0.0527	0.0105	0.0885	0.1192
FBgn0031090	-0.0	0.16	0.0	0.0	0.1166	-1.0
FBgn0031091	0.1524	0.1786	0.8531	0.1554	0.1658	0.9369
FBgn0031092	0.0129	0.1249	0.1029	0.0143	0.0771	0.1859
FBgn0031093	0.0129	0.125	0.103	0.0139	0.09	0.1544
FBgn0031094	0.0215	0.1211	0.1772	0.0231	0.0875	0.2641
FBgn0031097	-0.0	0.1447	0.0	0.0	0.0895	-1.0
FBgn0031098	0.0195	0.1917	0.1016	0.0218	0.1406	0.1554
FBgn0031099	0.0087	0.125	0.0693	0.0097	0.0757	0.1284
FBgn0031100	-0.0	0.2022	0.0	0.0	0.1218	-1.0
FBgn0031103	0.0855	0.193	0.4429	0.0925	0.15	0.6164
FBgn0031106	0.0033	0.2001	0.0163	0.0037	0.0954	0.0392
FBgn0031107	0.0039	0.0953	0.0408	0.0039	0.0897	0.044
FBgn0031109	0.0105	0.173	0.0605	0.0119	0.0863	0.1374
FBgn0031110	0.0253	0.3334	0.076	0.0291	0.1263	0.2303
FBgn0031111	0.0133	0.1804	0.0737	0.0152	0.0931	0.163
FBgn0031114	0.0067	0.0945	0.0705	0.0072	0.0915	0.0793
FBgn0031115	0.0206	0.111	0.1855	0.021	0.1067	0.197
FBgn0031117	0.0074	0.1479	0.0502	0.0081	0.0971	0.0839
FBgn0031118	0.005	0.0921	0.0543	0.0053	0.0852	0.0621
FBgn0031119	0.0206	0.1085	0.1899	0.0211	0.1007	0.2097
FBgn0031126	0.0041	0.0956	0.0429	0.0043	0.0822	0.0519
FBgn0031128	0.141	0.1455	0.9697	0.1309	0.1757	0.7452
FBgn0031129	0.0283	0.1697	0.1667	0.0296	0.166	0.1785
FBgn0031130	0.0286	0.0791	0.3612	0.027	0.0918	0.2942
FBgn0031132	0.016	0.1078	0.1482	0.0164	0.0962	0.1709
FBgn0031134	0.125	0.1347	0.9281	0.1209	0.1463	0.8263
FBgn0031139	0.1107	0.1641	0.6747	0.1097	0.1676	0.6541
FBgn0031142	0.0122	0.1556	0.0783	0.0132	0.105	0.1259
FBgn0031143	0.0186	0.1483	0.1255	0.0186	0.1475	0.1258
FBgn0031144	0.0365	0.0782	0.4673	0.0346	0.0915	0.3778
FBgn0031145	0.0034	0.1698	0.0199	0.0033	0.1774	0.0187
FBgn0031146	-0.0	0.1408	0.0	0.0	0.1205	-1.0
FBgn0031148	0.0065	0.0931	0.0693	0.0068	0.0771	0.088
FBgn0031149	0.0006	0.1059	0.0057	0.0006	0.0969	0.0064
FBgn0031150	0.0084	0.0655	0.1284	0.0087	0.0587	0.1477
FBgn0031155	0.1052	0.1609	0.6537	0.1016	0.1779	0.5714
FBgn0031157	0.0351	0.1869	0.1878	0.0384	0.1298	0.296
FBgn0031159	0.0136	0.0997	0.1364	0.0136	0.0989	0.1375
FBgn0031164	0.023	0.1647	0.1398	0.0233	0.1709	0.1362
FBgn0031169	0.0128	0.1577	0.0812	0.0132	0.1377	0.0958
FBgn0031170	0.0093	0.1029	0.0906	0.0092	0.1125	0.082
FBgn0031171	0.0078	0.1406	0.0555	0.0081	0.1269	0.0635
FBgn0031174	0.0092	0.1081	0.0853	0.0101	0.0931	0.108
FBgn0031182	0.0244	0.1153	0.2119	0.0238	0.1249	0.1905
FBgn0031183	0.0085	0.1103	0.077	0.0091	0.1041	0.0877
FBgn0031184	0.0416	0.1217	0.342	0.0402	0.1329	0.3023
FBgn0031187	0.0212	0.0598	0.3547	0.0209	0.0634	0.3288
FBgn0031188	0.0221	0.1765	0.1251	0.0224	0.1649	0.1357
FBgn0031189	0.0359	0.1508	0.238	0.0379	0.1193	0.3177
FBgn0031190	0.0291	0.0996	0.2927	0.03	0.0911	0.3291
FBgn0031191	0.0814	0.165	0.4933	0.0812	0.1654	0.491
FBgn0031194	0.0151	0.0919	0.1644	0.0153	0.0866	0.1771
FBgn0031195	0.0245	0.1197	0.2043	0.0243	0.1206	0.2013
FBgn0031196	0.0192	0.1113	0.1724	0.0187	0.1199	0.1557
FBgn0031197	0.0825	0.1769	0.4662	0.0837	0.1702	0.4917
FBgn0031201	0.0439	0.1547	0.284	0.044	0.1574	0.2792
FBgn0031209	0.015	0.0874	0.1716	0.0141	0.104	0.1359
FBgn0031213	0.025	0.1024	0.2445	0.024	0.1172	0.2049
FBgn0031214	0.0095	0.1037	0.0915	0.0098	0.0912	0.1075
FBgn0031216	0.0042	0.0713	0.059	0.0042	0.0817	0.0516
FBgn0031217	0.0135	0.1463	0.092	0.0139	0.1265	0.1096
FBgn0031219	0.0803	0.1363	0.5891	0.0781	0.1491	0.5234
FBgn0031220	0.0144	0.0871	0.1659	0.015	0.086	0.1742
FBgn0031224	0.035	0.1368	0.2561	0.0364	0.1243	0.2924
FBgn0031227	0.0141	0.1127	0.1251	0.0136	0.1327	0.1024
FBgn0031228	-0.0	0.1536	0.0	0.0	0.1151	-1.0
FBgn0031229	0.0013	0.0773	0.0172	0.0012	0.094	0.0133
FBgn0031231	0.0182	0.0829	0.2199	0.0161	0.1143	0.1409
FBgn0031232	0.0154	0.1168	0.1319	0.0153	0.1295	0.1182
FBgn0031233	0.0084	0.1179	0.0711	0.0085	0.1085	0.0787
FBgn0031235	0.0011	0.092	0.0116	0.0015	0.1131	0.0129
FBgn0031238	0.0096	0.1204	0.0801	0.0095	0.1226	0.0778
FBgn0031239	0.0106	0.0881	0.1201	0.0102	0.0977	0.1043
FBgn0031240	0.0006	0.1587	0.0039	0.0006	0.1367	0.0047
FBgn0031244	0.0016	0.1532	0.0104	0.0016	0.1516	0.0105
FBgn0031245	0.0035	0.0745	0.0469	0.0036	0.0668	0.0539
FBgn0031247	0.0112	0.0595	0.1883	0.0108	0.0665	0.1617
FBgn0031248	0.0275	0.075	0.3668	0.028	0.0731	0.3834
FBgn0031249	0.0288	0.0805	0.358	0.0309	0.0613	0.5044
FBgn0031250	0.0108	0.0814	0.1326	0.0108	0.0886	0.1216
FBgn0031251	0.028	0.0953	0.2941	0.0281	0.094	0.2992
FBgn0031252	0.0156	0.0742	0.2098	0.0144	0.0978	0.1471
FBgn0031253	0.0123	0.1689	0.0727	0.0124	0.16	0.0774
FBgn0031254	0.0067	0.1608	0.0416	0.0068	0.1434	0.0477
FBgn0031255	0.0057	0.089	0.0644	0.0065	0.0872	0.0747
FBgn0031256	0.0024	0.1496	0.0157	0.0024	0.1263	0.0193
FBgn0031257	0.0033	0.0717	0.0467	0.0033	0.0751	0.0438
FBgn0031258	0.0189	0.1151	0.1639	0.0182	0.129	0.1409
FBgn0031260	0.005	0.2717	0.0185	0.0057	0.1438	0.0395
FBgn0031261	0.0174	0.1288	0.1351	0.0194	0.0807	0.2401
FBgn0031263	-0.0	0.2157	0.0	0.0	0.15	-1.0
FBgn0031264	0.0519	0.1043	0.4974	0.0465	0.137	0.3392
FBgn0031265	0.0058	0.1003	0.0576	0.0057	0.1027	0.0557
FBgn0031266	0.0017	0.0875	0.0195	0.0016	0.0972	0.0169
FBgn0031267	0.0083	0.096	0.0866	0.0086	0.0853	0.1005
FBgn0031268	-0.0	0.1962	0.0	0.0	0.1339	-1.0
FBgn0031270	0.0207	0.0604	0.3422	0.0191	0.0783	0.2439
FBgn0031275	0.0047	0.1187	0.0393	0.0048	0.1044	0.0463
FBgn0031279	0.0099	0.13	0.0765	0.01	0.1243	0.0807
FBgn0031281	0.0144	0.1231	0.1173	0.0142	0.1291	0.1098
FBgn0031282	0.0147	0.1349	0.1089	0.015	0.1253	0.1195
FBgn0031283	0.0289	0.1565	0.185	0.0286	0.16	0.1788
FBgn0031284	0.0035	0.0991	0.0356	0.0035	0.1046	0.033
FBgn0031285	0.0039	0.1346	0.0289	0.0055	0.1002	0.0547
FBgn0031286	0.0056	0.1403	0.0401	0.0063	0.1198	0.0523
FBgn0031287	0.0086	0.1777	0.0481	0.0096	0.1375	0.0698
FBgn0031288	0.0262	0.157	0.167	0.0274	0.1305	0.2098
FBgn0031289	0.0025	0.1666	0.0151	0.0041	0.1039	0.0396
FBgn0031292	0.0149	0.1957	0.076	0.0155	0.1716	0.0904
FBgn0031294	0.0089	0.1048	0.0853	0.0097	0.0891	0.1091
FBgn0031295	0.0948	0.2066	0.4591	0.0925	0.2222	0.4161
FBgn0031296	0.0677	0.1369	0.4948	0.0702	0.1199	0.5851
FBgn0031298	0.0032	0.0889	0.0364	0.0032	0.0911	0.035
FBgn0031299	0.0018	0.1637	0.0111	0.0019	0.1274	0.015
FBgn0031301	0.0166	0.1555	0.1068	0.0175	0.1207	0.1451
FBgn0031302	0.013	0.1214	0.1072	0.0134	0.1077	0.1244
FBgn0031304	0.006	0.1071	0.0563	0.0064	0.0841	0.0758
FBgn0031305	0.1002	0.0942	1.0645	0.098	0.1004	0.9762
FBgn0031306	0.0158	0.1747	0.0902	0.0174	0.1091	0.1594
FBgn0031307	0.0024	0.1866	0.013	0.0026	0.1366	0.0191
FBgn0031309	0.0041	0.1533	0.0267	0.0044	0.1107	0.0398
FBgn0031310	-0.0	0.2288	0.0	0.0	0.1285	-1.0
FBgn0031312	0.0155	0.0707	0.219	0.0162	0.0595	0.2721
FBgn0031313	0.0106	0.1789	0.0591	0.0128	0.0893	0.1436
FBgn0031314	0.0126	0.1305	0.0963	0.0135	0.1105	0.1218
FBgn0031315	0.0223	0.1577	0.1415	0.022	0.1642	0.1341
FBgn0031317	0.0488	0.1228	0.3971	0.0482	0.1275	0.3781
FBgn0031320	0.0077	0.1413	0.0543	0.0076	0.1398	0.0547
FBgn0031321	0.0121	0.1741	0.0694	0.014	0.133	0.1052
FBgn0031322	0.0023	0.138	0.0164	0.0025	0.0879	0.0282
FBgn0031323	0.0479	0.1405	0.3406	0.0479	0.1384	0.3462
FBgn0031324	0.003	0.0706	0.0425	0.0031	0.0612	0.051
FBgn0031327	0.0097	0.1467	0.0664	0.0095	0.1584	0.0597
FBgn0031331	0.0559	0.1259	0.4437	0.0548	0.1333	0.4108
FBgn0031335	0.0236	0.0868	0.2715	0.0239	0.0817	0.293
FBgn0031337	0.0358	0.1628	0.2198	0.0369	0.1432	0.2576
FBgn0031343	0.0571	0.0862	0.6618	0.0521	0.1133	0.4597
FBgn0031344	0.0495	0.2042	0.2427	0.0556	0.1598	0.3476
FBgn0031345	0.0415	0.1013	0.4099	0.0375	0.1356	0.2766
FBgn0031347	0.0083	0.105	0.0792	0.0084	0.11	0.0761
FBgn0031351	0.0632	0.1244	0.5082	0.0623	0.1269	0.4909
FBgn0031356	0.0056	0.1216	0.046	0.0058	0.1045	0.0556
FBgn0031357	0.0158	0.1391	0.1138	0.0174	0.0936	0.186
FBgn0031359	0.0011	0.1212	0.0094	0.0012	0.0929	0.0132
FBgn0031360	0.0014	0.125	0.0111	0.0014	0.1183	0.0118
FBgn0031361	0.0037	0.1453	0.0252	0.0036	0.151	0.0239
FBgn0031364	0.0206	0.1535	0.1343	0.0208	0.1443	0.1441
FBgn0031365	0.1165	0.0541	2.1521	0.1086	0.0677	1.6038
FBgn0031367	0.0498	0.1093	0.4555	0.0493	0.1143	0.431
FBgn0031372	0.0676	0.11	0.6143	0.0634	0.1317	0.4816
FBgn0031373	0.0431	0.1304	0.3308	0.0469	0.1016	0.4619
FBgn0031374	0.004	0.1156	0.0344	0.004	0.1104	0.0363
FBgn0031375	0.0045	0.1531	0.0291	0.0054	0.1169	0.0462
