gene	JC	K2P
FBgn0000008	  9.31  9.31
FBgn0031461	  5.29  5.29
FBgn0031462	  7.05  7.07
FBgn0031466	  5.86  5.87
FBgn0031467	  5.31  5.32
FBgn0031468	  5.60  5.60
FBgn0031471	  7.18  7.21
FBgn0031472	 12.24 12.26
FBgn0031473	  6.87  6.88
FBgn0031476	  3.93  3.93
FBgn0031478	  5.95  5.96
FBgn0031479	  6.93  6.94
FBgn0031483	  5.70  5.72
FBgn0031484	  8.06  8.08
FBgn0031485	  3.68  3.69
FBgn0031489	  7.35  7.36
FBgn0031491	  4.85  4.86
FBgn0031492	  5.82  5.84
FBgn0031493	  5.28  5.29
FBgn0031494	  3.42  3.42
FBgn0031497	  3.39  3.40
FBgn0031498	  3.48  3.49
FBgn0031500	  5.60  5.61
FBgn0031504	  4.75  4.76
FBgn0031505	  4.54  4.55
FBgn0031513	  4.93  4.93
FBgn0031514	  4.21  4.22
FBgn0031519	  6.31  6.31
FBgn0031520	  8.97  8.98
FBgn0031526	  7.87  7.87
FBgn0031529	  8.04  8.04
FBgn0031530	  7.20  7.21
FBgn0031531	  4.42  4.42
FBgn0031533	  8.58  8.58
FBgn0031534	  6.00  6.01
FBgn0031535	  8.26  8.26
FBgn0031536	  7.38  7.43
FBgn0031540	  9.60  9.63
FBgn0031542	  2.36  2.37
FBgn0031544	  7.94  7.98
FBgn0031545	  8.32  8.35
FBgn0031546	  3.29  3.30
FBgn0031547	  8.35  8.36
FBgn0031548	  7.02  7.02
FBgn0031549	  7.88  7.88
FBgn0031550	  7.20  7.20
FBgn0031554	  3.84  3.84
FBgn0031561	  6.14  6.15
FBgn0031562	  7.38  7.38
FBgn0031563	  8.64  8.66
FBgn0031564	  6.31  6.32
FBgn0031566	  9.69  9.72
FBgn0031568	  2.36  2.37
FBgn0031571	 13.05 13.11
FBgn0031573	  7.13  7.16
FBgn0031574	  8.66  8.66
FBgn0031580	  8.96  8.97
FBgn0031585	  6.98  6.99
FBgn0031589	  7.40  7.43
FBgn0031590	 11.75 11.75
FBgn0031592	  3.43  3.44
FBgn0031596	  3.16  3.16
FBgn0031600	  6.20  6.21
FBgn0031603	 12.34 12.36
FBgn0031604	  2.87  2.87
FBgn0031607	  6.38  6.38
FBgn0031608	  7.01  7.01
FBgn0031609	  7.35  7.36
FBgn0031619	  6.78  6.81
FBgn0031620	  5.30  5.33
FBgn0031623	  6.20  6.22
FBgn0031626	  3.83  3.83
FBgn0031627	  8.67  8.72
FBgn0031628	  6.26  6.27
FBgn0031631	  4.42  4.42
FBgn0031632	  8.61  8.61
FBgn0031635	  5.58  5.58
FBgn0031636	  5.83  5.84
FBgn0031637	  8.65  8.66
FBgn0031638	  9.45  9.46
FBgn0031639	  6.36  6.37
FBgn0031640	  5.50  5.50
FBgn0031643	  1.94  1.94
FBgn0031644	  4.87  4.87
FBgn0031645	  7.05  7.06
FBgn0031646	 11.34 11.34
FBgn0031649	  8.50  8.51
FBgn0031650	  7.30  7.32
FBgn0031651	  6.49  6.49
FBgn0031653	 10.08 10.09
FBgn0031657	  3.96  3.97
FBgn0031659	  8.51  8.56
FBgn0031661	  6.92  6.93
FBgn0031662	  6.59  6.60
FBgn0031664	  4.48  4.49
FBgn0031670	  4.48  4.49
FBgn0031673	  6.71  6.71
FBgn0031676	  5.51  5.52
FBgn0031681	  8.47  8.49
FBgn0031682	  7.40  7.41
FBgn0031683	  7.45  7.46
FBgn0031684	  7.92  7.92
FBgn0031688	  5.27  5.27
FBgn0031689	 12.44 12.47
FBgn0031692	  4.63  4.63
FBgn0031696	  7.16  7.17
FBgn0031697	  4.82  4.82
FBgn0031698	 10.17 10.19
FBgn0031700	  9.86  9.88
FBgn0031701	  9.76  9.77
FBgn0031702	  9.20  9.21
FBgn0031707	  7.38  7.38
FBgn0031708	  6.97  6.98
FBgn0031710	  6.46  6.47
FBgn0031711	  2.71  2.71
FBgn0031713	  4.77  4.78
FBgn0031715	  4.47  4.48
FBgn0031717	  5.17  5.18
FBgn0031718	 11.97 11.98
FBgn0031719	 11.97 11.98
FBgn0031720	  7.40  7.41
FBgn0031721	  6.70  6.72
FBgn0031722	  4.67  4.70
FBgn0031723	  6.17  6.18
FBgn0031724	  7.06  7.06
FBgn0031725	  8.30  8.31
FBgn0031726	 12.01 12.03
FBgn0031728	  6.84  6.85
FBgn0031729	  2.04  2.04
FBgn0031730	  5.56  5.56
FBgn0031731	  9.10  9.14
FBgn0031732	  8.99  9.01
FBgn0031733	  3.08  3.09
FBgn0031734	  6.41  6.41
FBgn0031737	  5.13  5.14
FBgn0031739	  4.64  4.65
FBgn0031740	  9.69  9.72
FBgn0031741	  9.93  9.96
FBgn0031745	  5.63  5.63
FBgn0031749	  4.13  4.14
FBgn0031751	  3.53  3.54
FBgn0031752	  8.66  8.68
FBgn0031756	  9.05  9.07
FBgn0031757	  9.52  9.56
FBgn0031759	  8.82  8.87
FBgn0031760	  8.60  8.63
FBgn0031762	  5.28  5.28
FBgn0031763	  3.28  3.29
FBgn0031764	  9.75  9.75
FBgn0031766	  6.50  6.51
FBgn0031768	  1.82  1.82
FBgn0031770	  2.03  2.03
FBgn0031771	  5.06  5.07
FBgn0031772	  2.68  2.68
FBgn0031773	  4.47  4.47
FBgn0031774	  4.11  4.13
FBgn0031775	 10.14 10.20
FBgn0031776	  8.33  8.38
FBgn0031777	  8.31  8.33
FBgn0031779	  9.59  9.61
FBgn0031782	  4.77  4.78
FBgn0031784	  6.79  6.80
FBgn0031785	  4.77  4.77
FBgn0031786	  4.06  4.06
FBgn0031792	  3.59  3.59
FBgn0031799	  3.29  3.29
FBgn0031800	  9.89  9.90
FBgn0031801	 11.60 11.61
FBgn0031802	  5.12  5.13
FBgn0031803	  4.39  4.40
FBgn0031808	  6.78  6.80
FBgn0031811	  5.48  5.50
FBgn0031813	  8.34  8.36
FBgn0031814	  6.59  6.60
FBgn0031815	  3.63  3.63
FBgn0031816	  5.70  5.70
FBgn0031820	  5.29  5.30
FBgn0031822	  5.31  5.32
FBgn0031824	  4.11  4.12
FBgn0031826	  4.10  4.10
FBgn0031829	  6.06  6.07
FBgn0031830	 11.69 11.71
FBgn0031832	  3.55  3.56
FBgn0031834	  5.64  5.65
FBgn0031835	  7.51  7.53
FBgn0031836	  8.99  9.02
FBgn0031837	  5.87  5.89
FBgn0031844	  6.28  6.29
FBgn0031848	  5.77  5.78
FBgn0031850	  4.35  4.35
FBgn0031851	 10.44 10.50
FBgn0031853	  2.58  2.58
FBgn0031854	  8.33  8.34
FBgn0031855	  8.47  8.49
FBgn0031857	  3.98  3.98
FBgn0031858	  4.31  4.31
FBgn0031860	  4.69  4.70
FBgn0031861	  3.15  3.15
FBgn0031865	  4.06  4.08
FBgn0031868	  7.16  7.17
FBgn0031869	  5.47  5.47
FBgn0031873	  6.80  6.80
FBgn0031874	  4.65  4.65
FBgn0031875	  5.33  5.33
FBgn0031876	  3.82  3.82
FBgn0031877	  5.17  5.19
FBgn0031878	  6.92  6.93
FBgn0031881	  5.11  5.13
FBgn0031885	  8.15  8.16
FBgn0031893	  8.55  8.56
FBgn0031894	  8.47  8.48
FBgn0031895	  5.58  5.58
FBgn0031896	  6.53  6.53
FBgn0031900	  9.15  9.18
FBgn0031903	  1.93  1.94
FBgn0031904	  6.72  6.73
FBgn0031905	  8.00  8.00
FBgn0031906	  7.98  7.99
FBgn0031907	  6.17  6.17
FBgn0031909	 11.41 11.42
FBgn0031910	 10.70 10.70
FBgn0031913	  5.38  5.39
FBgn0031918	  2.55  2.55
FBgn0031920	  3.81  3.81
FBgn0031925	 14.16 14.18
FBgn0031926	  2.95  2.95
FBgn0031930	  6.75  6.75
FBgn0031936	 13.88 13.94
FBgn0031937	  9.39  9.40
FBgn0031940	  2.78  2.78
FBgn0031941	  3.23  3.23
FBgn0031942	  6.84  6.84
FBgn0031945	  5.81  5.81
FBgn0031948	  6.90  6.92
FBgn0031950	 11.96 11.96
FBgn0031951	  4.44  4.45
FBgn0031952	  9.11  9.13
FBgn0031954	  9.35  9.36
FBgn0031955	  7.09  7.10
FBgn0031957	  5.74  5.76
FBgn0031959	  4.31  4.32
FBgn0031970	 12.64 12.76
FBgn0031971	 13.93 14.02
FBgn0031973	  6.24  6.24
FBgn0031976	  4.40  4.41
FBgn0031977	  7.27  7.28
FBgn0031979	  5.29  5.30
FBgn0031980	  5.61  5.62
FBgn0031981	  6.16  6.17
FBgn0031985	  6.15  6.15
FBgn0031986	  2.34  2.34
FBgn0031987	  2.99  3.00
FBgn0031988	  5.07  5.09
FBgn0031990	  8.29  8.32
FBgn0031992	  9.32  9.33
FBgn0031995	  6.33  6.34
FBgn0031999	  6.71  6.72
FBgn0032000	  5.37  5.38
FBgn0032001	  4.97  4.97
FBgn0032003	 12.72 12.77
FBgn0032005	 10.26 10.27
FBgn0032010	 11.04 11.05
FBgn0032013	 10.52 10.52
FBgn0032015	  7.13  7.14
FBgn0032016	  6.15  6.16
FBgn0032017	  6.43  6.45
FBgn0032018	  6.59  6.62
FBgn0032020	 11.16 11.19
FBgn0032021	 12.24 12.28
FBgn0032022	 10.88 10.89
FBgn0032023	  5.80  5.82
FBgn0032024	  8.86  8.86
FBgn0032025	  6.47  6.50
FBgn0032026	 10.07 10.08
FBgn0032029	  4.88  4.88
FBgn0032031	  3.31  3.31
FBgn0032032	  3.52  3.52
FBgn0032033	  7.34  7.34
FBgn0032034	  3.15  3.15
FBgn0032036	  5.25  5.25
FBgn0032039	  6.08  6.09
FBgn0032040	  7.47  7.49
FBgn0032042	  5.20  5.20
FBgn0032047	  6.67  6.67
FBgn0032048	  6.38  6.39
FBgn0032050	  2.89  2.90
FBgn0032051	  5.52  5.53
FBgn0032052	  5.31  5.32
FBgn0032053	  7.27  7.27
FBgn0032054	  4.18  4.20
FBgn0032057	  5.25  5.26
FBgn0032059	  7.09  7.09
FBgn0032065	  3.34  3.34
FBgn0032074	  3.62  3.63
FBgn0032075	  8.09  8.10
FBgn0032077	  3.72  3.72
FBgn0032078	  9.32  9.35
FBgn0032079	  6.41  6.42
FBgn0032080	  8.48  8.49
FBgn0032083	  6.31  6.31
FBgn0032086	  9.27  9.29
FBgn0032087	  8.57  8.59
FBgn0032088	 10.20 10.21
FBgn0032089	  7.43  7.43
FBgn0032094	  5.28  5.28
FBgn0032095	  4.75  4.76
FBgn0032096	  3.90  3.91
FBgn0032100	  6.72  6.74
FBgn0032101	  8.54  8.56
FBgn0032105	  8.31  8.33
FBgn0032110	  9.37  9.38
FBgn0032116	  6.26  6.27
FBgn0032117	  6.17  6.18
FBgn0032120	  9.77  9.79
FBgn0032124	  6.87  6.88
FBgn0032125	  5.07  5.08
FBgn0032126	  4.23  4.23
FBgn0032127	  8.86  8.87
FBgn0032129	  5.91  5.91
FBgn0032130	  7.84  7.85
FBgn0032131	  3.18  3.19
FBgn0032132	  2.91  2.91
FBgn0032135	  5.76  5.78
FBgn0032136	  4.46  4.46
FBgn0032138	  4.17  4.17
FBgn0032139	  2.16  2.16
FBgn0032140	  5.60  5.60
FBgn0032143	  5.95  5.95
FBgn0032147	  5.58  5.60
FBgn0032150	  3.25  3.25
FBgn0032151	  6.35  6.38
FBgn0032153	  4.23  4.23
FBgn0032157	  4.31  4.32
FBgn0032160	  6.73  6.75
FBgn0032163	  5.12  5.12
FBgn0032167	  9.36  9.37
FBgn0032168	  8.31  8.34
FBgn0032169	  5.91  5.94
FBgn0032170	  5.81  5.82
FBgn0032171	  1.82  1.83
FBgn0032175	  5.24  5.24
FBgn0032176	  3.74  3.74
FBgn0032178	  5.57  5.59
FBgn0032187	  6.20  6.21
FBgn0032188	  5.59  5.60
FBgn0032189	  3.48  3.49
FBgn0032193	 11.39 11.40
FBgn0032194	  8.23  8.23
FBgn0032202	  8.94  8.95
FBgn0032216	  9.46  9.47
FBgn0032217	  8.12  8.15
FBgn0032218	  5.13  5.13
FBgn0032219	  6.72  6.73
FBgn0032221	  6.73  6.74
FBgn0032222	 10.14 10.14
FBgn0032228	  5.39  5.41
FBgn0032229	  9.71  9.73
FBgn0032233	  4.87  4.88
FBgn0032234	  1.08  1.08
FBgn0032236	  8.65  8.66
FBgn0032242	  9.80  9.83
FBgn0032243	  8.73  8.76
FBgn0032244	 10.09 10.09
FBgn0032246	 10.83 10.85
FBgn0032247	  4.68  4.69
FBgn0032248	  7.58  7.60
FBgn0032249	  7.88  7.90
FBgn0032250	  5.53  5.53
FBgn0032253	  7.46  7.48
FBgn0032256	  6.75  6.75
FBgn0032258	  6.44  6.47
FBgn0032259	  5.92  5.95
FBgn0032260	  4.05  4.05
FBgn0032262	  5.60  5.60
FBgn0032264	  6.77  6.77
FBgn0032266	  5.47  5.48
FBgn0032269	  4.67  4.68
FBgn0032271	  1.11  1.11
FBgn0032280	  9.27  9.28
FBgn0032282	  6.39  6.40
FBgn0032283	  9.33  9.36
FBgn0032284	  6.42  6.42
FBgn0032285	  7.02  7.03
FBgn0032286	  5.86  5.87
FBgn0032287	  9.72  9.73
FBgn0032289	  9.06  9.06
FBgn0032292	  6.28  6.29
FBgn0032293	  3.64  3.66
FBgn0032294	  5.79  5.79
FBgn0032295	  8.27  8.29
FBgn0032296	  3.21  3.21
FBgn0032297	 10.36 10.37
FBgn0032303	  5.55  5.56
FBgn0032305	  9.69  9.71
FBgn0032311	  5.09  5.09
FBgn0032312	  5.10  5.10
FBgn0032313	  5.51  5.52
FBgn0032315	  7.72  7.74
FBgn0032318	  6.75  6.76
FBgn0032321	  7.13  7.17
FBgn0032330	  2.67  2.67
FBgn0032335	  3.98  3.98
FBgn0032336	 10.51 10.52
FBgn0032337	  4.11  4.11
FBgn0032338	 11.92 11.94
FBgn0032339	  8.24  8.25
FBgn0032341	  5.40  5.41
FBgn0032343	  4.55  4.55
FBgn0032345	  5.07  5.08
FBgn0032346	  5.28  5.30
FBgn0032348	 10.87 10.88
FBgn0032350	  4.28  4.28
FBgn0032354	  4.45  4.45
FBgn0032358	  6.75  6.75
FBgn0032360	  5.29  5.29
FBgn0032363	  6.86  6.87
FBgn0032364	  5.86  5.86
FBgn0032368	  1.75  1.76
FBgn0032369	  4.68  4.69
FBgn0032370	  7.27  7.28
FBgn0032371	  7.25  7.27
FBgn0032372	  2.46  2.47
FBgn0032373	  4.77  4.78
FBgn0032374	  5.92  5.92
FBgn0032377	  2.55  2.55
FBgn0032378	  3.60  3.60
FBgn0032381	  6.00  6.01
FBgn0032382	  5.16  5.17
FBgn0032385	  5.71  5.72
FBgn0032387	  4.25  4.25
FBgn0032388	  8.36  8.38
FBgn0032390	  7.69  7.70
FBgn0032395	  8.51  8.51
FBgn0032400	  7.35  7.35
FBgn0032401	  7.34  7.35
FBgn0032402	  9.30  9.34
FBgn0032404	  5.94  5.95
FBgn0032406	  7.05  7.05
FBgn0032407	  7.47  7.50
FBgn0032408	  4.55  4.56
FBgn0032414	  7.80  7.81
FBgn0032416	  7.24  7.25
FBgn0032419	  4.92  4.93
FBgn0032420	  6.81  6.82
FBgn0032421	  6.73  6.75
FBgn0032422	  6.67  6.68
FBgn0032428	  7.11  7.12
FBgn0032429	  5.11  5.11
FBgn0032430	  3.88  3.89
FBgn0032431	  3.88  3.90
FBgn0032434	  5.31  5.32
FBgn0032435	  6.52  6.52
FBgn0032436	  7.15  7.16
FBgn0032437	  4.87  4.88
FBgn0032439	  3.53  3.53
FBgn0032442	  5.25  5.25
FBgn0032444	  6.19  6.20
FBgn0032445	  6.49  6.51
FBgn0032446	  5.75  5.76
FBgn0032447	  4.22  4.22
FBgn0032448	  4.43  4.45
FBgn0032449	  8.57  8.58
FBgn0032450	  7.96  7.99
FBgn0032451	  8.24  8.29
FBgn0032453	 10.05 10.08
FBgn0032456	  7.65  7.65
FBgn0032457	  3.66  3.66
FBgn0032462	  4.70  4.70
FBgn0032464	  3.02  3.02
FBgn0032465	  1.63  1.64
FBgn0032470	  3.53  3.53
FBgn0032471	  2.72  2.72
FBgn0032474	  4.66  4.66
FBgn0032475	  6.47  6.47
FBgn0032479	  5.74  5.75
FBgn0032480	  6.51  6.54
FBgn0032481	  7.12  7.12
FBgn0032482	  7.98  7.98
FBgn0032485	  6.47  6.50
FBgn0032486	  4.08  4.10
FBgn0032487	  5.38  5.39
FBgn0032488	  5.25  5.26
FBgn0032490	  4.98  4.98
FBgn0032491	  5.65  5.67
FBgn0032492	  3.84  3.85
FBgn0032493	  3.96  3.97
FBgn0032494	  5.14  5.15
FBgn0032495	  6.80  6.80
FBgn0032503	  3.19  3.19
FBgn0032505	  4.53  4.54
FBgn0032506	  9.97  9.98
FBgn0032507	  2.50  2.50
FBgn0032509	  5.82  5.82
FBgn0032512	  4.17  4.18
FBgn0032513	  3.83  3.83
FBgn0032514	  6.55  6.57
FBgn0032516	  5.46  5.46
FBgn0032517	  6.70  6.71
FBgn0032521	  8.28  8.28
FBgn0032522	  6.53  6.53
FBgn0032524	  6.84  6.84
FBgn0032533	  5.23  5.23
FBgn0032536	  7.18  7.19
FBgn0032538	  9.01  9.02
FBgn0032549	  5.01  5.01
FBgn0032553	  5.45  5.46
FBgn0032554	  5.47  5.48
FBgn0032563	  2.89  2.90
FBgn0032577	  5.95  5.96
FBgn0032585	  7.06  7.07
FBgn0032586	  8.33  8.34
FBgn0032587	  5.55  5.56
FBgn0032588	  6.46  6.48
FBgn0032593	  7.26  7.28
FBgn0032596	  8.11  8.14
FBgn0032597	  7.14  7.15
FBgn0032598	  5.17  5.18
FBgn0032600	  4.79  4.79
FBgn0032601	  3.93  3.93
FBgn0032602	  4.39  4.39
FBgn0032603	  6.38  6.40
FBgn0032612	  4.89  4.89
FBgn0032615	  7.48  7.50
FBgn0032624	  9.37  9.39
FBgn0032625	  5.29  5.29
FBgn0032626	  3.51  3.51
FBgn0032629	 12.84 12.87
FBgn0032631	  6.69  6.69
FBgn0032632	  6.56  6.56
FBgn0032633	 12.60 12.64
FBgn0032634	  4.56  4.56
FBgn0032635	  5.52  5.52
FBgn0032636	  2.98  2.99
FBgn0032638	 16.25 16.30
FBgn0032640	  9.80  9.82
FBgn0032642	  8.01  8.02
FBgn0032643	  7.33  7.35
FBgn0032644	  5.71  5.72
FBgn0032646	  5.74  5.74
FBgn0032647	  4.46  4.46
FBgn0032649	  5.31  5.32
FBgn0032651	  5.21  5.21
FBgn0032652	  5.07  5.07
FBgn0032654	  4.39  4.39
FBgn0032656	 11.07 11.10
FBgn0032658	  5.54  5.56
FBgn0032664	  5.14  5.14
FBgn0032666	  8.62  8.63
FBgn0032668	 11.30 11.32
FBgn0032677	 10.51 10.54
FBgn0032680	  4.68  4.68
FBgn0032681	  8.72  8.72
FBgn0032682	  8.72  8.72
FBgn0032683	  9.29  9.29
FBgn0032684	  7.50  7.52
FBgn0032685	  2.98  2.99
FBgn0032688	  8.85  8.85
FBgn0032689	  7.19  7.19
FBgn0032692	  9.34  9.37
FBgn0032693	  6.97  6.97
FBgn0032699	  7.39  7.40
FBgn0032700	  5.97  5.97
FBgn0032701	  3.71  3.72
FBgn0032702	  7.22  7.22
FBgn0032703	  5.57  5.58
FBgn0032704	  5.88  5.89
FBgn0032705	  8.66  8.66
FBgn0032706	  7.16  7.16
FBgn0032707	  4.58  4.58
FBgn0032709	 10.07 10.08
FBgn0032713	 10.75 10.76
FBgn0032719	  7.60  7.61
FBgn0032723	  6.55  6.56
FBgn0032724	  8.14  8.16
FBgn0032727	  4.00  4.00
FBgn0032728	  4.46  4.47
FBgn0032729	  8.21  8.23
FBgn0032730	  8.87  8.88
FBgn0032731	  7.28  7.30
FBgn0032732	  6.03  6.03
FBgn0032733	  5.07  5.08
FBgn0032734	  5.30  5.30
FBgn0032741	  4.24  4.24
FBgn0032744	  5.42  5.43
FBgn0032746	  5.26  5.27
FBgn0032749	  3.77  3.77
FBgn0032752	  6.42  6.42
FBgn0032754	  4.81  4.81
FBgn0032769	  4.77  4.78
FBgn0032771	  3.74  3.74
FBgn0032772	  4.91  4.92
FBgn0032785	  8.43  8.44
FBgn0032787	  4.22  4.23
FBgn0032788	  4.86  4.88
FBgn0032789	 10.76 10.76
FBgn0032790	  7.00  7.03
FBgn0032791	  5.99  6.00
FBgn0032793	  4.45  4.45
FBgn0032797	  9.16  9.17
FBgn0032799	  7.43  7.44
FBgn0032800	  8.12  8.15
FBgn0032801	  6.58  6.59
FBgn0032804	  5.63  5.66
FBgn0032809	  5.27  5.28
FBgn0032811	  7.40  7.42
FBgn0032815	  4.86  4.88
FBgn0032818	  7.48  7.50
FBgn0032819	  8.37  8.40
FBgn0032820	  8.59  8.62
FBgn0032821	  7.96  7.98
FBgn0032822	  5.28  5.28
FBgn0032827	  3.30  3.30
FBgn0032833	  5.36  5.37
FBgn0032834	  5.39  5.41
FBgn0032835	  4.79  4.79
FBgn0032840	  6.72  6.72
FBgn0032843	  4.43  4.44
FBgn0032845	  6.41  6.43
FBgn0032846	  6.75  6.77
FBgn0032847	  5.62  5.63
FBgn0032848	  5.07  5.08
FBgn0032849	  5.77  5.77
FBgn0032850	  6.62  6.64
FBgn0032853	  6.60  6.61
FBgn0032856	  6.09  6.12
FBgn0032858	  3.35  3.35
FBgn0032860	  9.09  9.10
FBgn0032867	  5.93  5.95
FBgn0032870	  8.83  8.85
FBgn0032873	  5.57  5.57
FBgn0032876	 11.29 11.36
FBgn0032877	  7.75  7.78
FBgn0032878	  8.92  8.94
FBgn0032879	  2.86  2.87
FBgn0032880	 11.46 11.48
FBgn0032881	  3.55  3.56
FBgn0032882	  7.53  7.56
FBgn0032883	  4.65  4.66
FBgn0032884	  6.82  6.82
FBgn0032889	  6.64  6.65
FBgn0032895	  8.72  8.73
FBgn0032896	  7.50  7.52
FBgn0032897	  7.07  7.09
FBgn0032898	  3.58  3.61
FBgn0032908	  6.65  6.66
FBgn0032911	  7.00  7.01
FBgn0032913	  7.54  7.55
FBgn0032916	  6.05  6.08
FBgn0032919	  5.54  5.54
FBgn0032921	  3.32  3.32
FBgn0032922	  7.76  7.77
FBgn0032923	  4.76  4.77
FBgn0032935	 11.21 11.22
FBgn0032940	 12.18 12.22
FBgn0032957	 10.19 10.20
FBgn0032961	  7.64  7.64
FBgn0032965	 12.40 12.45
FBgn0032967	  5.92  5.93
FBgn0032968	  4.47  4.48
FBgn0032969	  7.43  7.43
FBgn0032971	 15.15 15.19
FBgn0032973	 12.09 12.12
FBgn0032981	  9.11  9.15
FBgn0032988	 19.54 19.56
FBgn0033010	  6.34  6.36
FBgn0033028	 12.74 12.77
FBgn0033038	  5.08  5.09
FBgn0033043	  4.46  4.47
FBgn0033054	  9.86  9.89
FBgn0033055	 16.40 16.43
FBgn0033056	  5.62  5.63
FBgn0033058	  7.36  7.37
FBgn0033060	  7.00  7.02
FBgn0033061	  3.53  3.53
FBgn0033063	 12.50 12.51
FBgn0033067	  5.20  5.20
FBgn0033076	  4.86  4.87
FBgn0033081	  8.77  8.78
FBgn0033085	  1.97  1.98
FBgn0033087	  6.15  6.15
FBgn0033088	  6.43  6.44
FBgn0033093	  9.16  9.18
FBgn0033096	  2.08  2.08
FBgn0033097	  6.79  6.79
FBgn0033108	  6.20  6.21
FBgn0033113	  7.66  7.67
FBgn0033127	 11.94 11.95
FBgn0033128	  5.13  5.14
FBgn0033129	  2.91  2.91
FBgn0033134	  9.21  9.27
FBgn0033135	  7.77  7.80
FBgn0033136	  7.99  8.00
FBgn0033138	  5.78  5.78
FBgn0033139	  6.27  6.27
FBgn0033140	  5.34  5.35
FBgn0033141	  2.91  2.91
FBgn0033145	  4.67  4.70
FBgn0033153	  4.91  4.94
FBgn0033154	  4.49  4.49
FBgn0033155	  5.61  5.61
FBgn0033158	  4.15  4.16
FBgn0033159	  4.63  4.64
FBgn0033160	  4.14  4.15
FBgn0033164	 11.09 11.09
FBgn0033166	 10.64 10.65
FBgn0033167	  5.84  5.84
FBgn0033168	  7.24  7.24
FBgn0033169	  5.39  5.39
FBgn0033174	  7.62  7.63
FBgn0033177	  4.96  4.97
FBgn0033178	  5.96  5.99
FBgn0033186	  8.55  8.56
FBgn0033187	  9.75  9.76
FBgn0033191	  7.56  7.56
FBgn0033192	  5.20  5.20
FBgn0033194	  6.62  6.66
FBgn0033195	  4.76  4.76
FBgn0033196	  7.34  7.35
FBgn0033199	  3.79  3.80
FBgn0033205	 10.82 10.88
FBgn0033206	 10.31 10.33
FBgn0033207	  3.90  3.90
FBgn0033208	  3.61  3.62
FBgn0033209	  4.75  4.76
FBgn0033210	  3.98  3.98
FBgn0033212	  7.76  7.76
FBgn0033214	  5.13  5.14
FBgn0033215	  9.74  9.75
FBgn0033216	  3.98  3.98
FBgn0033221	  3.49  3.50
FBgn0033224	  6.29  6.32
FBgn0033225	  9.13  9.18
FBgn0033226	  8.78  8.80
FBgn0033232	  8.32  8.33
FBgn0033234	  7.27  7.29
FBgn0033236	 10.70 10.72
FBgn0033240	  6.24  6.24
FBgn0033243	  2.14  2.14
FBgn0033244	  8.34  8.36
FBgn0033247	  4.55  4.57
FBgn0033248	 10.78 10.79
FBgn0033249	  9.34  9.35
FBgn0033250	 11.83 11.85
FBgn0033252	  5.08  5.08
FBgn0033258	  6.89  6.91
FBgn0033259	  7.65  7.67
FBgn0033261	  4.06  4.07
FBgn0033265	  4.46  4.46
FBgn0033266	  6.92  6.93
FBgn0033268	 12.81 12.84
FBgn0033275	  3.85  3.86
FBgn0033277	  4.40  4.40
FBgn0033285	  9.99 10.02
FBgn0033289	  4.96  4.96
FBgn0033294	  5.69  5.70
FBgn0033297	  4.04  4.04
FBgn0033301	  4.40  4.40
FBgn0033302	  7.72  7.74
FBgn0033303	  9.14  9.17
FBgn0033307	  2.58  2.58
FBgn0033308	  2.87  2.87
FBgn0033309	  5.58  5.61
FBgn0033312	  6.87  6.88
FBgn0033313	  6.08  6.09
FBgn0033315	  7.26  7.27
FBgn0033317	 13.18 13.21
FBgn0033323	  4.69  4.70
FBgn0033327	  7.13  7.16
FBgn0033330	  2.25  2.25
FBgn0033337	  7.84  7.87
FBgn0033340	  4.11  4.11
FBgn0033341	  1.98  1.98
FBgn0033344	  5.90  5.90
FBgn0033348	  4.01  4.01
FBgn0033349	  7.55  7.58
FBgn0033350	  4.98  5.00
FBgn0033351	  3.38  3.39
FBgn0033352	  3.73  3.74
FBgn0033357	  7.41  7.42
FBgn0033358	  7.64  7.67
FBgn0033362	  2.31  2.32
FBgn0033363	  4.57  4.58
FBgn0033364	  3.93  3.94
FBgn0033365	  9.14  9.16
FBgn0033367	  1.83  1.83
FBgn0033372	  4.43  4.44
FBgn0033376	  5.39  5.40
FBgn0033379	  7.02  7.03
FBgn0033380	  6.91  6.92
FBgn0033382	 12.44 12.47
FBgn0033387	  4.46  4.47
FBgn0033388	  7.90  7.92
FBgn0033389	  8.59  8.61
FBgn0033392	  7.00  7.00
FBgn0033395	 12.68 12.71
FBgn0033400	  5.28  5.29
FBgn0033401	  7.00  7.02
FBgn0033402	  6.52  6.52
FBgn0033404	  5.34  5.35
FBgn0033412	  7.27  7.28
FBgn0033413	  9.11  9.14
FBgn0033421	  6.52  6.53
FBgn0033422	  8.37  8.38
FBgn0033427	  3.75  3.76
FBgn0033428	  7.28  7.29
FBgn0033431	  6.15  6.17
FBgn0033438	 13.97 14.01
FBgn0033442	 14.48 14.53
FBgn0033443	 10.32 10.33
FBgn0033446	 10.47 10.48
FBgn0033447	  4.10  4.10
FBgn0033448	  6.80  6.82
FBgn0033449	  3.09  3.10
FBgn0033450	  3.41  3.41
FBgn0033451	  4.58  4.58
FBgn0033453	  5.32  5.32
FBgn0033454	  5.93  5.95
FBgn0033457	  4.56  4.56
FBgn0033460	  3.30  3.30
FBgn0033461	  2.24  2.24
FBgn0033463	  8.27  8.27
FBgn0033464	  7.75  7.78
