# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-a" "sim.saf" "-t" "gene" "-F" "SAF" "-o" "fc_sim-specific.txt" "nodup_sorted_w501_1.bam" "nodup_sorted_w501_2.bam" "nodup_sorted_w501_3.bam" 
Geneid	Chr	Start	End	Strand	Length	nodup_sorted_w501_1.bam	nodup_sorted_w501_2.bam	nodup_sorted_w501_3.bam
Scf_2L.13762005.13762588	Scf_2L	13762005	13762588	.	584	240	208	289
Scf_2L.13762955.13763461	Scf_2L	13762955	13763461	.	507	254	198	313
Scf_2L.13771339.13772238	Scf_2L	13771339	13772238	.	900	338	361	411
Scf_2L.13775419.13776216	Scf_2L	13775419	13776216	.	798	434	406	534
Scf_2L.13776399.13776826	Scf_2L	13776399	13776826	.	428	281	225	335
Scf_2L.13807406.13807580	Scf_2L	13807406	13807580	.	175	99	71	113
Scf_2L.13842469.13843362	Scf_2L	13842469	13843362	.	894	708	619	762
Scf_2L.13844659.13845125	Scf_2L	13844659	13845125	.	467	203	187	215
Scf_2L.13853674.13853934	Scf_2L	13853674	13853934	.	261	157	104	189
Scf_2L.13876039.13876796	Scf_2L	13876039	13876796	.	758	407	279	407
Scf_2L.13890081.13890628	Scf_2L	13890081	13890628	.	548	193	145	219
Scf_2L.13893286.13893578	Scf_2L	13893286	13893578	.	293	146	115	148
Scf_2L.13896361.13897632	Scf_2L	13896361	13897632	.	1272	883	669	977
Scf_2L.13900775.13901364	Scf_2L	13900775	13901364	.	590	268	126	293
Scf_2L.13903686.13903831	Scf_2L	13903686	13903831	.	146	100	72	129
Scf_2L.13926904.13927316	Scf_2L	13926904	13927316	.	413	155	92	160
Scf_2L.13937312.13937691	Scf_2L	13937312	13937691	.	380	168	112	183
Scf_2L.13948297.13950766	Scf_2L	13948297	13950766	.	2470	1037	926	1236
Scf_2L.13950882.13951464	Scf_2L	13950882	13951464	.	583	630	449	683
Scf_2L.13951769.13952226	Scf_2L	13951769	13952226	.	458	175	149	204
Scf_2L.13995227.13995526	Scf_2L	13995227	13995526	.	300	147	88	144
Scf_2L.14012898.14013298	Scf_2L	14012898	14013298	.	401	161	178	219
Scf_2L.14013432.14013799	Scf_2L	14013432	14013799	.	368	109	131	152
Scf_2L.14028446.14029372	Scf_2L	14028446	14029372	.	927	1175	881	1232
Scf_2L.14033945.14034215	Scf_2L	14033945	14034215	.	271	111	84	119
Scf_2L.14043290.14044043	Scf_2L	14043290	14044043	.	754	380	282	451
Scf_2L.14062573.14062869	Scf_2L	14062573	14062869	.	297	117	91	144
Scf_2L.14097015.14097379	Scf_2L	14097015	14097379	.	365	128	115	181
Scf_2L.14110974.14111317	Scf_2L	14110974	14111317	.	344	137	96	171
Scf_2L.14112409.14113388	Scf_2L	14112409	14113388	.	980	479	349	543
Scf_2L.14115698.14116618	Scf_2L	14115698	14116618	.	921	310	279	356
Scf_2L.14127926.14128231	Scf_2L	14127926	14128231	.	306	268	164	265
Scf_2L.14137243.14139221	Scf_2L	14137243	14139221	.	1979	1546	1303	1681
Scf_2L.14147317.14147494	Scf_2L	14147317	14147494	.	178	105	72	114
Scf_2L.14152785.14152996	Scf_2L	14152785	14152996	.	212	117	94	147
Scf_2L.14157631.14158258	Scf_2L	14157631	14158258	.	628	294	231	343
Scf_2L.14158532.14158897	Scf_2L	14158532	14158897	.	366	101	103	123
Scf_2L.14159307.14159454	Scf_2L	14159307	14159454	.	148	82	83	127
Scf_2L.14167104.14167741	Scf_2L	14167104	14167741	.	638	683	438	700
Scf_2L.14170487.14171236	Scf_2L	14170487	14171236	.	750	302	230	401
Scf_2L.14175100.14175459	Scf_2L	14175100	14175459	.	360	215	128	253
Scf_2L.14178257.14179421	Scf_2L	14178257	14179421	.	1165	905	739	1050
Scf_2L.14180790.14181570	Scf_2L	14180790	14181570	.	781	396	316	537
Scf_2L.14194827.14195021	Scf_2L	14194827	14195021	.	195	100	88	106
Scf_2L.14200402.14202009	Scf_2L	14200402	14202009	.	1608	977	710	1076
Scf_2L.14217401.14218280	Scf_2L	14217401	14218280	.	880	826	517	831
Scf_2L.14218816.14219046	Scf_2L	14218816	14219046	.	231	114	102	154
Scf_2L.14219149.14219473	Scf_2L	14219149	14219473	.	325	71	54	79
Scf_2L.14235089.14235403	Scf_2L	14235089	14235403	.	315	244	165	225
Scf_2L.14253543.14253747	Scf_2L	14253543	14253747	.	205	132	83	131
Scf_2L.14268222.14268472	Scf_2L	14268222	14268472	.	251	193	105	210
Scf_2L.14337842.14338106	Scf_2L	14337842	14338106	.	265	115	93	159
Scf_2L.14341975.14342882	Scf_2L	14341975	14342882	.	908	533	472	632
Scf_2L.14362459.14365585	Scf_2L	14362459	14365585	.	3127	1908	1465	1942
Scf_2L.14373370.14373626	Scf_2L	14373370	14373626	.	257	229	152	209
Scf_2L.14504469.14504650	Scf_2L	14504469	14504650	.	182	87	91	114
Scf_2L.14507941.14508249	Scf_2L	14507941	14508249	.	309	172	176	206
Scf_2L.14518111.14518323	Scf_2L	14518111	14518323	.	213	116	70	123
Scf_2L.14518436.14518690	Scf_2L	14518436	14518690	.	255	48	51	77
Scf_2L.14519932.14520118	Scf_2L	14519932	14520118	.	187	93	60	89
Scf_2L.14520314.14520674	Scf_2L	14520314	14520674	.	361	163	109	186
Scf_2L.14521983.14522787	Scf_2L	14521983	14522787	.	805	495	310	508
Scf_2L.14551209.14552567	Scf_2L	14551209	14552567	.	1359	895	678	992
Scf_2L.14569696.14570889	Scf_2L	14569696	14570889	.	1194	868	574	900
Scf_2L.14573257.14573947	Scf_2L	14573257	14573947	.	691	384	317	402
Scf_2L.14574518.14574685	Scf_2L	14574518	14574685	.	168	72	53	99
Scf_2L.14580262.14581035	Scf_2L	14580262	14581035	.	774	570	364	576
Scf_2L.14625772.14626633	Scf_2L	14625772	14626633	.	862	562	391	588
Scf_2L.14630494.14630635	Scf_2L	14630494	14630635	.	142	36	54	75
Scf_2L.14630740.14630923	Scf_2L	14630740	14630923	.	184	115	47	101
Scf_2L.14638793.14639276	Scf_2L	14638793	14639276	.	484	204	145	206
Scf_2L.14639385.14639863	Scf_2L	14639385	14639863	.	479	229	140	229
Scf_2L.14643908.14644606	Scf_2L	14643908	14644606	.	699	746	574	882
Scf_2L.14727295.14727677	Scf_2L	14727295	14727677	.	383	151	111	164
Scf_2L.14727797.14728676	Scf_2L	14727797	14728676	.	880	554	446	670
Scf_2L.14728800.14728930	Scf_2L	14728800	14728930	.	131	22	31	38
Scf_2L.14749385.14749605	Scf_2L	14749385	14749605	.	221	54	56	92
Scf_2L.14749721.14750000	Scf_2L	14749721	14750000	.	280	102	108	130
Scf_2L.14854091.14854380	Scf_2L	14854091	14854380	.	290	176	100	202
Scf_2L.14855648.14856416	Scf_2L	14855648	14856416	.	769	327	197	415
Scf_2L.14863444.14864823	Scf_2L	14863444	14864823	.	1380	962	717	948
Scf_2L.14870752.14871741	Scf_2L	14870752	14871741	.	990	750	480	761
Scf_2L.14871955.14872127	Scf_2L	14871955	14872127	.	173	46	22	36
Scf_2L.14874338.14874832	Scf_2L	14874338	14874832	.	495	373	240	314
Scf_2L.14930900.14931471	Scf_2L	14930900	14931471	.	572	226	104	220
Scf_2L.14931843.14932384	Scf_2L	14931843	14932384	.	542	530	436	613
Scf_2L.14937794.14938154	Scf_2L	14937794	14938154	.	361	193	103	187
Scf_2L.14950364.14950717	Scf_2L	14950364	14950717	.	354	234	149	272
Scf_2L.15024242.15024734	Scf_2L	15024242	15024734	.	493	262	178	254
Scf_2L.15060939.15061349	Scf_2L	15060939	15061349	.	411	180	175	242
Scf_2L.15089893.15090922	Scf_2L	15089893	15090922	.	1030	880	641	966
Scf_2L.15092214.15092801	Scf_2L	15092214	15092801	.	588	188	198	246
Scf_2L.15193750.15194203	Scf_2L	15193750	15194203	.	454	371	319	401
Scf_2L.15196266.15197078	Scf_2L	15196266	15197078	.	813	217	179	229
Scf_2L.15197246.15198504	Scf_2L	15197246	15198504	.	1259	618	454	661
Scf_2L.15228401.15228582	Scf_2L	15228401	15228582	.	182	122	71	112
Scf_2L.15237639.15237848	Scf_2L	15237639	15237848	.	210	131	98	172
Scf_2L.15239389.15239729	Scf_2L	15239389	15239729	.	341	165	135	197
Scf_2L.15261395.15261689	Scf_2L	15261395	15261689	.	295	191	112	241
Scf_2L.15266741.15266968	Scf_2L	15266741	15266968	.	228	160	113	188
Scf_2L.15284368.15286451	Scf_2L	15284368	15286451	.	2084	971	744	1058
Scf_2L.15286668.15286826	Scf_2L	15286668	15286826	.	159	18	18	27
Scf_2L.15286951.15287829	Scf_2L	15286951	15287829	.	879	599	441	618
Scf_2L.15290915.15291431	Scf_2L	15290915	15291431	.	517	322	180	340
Scf_2L.15292238.15292415	Scf_2L	15292238	15292415	.	178	125	95	159
Scf_2L.15301575.15302891	Scf_2L	15301575	15302891	.	1317	1100	963	1132
Scf_2L.15304332.15304745	Scf_2L	15304332	15304745	.	414	178	164	223
Scf_2L.15307883.15308280	Scf_2L	15307883	15308280	.	398	195	102	199
Scf_2L.15310938.15311081	Scf_2L	15310938	15311081	.	144	128	64	140
Scf_2L.15441729.15441950	Scf_2L	15441729	15441950	.	222	112	57	142
Scf_2L.15446211.15446357	Scf_2L	15446211	15446357	.	147	38	50	54
Scf_2L.15446586.15446905	Scf_2L	15446586	15446905	.	320	115	125	173
Scf_2L.15449385.15452944	Scf_2L	15449385	15452944	.	3560	3255	2385	3294
Scf_2L.15538477.15539144	Scf_2L	15538477	15539144	.	668	522	254	514
Scf_2L.15539314.15540450	Scf_2L	15539314	15540450	.	1137	666	458	714
Scf_2L.15542226.15542915	Scf_2L	15542226	15542915	.	690	440	284	430
Scf_2L.15560579.15560804	Scf_2L	15560579	15560804	.	226	122	89	119
Scf_2L.15573361.15573567	Scf_2L	15573361	15573567	.	207	142	58	154
Scf_2L.15580112.15580627	Scf_2L	15580112	15580627	.	516	207	161	238
Scf_2L.15656759.15656929	Scf_2L	15656759	15656929	.	171	107	57	108
Scf_2L.15706228.15706687	Scf_2L	15706228	15706687	.	460	224	181	266
Scf_2L.15768461.15768673	Scf_2L	15768461	15768673	.	213	103	82	129
Scf_2L.15769233.15769500	Scf_2L	15769233	15769500	.	268	128	82	150
Scf_2L.15778507.15778733	Scf_2L	15778507	15778733	.	227	81	42	74
Scf_2L.15778842.15779978	Scf_2L	15778842	15779978	.	1137	734	508	722
Scf_2L.15780246.15780660	Scf_2L	15780246	15780660	.	415	217	205	293
Scf_2L.15783767.15784984	Scf_2L	15783767	15784984	.	1218	538	402	649
Scf_2L.15785152.15785718	Scf_2L	15785152	15785718	.	567	183	178	212
Scf_2L.15788723.15789087	Scf_2L	15788723	15789087	.	365	138	77	106
Scf_2L.15789301.15789683	Scf_2L	15789301	15789683	.	383	125	81	168
Scf_2L.15792347.15792542	Scf_2L	15792347	15792542	.	196	114	94	145
Scf_2L.15795249.15795881	Scf_2L	15795249	15795881	.	633	381	268	437
Scf_2L.15796177.15797243	Scf_2L	15796177	15797243	.	1067	762	445	690
Scf_2L.15798018.15798255	Scf_2L	15798018	15798255	.	238	77	90	119
Scf_2L.15798417.15799089	Scf_2L	15798417	15799089	.	673	375	292	461
Scf_2L.15800821.15801142	Scf_2L	15800821	15801142	.	322	127	111	152
Scf_2L.15806775.15807307	Scf_2L	15806775	15807307	.	533	356	258	422
Scf_2L.15810182.15811083	Scf_2L	15810182	15811083	.	902	743	506	713
Scf_2L.15811822.15812163	Scf_2L	15811822	15812163	.	342	120	102	121
Scf_2L.15812331.15813843	Scf_2L	15812331	15813843	.	1513	1026	764	967
Scf_2L.15813976.15814285	Scf_2L	15813976	15814285	.	310	93	45	81
Scf_2L.15814398.15814683	Scf_2L	15814398	15814683	.	286	54	52	62
Scf_2L.15825280.15825740	Scf_2L	15825280	15825740	.	461	210	114	217
Scf_2L.15825948.15826101	Scf_2L	15825948	15826101	.	154	44	47	42
Scf_2L.15828506.15828871	Scf_2L	15828506	15828871	.	366	148	101	160
Scf_2L.15829003.15829118	Scf_2L	15829003	15829118	.	116	28	24	42
Scf_2L.15832915.15833263	Scf_2L	15832915	15833263	.	349	173	105	164
Scf_2L.15833399.15833547	Scf_2L	15833399	15833547	.	149	69	29	63
Scf_2L.15836091.15836381	Scf_2L	15836091	15836381	.	291	79	73	100
Scf_2L.15836495.15836876	Scf_2L	15836495	15836876	.	382	129	93	173
Scf_2L.15840771.15841327	Scf_2L	15840771	15841327	.	557	326	269	348
Scf_2L.15841542.15842057	Scf_2L	15841542	15842057	.	516	221	188	236
Scf_2L.15843922.15844238	Scf_2L	15843922	15844238	.	317	132	163	194
Scf_2L.15850516.15851913	Scf_2L	15850516	15851913	.	1398	968	637	1048
Scf_2L.15854401.15854992	Scf_2L	15854401	15854992	.	592	267	169	283
Scf_2L.15875545.15875983	Scf_2L	15875545	15875983	.	439	223	218	267
Scf_2L.15876214.15878342	Scf_2L	15876214	15878342	.	2129	1159	756	1294
Scf_2L.15878566.15879315	Scf_2L	15878566	15879315	.	750	204	227	282
Scf_2L.15881824.15882737	Scf_2L	15881824	15882737	.	914	453	391	538
Scf_2L.15883635.15883925	Scf_2L	15883635	15883925	.	291	133	132	206
Scf_2L.15891118.15891525	Scf_2L	15891118	15891525	.	408	247	207	284
Scf_2L.15942355.15942657	Scf_2L	15942355	15942657	.	303	120	126	170
Scf_2L.15948598.15948956	Scf_2L	15948598	15948956	.	359	253	136	294
Scf_2L.15986950.15987102	Scf_2L	15986950	15987102	.	153	57	83	85
Scf_2L.15996681.15997094	Scf_2L	15996681	15997094	.	414	1597	3229	1854
Scf_2L.16004481.16004744	Scf_2L	16004481	16004744	.	264	132	106	183
Scf_2L.16012328.16012646	Scf_2L	16012328	16012646	.	319	125	91	172
Scf_2L.16012904.16013386	Scf_2L	16012904	16013386	.	483	282	141	286
Scf_2L.16014446.16014639	Scf_2L	16014446	16014639	.	194	107	59	122
Scf_2L.16017299.16018441	Scf_2L	16017299	16018441	.	1143	550	323	551
Scf_2L.16018578.16018926	Scf_2L	16018578	16018926	.	349	129	100	115
Scf_2L.16019626.16019761	Scf_2L	16019626	16019761	.	136	59	69	73
Scf_2L.16020017.16020281	Scf_2L	16020017	16020281	.	265	84	97	109
Scf_2L.16022742.16023030	Scf_2L	16022742	16023030	.	289	187	138	210
Scf_2L.16039033.16039398	Scf_2L	16039033	16039398	.	366	184	152	236
Scf_2L.16039499.16039989	Scf_2L	16039499	16039989	.	491	253	181	265
Scf_2L.16040258.16040606	Scf_2L	16040258	16040606	.	349	111	70	130
Scf_2L.16041307.16041784	Scf_2L	16041307	16041784	.	478	210	154	253
Scf_2L.16042202.16042675	Scf_2L	16042202	16042675	.	474	239	169	274
Scf_2L.16044897.16045829	Scf_2L	16044897	16045829	.	933	772	580	794
Scf_2L.16048534.16049120	Scf_2L	16048534	16049120	.	587	345	387	363
Scf_2L.16049261.16049655	Scf_2L	16049261	16049655	.	395	118	148	133
Scf_2L.16049990.16050153	Scf_2L	16049990	16050153	.	164	66	57	67
Scf_2L.16051856.16052910	Scf_2L	16051856	16052910	.	1055	712	547	725
Scf_2L.16053133.16053742	Scf_2L	16053133	16053742	.	610	428	280	440
Scf_2L.16063272.16063470	Scf_2L	16063272	16063470	.	199	97	63	145
Scf_2L.16063760.16063877	Scf_2L	16063760	16063877	.	118	17	14	27
Scf_2L.16064080.16064399	Scf_2L	16064080	16064399	.	320	196	174	259
Scf_2L.16064940.16065265	Scf_2L	16064940	16065265	.	326	126	87	143
Scf_2L.16067438.16067736	Scf_2L	16067438	16067736	.	299	123	82	120
Scf_2L.16072699.16072861	Scf_2L	16072699	16072861	.	163	104	64	118
Scf_2L.16107837.16108094	Scf_2L	16107837	16108094	.	258	133	94	131
Scf_2L.16108624.16108805	Scf_2L	16108624	16108805	.	182	99	56	122
Scf_2L.16121466.16122098	Scf_2L	16121466	16122098	.	633	702	462	705
Scf_2L.16138758.16139477	Scf_2L	16138758	16139477	.	720	334	181	397
Scf_2L.16140573.16140930	Scf_2L	16140573	16140930	.	358	246	123	234
Scf_2L.16154894.16155687	Scf_2L	16154894	16155687	.	794	561	421	625
Scf_2L.16156089.16156931	Scf_2L	16156089	16156931	.	843	517	264	526
Scf_2L.16172546.16172872	Scf_2L	16172546	16172872	.	327	156	134	202
Scf_2L.16173037.16173849	Scf_2L	16173037	16173849	.	813	636	377	675
Scf_2L.16177396.16178146	Scf_2L	16177396	16178146	.	751	495	388	606
Scf_2L.16180973.16181516	Scf_2L	16180973	16181516	.	544	349	291	371
Scf_2L.16184265.16184466	Scf_2L	16184265	16184466	.	202	63	56	82
Scf_2L.16184581.16185011	Scf_2L	16184581	16185011	.	431	155	119	185
Scf_2L.16204371.16204788	Scf_2L	16204371	16204788	.	418	167	112	167
Scf_2L.16207322.16208050	Scf_2L	16207322	16208050	.	729	343	289	450
Scf_2L.16230823.16230998	Scf_2L	16230823	16230998	.	176	132	65	156
Scf_2L.16243667.16243928	Scf_2L	16243667	16243928	.	262	128	128	149
Scf_2L.16247130.16247579	Scf_2L	16247130	16247579	.	450	226	142	240
Scf_2L.16247728.16248888	Scf_2L	16247728	16248888	.	1161	542	439	582
Scf_2L.16254970.16255615	Scf_2L	16254970	16255615	.	646	391	329	482
Scf_2L.16257190.16257632	Scf_2L	16257190	16257632	.	443	246	168	296
Scf_2L.16258384.16258890	Scf_2L	16258384	16258890	.	507	177	119	244
Scf_2L.16259498.16260024	Scf_2L	16259498	16260024	.	527	151	102	210
Scf_2L.16260247.16260375	Scf_2L	16260247	16260375	.	129	44	30	64
Scf_2L.16265905.16266253	Scf_2L	16265905	16266253	.	349	140	115	189
Scf_2L.16270369.16270964	Scf_2L	16270369	16270964	.	596	191	134	220
Scf_2L.16271079.16271638	Scf_2L	16271079	16271638	.	560	229	168	300
Scf_2L.16319132.16319495	Scf_2L	16319132	16319495	.	364	283	178	277
Scf_2L.16321223.16321435	Scf_2L	16321223	16321435	.	213	109	61	121
Scf_2L.16321828.16322022	Scf_2L	16321828	16322022	.	195	90	46	101
Scf_2L.16344027.16345005	Scf_2L	16344027	16345005	.	979	485	400	497
Scf_2L.16346229.16346858	Scf_2L	16346229	16346858	.	630	355	378	410
Scf_2L.16352591.16353249	Scf_2L	16352591	16353249	.	659	436	258	496
Scf_2L.16354880.16355711	Scf_2L	16354880	16355711	.	832	494	352	543
Scf_2L.16374924.16376888	Scf_2L	16374924	16376888	.	1965	1193	934	1348
Scf_2L.16378868.16379248	Scf_2L	16378868	16379248	.	381	223	164	280
Scf_2L.16381911.16382240	Scf_2L	16381911	16382240	.	330	249	130	255
Scf_2L.16398605.16398755	Scf_2L	16398605	16398755	.	151	69	42	63
Scf_2L.16398886.16398987	Scf_2L	16398886	16398987	.	102	47	28	53
Scf_2L.16399807.16400911	Scf_2L	16399807	16400911	.	1105	722	694	751
Scf_2L.16401612.16401945	Scf_2L	16401612	16401945	.	334	204	115	204
Scf_2L.16405796.16406185	Scf_2L	16405796	16406185	.	390	193	146	225
Scf_2L.16406995.16407497	Scf_2L	16406995	16407497	.	503	284	264	316
Scf_2L.16407692.16408559	Scf_2L	16407692	16408559	.	868	396	254	464
Scf_2L.16421620.16421737	Scf_2L	16421620	16421737	.	118	103	43	113
Scf_2L.16432539.16433187	Scf_2L	16432539	16433187	.	649	346	227	438
Scf_2L.16483076.16483511	Scf_2L	16483076	16483511	.	436	112	114	145
Scf_2L.16483630.16483904	Scf_2L	16483630	16483904	.	275	82	93	106
Scf_2L.16491143.16491343	Scf_2L	16491143	16491343	.	201	95	61	116
Scf_2L.16499892.16501498	Scf_2L	16499892	16501498	.	1607	674	449	792
Scf_2L.16501779.16502261	Scf_2L	16501779	16502261	.	483	168	109	180
Scf_2L.16515827.16517707	Scf_2L	16515827	16517707	.	1881	1249	1001	1402
Scf_2L.16529566.16529948	Scf_2L	16529566	16529948	.	383	180	111	212
Scf_2L.16534982.16535104	Scf_2L	16534982	16535104	.	123	96	62	108
Scf_2L.16562963.16563093	Scf_2L	16562963	16563093	.	131	36	38	35
Scf_2L.16563206.16563524	Scf_2L	16563206	16563524	.	319	121	67	138
Scf_2L.16576436.16577347	Scf_2L	16576436	16577347	.	912	268	393	352
Scf_2L.16577461.16577710	Scf_2L	16577461	16577710	.	250	69	72	71
Scf_2L.16610645.16610840	Scf_2L	16610645	16610840	.	196	132	111	173
Scf_2L.16650674.16651514	Scf_2L	16650674	16651514	.	841	763	564	770
Scf_2L.16708999.16709158	Scf_2L	16708999	16709158	.	160	118	51	117
Scf_2L.16736797.16737430	Scf_2L	16736797	16737430	.	634	267	227	299
Scf_2L.16750280.16750451	Scf_2L	16750280	16750451	.	172	113	81	119
Scf_2L.16771519.16771939	Scf_2L	16771519	16771939	.	421	456	329	443
Scf_2L.16783114.16783350	Scf_2L	16783114	16783350	.	237	138	102	172
Scf_2L.16854984.16855599	Scf_2L	16854984	16855599	.	616	253	210	278
Scf_2L.16856814.16857072	Scf_2L	16856814	16857072	.	259	112	93	120
Scf_2L.16857702.16857964	Scf_2L	16857702	16857964	.	263	152	134	164
Scf_2L.16858528.16862132	Scf_2L	16858528	16862132	.	3605	2073	1478	2233
Scf_2L.16889830.16890402	Scf_2L	16889830	16890402	.	573	330	261	332
Scf_2L.16890627.16891186	Scf_2L	16890627	16891186	.	560	419	285	446
Scf_2L.16893825.16894428	Scf_2L	16893825	16894428	.	604	405	379	470
Scf_2L.16895165.16895738	Scf_2L	16895165	16895738	.	574	478	464	485
Scf_2L.16896149.16896844	Scf_2L	16896149	16896844	.	696	348	282	366
Scf_2L.16903166.16903606	Scf_2L	16903166	16903606	.	441	161	139	203
Scf_2L.16904707.16904873	Scf_2L	16904707	16904873	.	167	81	69	104
Scf_2L.16905293.16905503	Scf_2L	16905293	16905503	.	211	77	64	108
Scf_2L.16905815.16906196	Scf_2L	16905815	16906196	.	382	165	101	180
Scf_2L.16910943.16911341	Scf_2L	16910943	16911341	.	399	246	155	245
Scf_2L.16916095.16916724	Scf_2L	16916095	16916724	.	630	325	207	353
Scf_2L.16932894.16933105	Scf_2L	16932894	16933105	.	212	79	59	94
Scf_2L.16933369.16934367	Scf_2L	16933369	16934367	.	999	904	770	960
Scf_2L.16935564.16935977	Scf_2L	16935564	16935977	.	414	217	136	231
Scf_2L.16936247.16936503	Scf_2L	16936247	16936503	.	257	47	46	36
Scf_2L.16936800.16937305	Scf_2L	16936800	16937305	.	506	238	229	313
Scf_2L.16967505.16968053	Scf_2L	16967505	16968053	.	549	252	226	284
Scf_2L.16968858.16969116	Scf_2L	16968858	16969116	.	259	174	110	133
Scf_2L.16969738.16971157	Scf_2L	16969738	16971157	.	1420	1063	869	1008
Scf_2L.16971318.16971506	Scf_2L	16971318	16971506	.	189	70	69	77
Scf_2L.16992191.16994300	Scf_2L	16992191	16994300	.	2110	1417	913	1463
Scf_2L.16997996.16998675	Scf_2L	16997996	16998675	.	680	403	282	464
Scf_2L.17001346.17002309	Scf_2L	17001346	17002309	.	964	395	237	439
Scf_2L.17004450.17005546	Scf_2L	17004450	17005546	.	1097	533	349	505
Scf_2L.17012773.17013295	Scf_2L	17012773	17013295	.	523	239	203	283
Scf_2L.17021401.17021791	Scf_2L	17021401	17021791	.	391	177	100	167
Scf_2L.17141194.17141427	Scf_2L	17141194	17141427	.	234	121	69	125
Scf_2L.17231675.17232064	Scf_2L	17231675	17232064	.	390	188	92	185
Scf_2L.17299231.17299435	Scf_2L	17299231	17299435	.	205	139	83	110
Scf_2L.17344896.17345105	Scf_2L	17344896	17345105	.	210	102	99	142
Scf_2L.17353432.17353589	Scf_2L	17353432	17353589	.	158	122	46	107
Scf_2L.17386903.17387125	Scf_2L	17386903	17387125	.	223	109	85	115
Scf_2L.17469985.17471184	Scf_2L	17469985	17471184	.	1200	870	529	815
Scf_2L.17540283.17540449	Scf_2L	17540283	17540449	.	167	124	87	140
Scf_2L.17576493.17577245	Scf_2L	17576493	17577245	.	753	235	252	227
Scf_2L.17582348.17582501	Scf_2L	17582348	17582501	.	154	114	46	123
Scf_2L.17620712.17620914	Scf_2L	17620712	17620914	.	203	110	96	122
Scf_2L.17624261.17624440	Scf_2L	17624261	17624440	.	180	121	59	121
Scf_2L.17625484.17626020	Scf_2L	17625484	17626020	.	537	336	183	321
Scf_2L.17635942.17636556	Scf_2L	17635942	17636556	.	615	265	224	348
Scf_2L.17643000.17643487	Scf_2L	17643000	17643487	.	488	281	171	289
Scf_2L.17643863.17644480	Scf_2L	17643863	17644480	.	618	425	275	441
Scf_2L.17647569.17648625	Scf_2L	17647569	17648625	.	1057	609	467	616
Scf_2L.17651260.17651670	Scf_2L	17651260	17651670	.	411	160	125	174
Scf_2L.17653364.17654015	Scf_2L	17653364	17654015	.	652	285	241	295
Scf_2L.17655054.17655335	Scf_2L	17655054	17655335	.	282	131	116	129
Scf_2L.17656557.17657050	Scf_2L	17656557	17657050	.	494	357	270	382
Scf_2L.17657375.17658848	Scf_2L	17657375	17658848	.	1474	1147	940	1159
Scf_2L.17659211.17659856	Scf_2L	17659211	17659856	.	646	315	222	376
Scf_2L.17662184.17662686	Scf_2L	17662184	17662686	.	503	238	190	256
Scf_2L.17664494.17665371	Scf_2L	17664494	17665371	.	878	422	287	445
Scf_2L.17665901.17666311	Scf_2L	17665901	17666311	.	411	201	187	203
Scf_2L.17763484.17763916	Scf_2L	17763484	17763916	.	433	247	177	178
Scf_2L.17764230.17764399	Scf_2L	17764230	17764399	.	170	76	55	90
Scf_2L.17772417.17772823	Scf_2L	17772417	17772823	.	407	197	138	243
Scf_2L.17796769.17801673	Scf_2L	17796769	17801673	.	4905	2791	2362	2957
Scf_2L.17801858.17802026	Scf_2L	17801858	17802026	.	169	85	58	81
Scf_2L.17805303.17805507	Scf_2L	17805303	17805507	.	205	139	52	132
Scf_2L.17814751.17817642	Scf_2L	17814751	17817642	.	2892	1830	1423	2006
Scf_2L.17820539.17820693	Scf_2L	17820539	17820693	.	155	60	38	79
Scf_2L.17820972.17822116	Scf_2L	17820972	17822116	.	1145	794	507	799
Scf_2L.17845589.17846653	Scf_2L	17845589	17846653	.	1065	451	397	526
Scf_2L.17850687.17851676	Scf_2L	17850687	17851676	.	990	540	463	647
Scf_2L.17852914.17853825	Scf_2L	17852914	17853825	.	912	680	417	668
Scf_2L.17855318.17855863	Scf_2L	17855318	17855863	.	546	415	382	456
Scf_2L.17858166.17858491	Scf_2L	17858166	17858491	.	326	189	161	203
Scf_2L.17864728.17865203	Scf_2L	17864728	17865203	.	476	264	161	287
Scf_2L.17870694.17871083	Scf_2L	17870694	17871083	.	390	199	105	228
Scf_2L.17880645.17885329	Scf_2L	17880645	17885329	.	4685	4103	3886	4232
Scf_2L.17885443.17885840	Scf_2L	17885443	17885840	.	398	113	99	110
Scf_2L.17887258.17887847	Scf_2L	17887258	17887847	.	590	301	148	245
Scf_2L.17893021.17893395	Scf_2L	17893021	17893395	.	375	209	133	209
Scf_2L.17903593.17904696	Scf_2L	17903593	17904696	.	1104	615	411	624
Scf_2L.17904815.17905348	Scf_2L	17904815	17905348	.	534	213	117	217
Scf_2L.17911415.17911907	Scf_2L	17911415	17911907	.	493	304	148	275
Scf_2L.17916075.17916568	Scf_2L	17916075	17916568	.	494	274	211	253
Scf_2L.17919863.17920239	Scf_2L	17919863	17920239	.	377	122	124	118
Scf_2L.17920557.17921058	Scf_2L	17920557	17921058	.	502	252	199	312
Scf_2L.17960086.17960431	Scf_2L	17960086	17960431	.	346	144	113	177
Scf_2L.17964669.17965955	Scf_2L	17964669	17965955	.	1287	493	386	566
Scf_2L.17970270.17970924	Scf_2L	17970270	17970924	.	655	229	143	290
Scf_2L.17976032.17976843	Scf_2L	17976032	17976843	.	812	274	254	324
