FBgn0000008	a	FBgn0269458
FBgn0030536	CG11068	FBgn0195512
FBgn0030537	CG12480	FBgn0188722
FBgn0030539	CG1368	FBgn0188723
FBgn0030540	CG11581	FBgn0188724
FBgn0030541	CG11584	FBgn0188725
FBgn0030542	CG12481	FBgn0188727
FBgn0030543	CG11585	FBgn0188728
FBgn0030544	CG13403	FBgn0187514
FBgn0030545	CG11590	FBgn0269070
FBgn0030551	CG11674	FBgn0187513
FBgn0030552	mRpL38	FBgn0188731
FBgn0030554	CG1434	FBgn0188732
FBgn0030555	Fbxl4	FBgn0187511
FBgn0030556	mRNA-cap	FBgn0187510
FBgn0030558	CG1461	FBgn0188735
FBgn0030559	CG13404	FBgn0187509
FBgn0030562	CG9400	FBgn0187508
FBgn0030570	CG12540	FBgn0188742
FBgn0030571	CG14414	FBgn0068697
FBgn0030572	mRpS25	FBgn0187503
FBgn0030573	nmdyn-D6	FBgn0188743
FBgn0030574	sbm	FBgn0187502
FBgn0030575	CG5321	FBgn0188744
FBgn0030576	CG15890	FBgn0187497
FBgn0030577	CG5334	FBgn0269174
FBgn0030578	CG5347	FBgn0269496
FBgn0030581	CG14408	FBgn0068698
FBgn0030582	CG14411	FBgn0084946
FBgn0030583	CG14410	FBgn0188748
FBgn0030584	CG14407	FBgn0187493
FBgn0030586	CG12539	FBgn0187491
FBgn0030587	CG9522	FBgn0195839
FBgn0030590	CG9518	FBgn0187176
FBgn0030592	CG9514	FBgn0187489
FBgn0030593	CG9512	FBgn0187487
FBgn0030594	fiz	FBgn0269109
FBgn0030595	CG14406	FBgn0195838
FBgn0030596	CG12398	FBgn0193660
FBgn0030597	Eo	FBgn0270712
FBgn0030599	CG9030	FBgn0195837
FBgn0030600	hiw	FBgn0187483
FBgn0030603	CG5541	FBgn0188752
FBgn0030605	ND-B18	FBgn0188753
FBgn0030607	dob	FBgn0188754
FBgn0030608	Lsd-2	FBgn0187481
FBgn0030610	CG9065	FBgn0187480
FBgn0030611	CG15027	FBgn0187479
FBgn0030612	CG5599	FBgn0068674
FBgn0030613	Rab3-GEF	FBgn0196137
FBgn0030614	CG9072	FBgn0187478
FBgn0030615	Cyp4s3	FBgn0268708
FBgn0030616	RpL37a	FBgn0269193
FBgn0030617	CG9095	FBgn0187477
FBgn0030620	CG5662	FBgn0188761
FBgn0030622	CG9101	FBgn0187472
FBgn0030623	PPYR1	FBgn0187471
FBgn0030624	CG9106	FBgn0268092
FBgn0030625	CG5877	FBgn0188766
FBgn0030628	CG9114	FBgn0187468
FBgn0030631	CG6227	FBgn0188771
FBgn0030634	CG9164	FBgn0187460
FBgn0030638	CG11655	FBgn0188774
FBgn0030640	CG6294	FBgn0196138
FBgn0030641	CG6299	FBgn0196139
FBgn0030642	CG15642	FBgn0195835
FBgn0030643	CG15641	FBgn0268897
FBgn0030645	Alg14	FBgn0196140
FBgn0030647	CG6324	FBgn0196141
FBgn0030648	CG6340	FBgn0188776
FBgn0030653	CG7860	FBgn0196016
FBgn0030654	CG15643	FBgn0195991
FBgn0030655	CG9213	FBgn0195858
FBgn0030658	CG7872	FBgn0188784
FBgn0030659	CG9215	FBgn0187449
FBgn0030660	CG8097	FBgn0188781
FBgn0030661	Alp11	FBgn0188782
FBgn0030662	Chsy	FBgn0187452
FBgn0030663	CG8117	FBgn0188787
FBgn0030664	CG8119	FBgn0188788
FBgn0030667	CG15599	FBgn0187446
FBgn0030668	CG8128	FBgn0188791
FBgn0030669	CG9240	FBgn0187445
FBgn0030670	Pis	FBgn0068670
FBgn0030671	CG8134	FBgn0269286
FBgn0030672	CG9281	FBgn0187444
FBgn0030673	CG15601	FBgn0188792
FBgn0030674	HUWE1	FBgn0188793
FBgn0030675	CG8191	FBgn0188794
FBgn0030676	CG12379	FBgn0187443
FBgn0030678	CG11679	FBgn0187441
FBgn0030679	CG8206	FBgn0188796
FBgn0030680	CG8944	FBgn0187440
FBgn0030683	Mvd	FBgn0270811
FBgn0030684	CG8260	FBgn0270182
FBgn0030685	Graf	FBgn0195833
FBgn0030686	mRpL3	FBgn0188799
FBgn0030687	RpIIIC160	FBgn0188802
FBgn0030688	CG8952	FBgn0187439
FBgn0030691	Efhc1.1	FBgn0187438
FBgn0030692	mRpS30	FBgn0188806
FBgn0030694	CG15602	FBgn0196006
FBgn0030695	PGRP-LE	FBgn0196005
FBgn0030696	CG8509	FBgn0268167
FBgn0030697	CG8565	FBgn0270819
FBgn0030699	CG8578	FBgn0196007
FBgn0030700	CG15914	FBgn0196008
FBgn0030701	CG16952	FBgn0188812
FBgn0030703	MSBP	FBgn0195998
FBgn0030704	CG15916	FBgn0196009
FBgn0030706	Lrp4	FBgn0188813
FBgn0030707	CG8916	FBgn0196143
FBgn0030710	CG8924	FBgn0188814
FBgn0030715	Or13a	FBgn0188820
FBgn0030716	CG9170	FBgn0187429
FBgn0030717	Slc25A46a	FBgn0188822
FBgn0030718	ND-20	FBgn0187428
FBgn0030719	eIF5	FBgn0187427
FBgn0030720	CG8939	FBgn0196145
FBgn0030722	CG12395	FBgn0187426
FBgn0030723	dpr18	FBgn0188826
FBgn0030724	Nipsnap	FBgn0187424
FBgn0030729	CG12507	FBgn0268489
FBgn0030731	Mfe2	FBgn0270666
FBgn0030734	CG9911	FBgn0187418
FBgn0030735	CG3632	FBgn0188835
FBgn0030738	CG9915	FBgn0270228
FBgn0030739	SWIP	FBgn0270166
FBgn0030740	CG9917	FBgn0187417
FBgn0030742	CG9919	FBgn0187416
FBgn0030743	CG9921	FBgn0187415
FBgn0030744	CG9992	FBgn0187413
FBgn0030745	CG4239	FBgn0188844
FBgn0030746	CG9981	FBgn0195828
FBgn0030747	CG4301	FBgn0196155
FBgn0030748	Traf-like	FBgn0269054
FBgn0030749	AnxB11	FBgn0187411
FBgn0030752	CDC50	FBgn0268450
FBgn0030756	CG9903	FBgn0187405
FBgn0030759	CG13014	FBgn0188848
FBgn0030761	CG9784	FBgn0269151
FBgn0030763	CG9782	FBgn0187401
FBgn0030766	mthl1	FBgn0188852
FBgn0030768	CG9723	FBgn0187398
FBgn0030769	CG13012	FBgn0269752
FBgn0030770	CG13010	FBgn0187396
FBgn0030775	CG9673	FBgn0187389
FBgn0030776	CG4653	FBgn0188859
FBgn0030777	CG9672	FBgn0187388
FBgn0030778	CG4678	FBgn0196160
FBgn0030780	CG13008	FBgn0188857
FBgn0030786	mRpL22	FBgn0188867
FBgn0030787	CG9609	FBgn0187385
FBgn0030788	Sap30	FBgn0269870
FBgn0030789	Rrp45	FBgn0187383
FBgn0030790	CG4768	FBgn0188869
FBgn0030791	CG9132	FBgn0187382
FBgn0030792	CG4789	FBgn0188870
FBgn0030793	Rai1	FBgn0187381
FBgn0030794	CG13005	FBgn0188871
FBgn0030795	ppk28	FBgn0188873
FBgn0030796	CG4829	FBgn0188874
FBgn0030797	CG13004	FBgn0187380
FBgn0030799	CG4872	FBgn0188877
FBgn0030800	Nprl2	FBgn0187377
FBgn0030801	Rcp	FBgn0188878
FBgn0030802	DENR	FBgn0187376
FBgn0030803	CG4880	FBgn0188879
FBgn0030804	CG13002	FBgn0188881
FBgn0030805	wus	FBgn0187373
FBgn0030806	CG13001	FBgn0270860
FBgn0030807	CG13000	FBgn0195827
FBgn0030808	RhoGAP15B	FBgn0188884
FBgn0030809	Ubr1	FBgn0187372
FBgn0030812	wcy	FBgn0187366
FBgn0030813	CG4949	FBgn0188885
FBgn0030814	CG4955	FBgn0188886
FBgn0030815	CG8945	FBgn0187365
FBgn0030816	CG16700	FBgn0188887
FBgn0030817	CG4991	FBgn0188888
FBgn0030823	TTLL1A	FBgn0187355
FBgn0030826	CG12995	FBgn0187354
FBgn0030828	CG5162	FBgn0188898
FBgn0030833	CG8915	FBgn0187350
FBgn0030834	CG8675	FBgn0187347
FBgn0030836	CG8664	FBgn0187344
FBgn0030837	CG8661	FBgn0187343
FBgn0030838	CG5445	FBgn0187327
FBgn0030839	CG5613	FBgn0187332
FBgn0030840	p-cup	FBgn0188916
FBgn0030841	CG8568	FBgn0188915
FBgn0030844	ppk23	FBgn0195824
FBgn0030846	CG12992	FBgn0187334
FBgn0030847	CG12991	FBgn0187335
FBgn0030850	stas	FBgn0188913
FBgn0030851	CG8326	FBgn0188912
FBgn0030853	ND-24	FBgn0187337
FBgn0030854	CG8289	FBgn0188910
FBgn0030855	CG5800	FBgn0187338
FBgn0030858	IntS2	FBgn0188908
FBgn0030859	CG12990	FBgn0188907
FBgn0030863	CG8188	FBgn0188903
FBgn0030864	CG8173	FBgn0188902
FBgn0030868	CG12986	FBgn0195822
FBgn0030869	Socs16D	FBgn0270655
FBgn0030870	CG6398	FBgn0188924
FBgn0030871	CG8142	FBgn0187324
FBgn0030872	Ucp4A	FBgn0186614
FBgn0030873	CG15814	FBgn0195821
FBgn0030874	Spt7	FBgn0268592
FBgn0030876	CG6762	FBgn0188929
FBgn0030877	Arp8	FBgn0187321
FBgn0030878	CG6769	FBgn0188930
FBgn0030880	CG6788	FBgn0188932
FBgn0030881	CG12985	FBgn0188931
FBgn0030883	CG7772	FBgn0187319
FBgn0030884	CG6847	FBgn0188935
FBgn0030887	CG6867	FBgn0188937
FBgn0030889	CG15373	FBgn0188940
FBgn0030890	CG7536	FBgn0195819
FBgn0030891	Ada3	FBgn0268468
FBgn0030892	CG7206	FBgn0187315
FBgn0030893	RhoGAP16F	FBgn0188943
FBgn0030894	Mvb12	FBgn0195818
FBgn0030895	CG7135	FBgn0196012
FBgn0030897	Frq1	FBgn0196167
FBgn0030898	Andorra	FBgn0195995
FBgn0030899	Hesr	FBgn0195993
FBgn0030900	Him	FBgn0196015
FBgn0030904	upd2	FBgn0187312
FBgn0030905	CG15059	FBgn0195813
FBgn0030912	CG6023	FBgn0187309
FBgn0030913	CG6123	FBgn0187308
FBgn0030914	CG6106	FBgn0188948
FBgn0030915	CG6179	FBgn0188950
FBgn0030921	CG6290	FBgn0188952
FBgn0030927	CG15046	FBgn0270551
FBgn0030928	CG15044	FBgn0187295
FBgn0030929	CG15043	FBgn0187294
FBgn0030930	Pgant7	FBgn0187293
FBgn0030931	Xrcc2	FBgn0188954
FBgn0030932	Ggt-1	FBgn0195810
FBgn0030933	CG6470	FBgn0187291
FBgn0030936	CG6481	FBgn0270768
FBgn0030937	CG15042	FBgn0195809
FBgn0030938	CG15047	FBgn0196172
FBgn0030940	CG15040	FBgn0269040
FBgn0030941	wgn	FBgn0269342
FBgn0030943	Nup35	FBgn0196173
FBgn0030944	CG6617	FBgn0195808
FBgn0030945	Ing3	FBgn0195807
FBgn0030946	CG6659	FBgn0195806
FBgn0030947	CG6696	FBgn0195803
FBgn0030949	Cyp308a1	FBgn0188959
FBgn0030951	CG6873	FBgn0187286
FBgn0030952	CG12609	FBgn0187285
FBgn0030954	CCKLR-17D3	FBgn0187282
FBgn0030955	CG6891	FBgn0188960
FBgn0030960	Atg101	FBgn0269678
FBgn0030961	CG7058	FBgn0188963
FBgn0030963	CG7101	FBgn0188966
FBgn0030964	Pvf1	FBgn0188967
FBgn0030966	shop	FBgn0187276
FBgn0030968	CG7322	FBgn0195802
FBgn0030969	Usp39	FBgn0196179
FBgn0030970	CG7326	FBgn0187277
FBgn0030973	CG7332	FBgn0188971
FBgn0030974	Flacc	FBgn0269770
FBgn0030975	SdhBL	FBgn0188972
FBgn0030976	CG7378	FBgn0188973
FBgn0030979	CG14190	FBgn0268709
FBgn0030982	CG7423	FBgn0187272
FBgn0030983	CG15882	FBgn0195801
FBgn0030984	tgy	FBgn0195800
FBgn0030985	Obp18a	FBgn0187268
FBgn0030989	Inx5	FBgn0187265
FBgn0030990	CG7556	FBgn0187264
FBgn0030991	CG7453	FBgn0188980
FBgn0030992	CG33253	FBgn0188981
FBgn0030993	Mec2	FBgn0188983
FBgn0030995	CG7914	FBgn0187263
FBgn0030996	CG14194	FBgn0188985
FBgn0030997	CG7990	FBgn0187262
FBgn0030998	CG14195	FBgn0187258
FBgn0030999	Mur18B	FBgn0188988
FBgn0031000	Muc18B	FBgn0188989
FBgn0031001	CG7884	FBgn0188990
FBgn0031002	CG14196	FBgn0187256
FBgn0031003	CG7889	FBgn0188991
FBgn0031004	CG7992	FBgn0187254
FBgn0031005	Hs3st-B	FBgn0196188
FBgn0031006	rictor	FBgn0195797
FBgn0031008	CG8010	FBgn0187253
FBgn0031010	CG8028	FBgn0195796
FBgn0031011	CG8034	FBgn0269778
FBgn0031012	CG8051	FBgn0187250
FBgn0031016	kek5	FBgn0269366
FBgn0031020	Naa15-16	FBgn0268873
FBgn0031021	ND-18	FBgn0188998
FBgn0031022	CG12204	FBgn0187246
FBgn0031023	CG14200	FBgn0250777
FBgn0031026	CG12231	FBgn0187243
FBgn0031030	Tao	FBgn0187240
FBgn0031032	CG14204	FBgn0189002
FBgn0031036	CG14220	FBgn0187237
FBgn0031037	CG14207	FBgn0196192
FBgn0031038	Tyler	FBgn0268673
FBgn0031039	Shawn	FBgn0196193
FBgn0031040	CG14210	FBgn0270296
FBgn0031041	Pstk	FBgn0195792
FBgn0031042	CG14221	FBgn0195791
FBgn0031043	Naa20A	FBgn0270821
FBgn0031044	MKP-4	FBgn0268569
FBgn0031045	CG14212	FBgn0189007
FBgn0031047	Rcd-1	FBgn0269157
FBgn0031048	CG12237	FBgn0195790
FBgn0031050	Arp10	FBgn0195789
FBgn0031051	Ranbp21	FBgn0084524
FBgn0031052	Elys	FBgn0268268
FBgn0031053	CG14223	FBgn0270835
FBgn0031054	Ssu72	FBgn0189008
FBgn0031055	et	FBgn0195788
FBgn0031057	Ubqn	FBgn0187425
FBgn0031058	CG14227	FBgn0195786
FBgn0031059	CG14229	FBgn0195785
FBgn0031060	CG14231	FBgn0187234
FBgn0031061	CG14232	FBgn0187233
FBgn0031062	CG14230	FBgn0189010
FBgn0031064	CG12531	FBgn0189011
FBgn0031065	CG14234	FBgn0270049
FBgn0031066	COX6B	FBgn0085957
FBgn0031068	Alr	FBgn0189020
FBgn0031069	Pmp70	FBgn0189014
FBgn0031070	CG12702	FBgn0187231
FBgn0031077	THADA	FBgn0187225
FBgn0031078	Nup205	FBgn0083467
FBgn0031080	CG12655	FBgn0190246
FBgn0031081	Nep3	FBgn0192154
FBgn0031082	CG17003	FBgn0187224
FBgn0031085	CG9570	FBgn0189026
FBgn0031086	fd19B	FBgn0187221
FBgn0031089	CG9572	FBgn0189032
FBgn0031090	Rab35	FBgn0187217
FBgn0031091	Phf7	FBgn0268580
FBgn0031092	CG9577	FBgn0270229
FBgn0031093	CG9581	FBgn0270469
FBgn0031094	CG9578	FBgn0269427
FBgn0031097	obst-A	FBgn0269591
FBgn0031098	CG17068	FBgn0187214
FBgn0031099	CG17065	FBgn0270370
FBgn0031100	CG1504	FBgn0187213
FBgn0031103	CG12679	FBgn0193196
FBgn0031106	Syx16	FBgn0187204
FBgn0031107	HERC2	FBgn0189041
FBgn0031109	Obp19a	FBgn0196198
FBgn0031110	Obp19b	FBgn0268415
FBgn0031111	Obp19c	FBgn0187203
FBgn0031114	cactin	FBgn0269906
FBgn0031115	CG11710	FBgn0195778
FBgn0031116	CG1695	FBgn0189043
FBgn0031117	GstT3	FBgn0189044
FBgn0031118	RhoGAP19D	FBgn0187199
FBgn0031119	CG1812	FBgn0269962
FBgn0031126	Cyp6v1	FBgn0189049
FBgn0031128	hydra	FBgn0187193
FBgn0031129	CG1324	FBgn0187192
FBgn0031130	CG15452	FBgn0187190
FBgn0031132	CG15450	FBgn0196019
FBgn0031134	CG1314	FBgn0195983
FBgn0031139	CG11227	FBgn0187187
FBgn0031142	r-cup	FBgn0190852
FBgn0031143	CG1532	FBgn0187182
FBgn0031144	CG1529	FBgn0187181
FBgn0031145	Ntf-2	FBgn0262162
FBgn0031146	CG15449	FBgn0187180
FBgn0031148	Cbs	FBgn0189057
FBgn0031149	Stt3A	FBgn0195971
FBgn0031150	bves	FBgn0189061
FBgn0031155	CG15446	FBgn0195773
FBgn0031157	CG1503	FBgn0195772
FBgn0031159	CG11566	FBgn0189066
FBgn0031164	CG1724	FBgn0195770
FBgn0031169	CG1494	FBgn0189076
FBgn0031170	ABCA	FBgn0188875
FBgn0031171	CG1801	FBgn0187169
FBgn0031174	CG1486	FBgn0196203
FBgn0031182	Cyp6t1	FBgn0195767
FBgn0031183	CG14621	FBgn0189091
FBgn0031184	CG14615	FBgn0195764
FBgn0031187	Usp2	FBgn0189092
FBgn0031188	CG14613	FBgn0187153
FBgn0031189	CG14618	FBgn0189093
FBgn0031190	CG12576	FBgn0187152
FBgn0031191	Cp110	FBgn0189095
FBgn0031194	CG17598	FBgn0187151
FBgn0031195	CG17600	FBgn0189101
FBgn0031196	Cluap1	FBgn0187150
FBgn0031197	CG17601	FBgn0196207
FBgn0031201	CG12446	FBgn0195762
FBgn0031209	Ir21a	FBgn0194387
FBgn0031213	galectin	FBgn0194390
FBgn0031214	CG11374	FBgn0268949
FBgn0031216	Zir	FBgn0194391
FBgn0031217	CG11377	FBgn0194392
FBgn0031219	CG13694	FBgn0194382
FBgn0031220	CG4822	FBgn0194381
FBgn0031224	CG11454	FBgn0194395
FBgn0031227	CG3709	FBgn0194373
FBgn0031228	ND-15	FBgn0194396
FBgn0031229	CG3436	FBgn0194397
FBgn0031231	mRpL10	FBgn0194400
FBgn0031232	CG11617	FBgn0194371
FBgn0031233	Tbc1d15-17	FBgn0194401
FBgn0031235	CG13693	FBgn0194402
FBgn0031238	CG3645	FBgn0194367
FBgn0031239	CG17075	FBgn0085134
FBgn0031240	CG3345	FBgn0194403
FBgn0031244	CG11601	FBgn0194364
FBgn0031245	CG3625	FBgn0194363
FBgn0031247	CG11562	FBgn0194406
FBgn0031248	CG11912	FBgn0194359
FBgn0031249	CG11911	FBgn0194358
FBgn0031250	Ent1	FBgn0194355
FBgn0031251	CG4213	FBgn0194354
FBgn0031252	CG13690	FBgn0194352
FBgn0031253	CG11885	FBgn0194351
FBgn0031254	CG13692	FBgn0194415
FBgn0031255	BBS8	FBgn0194416
FBgn0031256	shv	FBgn0194418
FBgn0031257	CG4133	FBgn0194419
FBgn0031258	CG4297	FBgn0194349
FBgn0031260	Spp	FBgn0194346
FBgn0031261	nAChRbeta3	FBgn0194422
FBgn0031263	Tspo	FBgn0194423
FBgn0031264	CG11835	FBgn0194344
FBgn0031265	CG2794	FBgn0194424
FBgn0031266	Sf3b1	FBgn0270002
FBgn0031267	Ipk2	FBgn0194251
FBgn0031268	cold	FBgn0194426
FBgn0031270	CG13689	FBgn0194428
FBgn0031273	CG2839	FBgn0194431
FBgn0031275	GABA-B-R3	FBgn0194433
FBgn0031279	CG3544	FBgn0194436
FBgn0031281	Saf6	FBgn0194335
FBgn0031282	Pex12	FBgn0194440
FBgn0031283	CG15880	FBgn0194334
FBgn0031284	PGAP2	FBgn0194333
FBgn0031285	CG3662	FBgn0269224
FBgn0031286	CG3862	FBgn0269634
FBgn0031287	CG4291	FBgn0194331
FBgn0031288	CG13949	FBgn0194443
FBgn0031289	CG13950	FBgn0270854
FBgn0031292	CG15824	FBgn0269590
FBgn0031294	IA-2	FBgn0194327
FBgn0031295	CG4375	FBgn0194328
FBgn0031296	CG4415	FBgn0194455
FBgn0031298	Atg4a	FBgn0194457
FBgn0031299	CG4629	FBgn0194324
FBgn0031301	CG14339	FBgn0194458
FBgn0031302	CG14340	FBgn0194459
FBgn0031304	TBC1D23	FBgn0194460
FBgn0031305	Iris	FBgn0194320
FBgn0031306	CG4577	FBgn0194461
FBgn0031307	MFS3	FBgn0194462
FBgn0031309	Tfb4	FBgn0194319
FBgn0031310	Vps29	FBgn0084168
FBgn0031312	Tango14	FBgn0194465
FBgn0031313	CG5080	FBgn0194317
FBgn0031314	IntS14	FBgn0194466
FBgn0031315	CG14341	FBgn0194467
FBgn0031317	Charon	FBgn0194315
FBgn0031320	CG5126	FBgn0194314
FBgn0031321	Tgt	FBgn0194472
FBgn0031322	CG5001	FBgn0194473
FBgn0031323	CG5139	FBgn0194312
FBgn0031324	CG14342	FBgn0194478
FBgn0031327	CG5397	FBgn0194481
FBgn0031331	CG5440	FBgn0194485
FBgn0031335	CG5565	FBgn0194306
FBgn0031337	CG14346	FBgn0194487
FBgn0031343	CG18131	FBgn0194302
FBgn0031344	CG7420	FBgn0194301
FBgn0031345	CG18132	FBgn0194300
FBgn0031347	CG10869	FBgn0194298
FBgn0031351	CG14352	FBgn0194495
FBgn0031356	CG17660	FBgn0194291
FBgn0031357	mRpL48	FBgn0194501
FBgn0031359	Rim2	FBgn0194294
FBgn0031360	CG31937	FBgn0194498
FBgn0031361	CG17652	FBgn0194292
FBgn0031364	CG17648	FBgn0194503
FBgn0031365	CG17650	FBgn0194288
FBgn0031367	c-cup	FBgn0194283
FBgn0031372	CG7295	FBgn0194508
FBgn0031373	CG15358	FBgn0183735
FBgn0031374	Wdr62	FBgn0194509
FBgn0031375	erm	FBgn0194277
FBgn0031377	CG15356	FBgn0194276
FBgn0031378	CG15362	FBgn0194511
FBgn0031379	CG7289	FBgn0194513
FBgn0031381	Npc2a	FBgn0194514
FBgn0031384	CG4238	FBgn0194517
FBgn0031388	CG12674	FBgn0194521
FBgn0031389	CG4259	FBgn0194269
FBgn0031390	tho2	FBgn0194267
FBgn0031391	CG11723	FBgn0194266
FBgn0031392	AIF	FBgn0194524
FBgn0031393	CG15382	FBgn0194525
FBgn0031395	CG10874	FBgn0194264
FBgn0031397	CG15385	FBgn0194260
FBgn0031398	daed	FBgn0194258
FBgn0031399	mio	FBgn0194527
FBgn0031401	papi	FBgn0194528
FBgn0031403	CG15387	FBgn0194255
FBgn0031407	CG4270	FBgn0194533
FBgn0031409	CG4271	FBgn0194534
FBgn0031410	CG17237	FBgn0194239
FBgn0031412	CG16995	FBgn0194536
FBgn0031413	CG9967	FBgn0194236
FBgn0031414	eys	FBgn0194537
FBgn0031417	CG3597	FBgn0194234
FBgn0031418	CG3609	FBgn0194233
FBgn0031419	CG15390	FBgn0194539
FBgn0031420	Atxn7	FBgn0194540
FBgn0031422	PIG-Wa	FBgn0194543
FBgn0031423	CG3557	FBgn0194232
FBgn0031424	VGlut	FBgn0194544
FBgn0031426	CG18641	FBgn0270293
FBgn0031428	CG9886	FBgn0194545
FBgn0031430	CG3528	FBgn0194222
FBgn0031431	CG3515	FBgn0194221
FBgn0031434	insv	FBgn0194215
FBgn0031435	Elba2	FBgn0194550
FBgn0031436	ND-B17.2	FBgn0194214
FBgn0031437	Arpc5	FBgn0194551
FBgn0031440	CG15395	FBgn0194553
FBgn0031441	CG9962	FBgn0194208
FBgn0031442	Prosbeta4R1	FBgn0194555
FBgn0031443	Prosbeta4R2	FBgn0194557
FBgn0031444	Trf4	FBgn0194558
FBgn0031446	Trf5	FBgn0194206
FBgn0031449	CG31689	FBgn0194563
FBgn0031450	Hrs	FBgn0194564
FBgn0031451	CG9961	FBgn0194205
FBgn0031452	Cwc25	FBgn0194565
FBgn0031454	HemK2	FBgn0194202
FBgn0031455	Snapin	FBgn0194201
FBgn0031456	Tnpo-SR	FBgn0194567
FBgn0031457	Snx21	FBgn0194200
FBgn0031458	aph-1	FBgn0194569
FBgn0031459	HINT1	FBgn0194571
FBgn0031460	CG15399	FBgn0194197
FBgn0031461	daw	FBgn0194572
FBgn0031462	CG2964	FBgn0194573
FBgn0031463	G6P	FBgn0194195
FBgn0031466	CG3119	FBgn0194192
FBgn0031467	Cpr23B	FBgn0194574
FBgn0031468	CG2975	FBgn0194575
FBgn0031469	CG18558	FBgn0194191
FBgn0031470	CG18557	FBgn0194190
FBgn0031472	CG2983	FBgn0194576
FBgn0031473	CG3104	FBgn0194188
FBgn0031474	CG2991	FBgn0194578
FBgn0031476	CG8813	FBgn0194579
FBgn0031478	CG8814	FBgn0194580
FBgn0031479	Prx6005	FBgn0194186
FBgn0031483	CG9641	FBgn0194183
FBgn0031484	CG3165	FBgn0194586
FBgn0031485	CG9643	FBgn0194182
FBgn0031488	Ccdc85	FBgn0183749
FBgn0031489	CG17224	FBgn0183739
FBgn0031490	CG17264	FBgn0183743
FBgn0031491	alpha4GT1	FBgn0183738
FBgn0031492	CG3542	FBgn0183745
FBgn0031493	Sf3b2	FBgn0269362
FBgn0031494	CG17219	FBgn0194589
FBgn0031495	GABPI	FBgn0194590
FBgn0031496	CG17258	FBgn0194179
FBgn0031497	SerRS	FBgn0194177
FBgn0031498	CG17260	FBgn0194591
FBgn0031500	CG17221	FBgn0194592
FBgn0031501	CG17261	FBgn0194593
FBgn0031504	CG15403	FBgn0194598
FBgn0031505	ND-B14.5B	FBgn0194169
FBgn0031512	CG15404	FBgn0194603
FBgn0031513	CG3347	FBgn0194605
FBgn0031514	OtopLb	FBgn0194162
FBgn0031515	CG9664	FBgn0194161
FBgn0031516	CG9663	FBgn0194160
FBgn0031517	CG15406	FBgn0194606
FBgn0031518	CG3277	FBgn0194607
FBgn0031519	Fign	FBgn0194159
FBgn0031520	CG8837	FBgn0194608
FBgn0031522	CG3285	FBgn0194611
FBgn0031526	CG8838	FBgn0194613
FBgn0031528	CG15412	FBgn0194155
FBgn0031529	CG9662	FBgn0194154
FBgn0031530	Pgant2	FBgn0194153
FBgn0031531	CG8840	FBgn0194616
FBgn0031533	CG2772	FBgn0183750
FBgn0031534	Snx1	FBgn0194619
FBgn0031535	CG12795	FBgn0194621
FBgn0031536	Cog3	FBgn0194152
FBgn0031538	CG3246	FBgn0194150
FBgn0031540	Pif1	FBgn0194149
FBgn0031542	CG15414	FBgn0194148
FBgn0031544	CG17593	FBgn0194626
FBgn0031545	CG3213	FBgn0194144
FBgn0031546	CG8851	FBgn0194627
FBgn0031547	Sr-CIV	FBgn0067527
FBgn0031548	CG8852	FBgn0194628
FBgn0031549	Spindly	FBgn0194143
FBgn0031550	IFT57	FBgn0194629
FBgn0031554	CG15418	FBgn0194137
FBgn0031558	CG16704	FBgn0194134
FBgn0031559	CG3513	FBgn0194133
FBgn0031560	CG16713	FBgn0194132
FBgn0031561	IM33	FBgn0194131
FBgn0031562	CG3604	FBgn0194130
FBgn0031563	CG10031	FBgn0194129
FBgn0031564	CG2816	FBgn0194635
FBgn0031566	CG2818	FBgn0194636
FBgn0031568	CG10019	FBgn0194639
FBgn0031571	bark	FBgn0194644
FBgn0031573	CG3407	FBgn0194123
FBgn0031574	TTLL4B	FBgn0194649
FBgn0031575	Cep97	FBgn0194650
FBgn0031579	CG15422	FBgn0194653
FBgn0031580	CG15423	FBgn0194654
FBgn0031585	CG2955	FBgn0194658
FBgn0031589	Naprt	FBgn0183730
FBgn0031590	CG3702	FBgn0183727
FBgn0031592	Art2	FBgn0194114
FBgn0031596	CG15429	FBgn0194664
FBgn0031597	CG17612	FBgn0194113
FBgn0031598	Vps53	FBgn0194112
FBgn0031600	CG3652	FBgn0194110
FBgn0031601	Dim1	FBgn0194671
FBgn0031602	CG15431	FBgn0194108
FBgn0031603	CG15432	FBgn0194673
FBgn0031604	Elp3	FBgn0194674
FBgn0031606	CG15439	FBgn0194106
FBgn0031607	Secp43	FBgn0194105
FBgn0031608	CG15435	FBgn0194676
FBgn0031609	CG15443	FBgn0194101
FBgn0031611	FIG4	FBgn0194677
FBgn0031613	HP6	FBgn0263277
FBgn0031617	CG15635	FBgn0194678
FBgn0031619	CG3355	FBgn0194679
FBgn0031620	CG11929	FBgn0194680
FBgn0031621	Elba3	FBgn0194681
FBgn0031622	CG3251	FBgn0194093
FBgn0031623	Taf12L	FBgn0194091
FBgn0031626	CG15631	FBgn0194090
FBgn0031627	fipi	FBgn0194089
FBgn0031628	CG3294	FBgn0194685
FBgn0031630	CG15629	FBgn0194686
FBgn0031631	CG3225	FBgn0194087
FBgn0031632	CG15628	FBgn0194687
FBgn0031633	Fnta	FBgn0194086
FBgn0031634	Ir25a	FBgn0194085
