chromosome	geneName	geneId	transId	transLength	Ps	Pn	Ds	Dn	DoS	alphaMK
2R	CG43108	FBgn0262568	FBtr0304895	656	21	17	4	25	-1.11022302462516e-16	0.870476190476191
2R	CG43109	FBgn0262569	FBtr0304896	261	9	6	1	2	5.55111512312578e-17	0.666666666666667
2R	CG43110	FBgn0262570	FBtr0304897	1671	48	54	39	108	0	0.59375
2R	CG43111	FBgn0262571	FBtr0304898	553	23	8	5	16	0	0.891304347826087
2R	CG43112	FBgn0262572	FBtr0304907	340	13	12	2	7	0	0.736263736263736
2R	CG43114	FBgn0262574	FBtr0304945	278	4	4	0	1	NA	1
2R	CG43123	FBgn0262583	FBtr0305124	989	18	10	25	30	0	0.537037037037037
2R	CG43164	FBgn0262720	FBtr0305703	2338	57	26	17	1	0	-6.75438596491228
2R	CG43171	FBgn0262790	FBtr0305906	575	3	0	0	2	NA	1
2R	CG43177	FBgn0262806	FBtr0305947	255	11	16	4	13	0	0.552447552447553
2R	CG43183	FBgn0262812	FBtr0306056	608	8	10	7	9	0	0.0277777777777779
2R	CG43187	FBgn0262816	FBtr0306048	1223	24	21	11	11	0	125
2R	CG43188	FBgn0262817	FBtr0306049	795	5	1	5	2	0	0.5
2R	CG43189	FBgn0262818	FBtr0306050	601	5	11	0	1	NA	1
2R	CG43190	FBgn0262819	FBtr0306061	664	12	4	7	1	0	-1.33333333333333
2R	CG43191	FBgn0262820	FBtr0306063	1016	26	24	12	11	0	-0.00699300699300709
2R	CG43192	FBgn0262821	FBtr0306064	569	11	11	9	19	0	0.526315789473684
2R	CG43195	FBgn0262824	FBtr0306044	564	17	5	11	7	1.11022302462516e-16	0.53781512605042
2R	CG43202	FBgn0262838	FBtr0306078	390	7	6	9	1	0	-6.71428571428571
2R	CG43207	FBgn0262843	FBtr0306079	455	4	10	2	2	0	-1.5
2R	CG43209	FBgn0262845	FBtr0306121	370	16	13	1	4	0	0.796875
2R	CG43236	FBgn0262881	FBtr0306289	238	4	8	4	23	0	0.652173913043478
2R	CG43237	FBgn0262882	FBtr0306290	482	9	11	7	6	0	-0.425925925925926
2R	CG4324	FBgn0034956	FBtr0072197	1748	60	23	30	1	1.11022302462516e-16	-10.5
2R	CG43244	FBgn0262889	FBtr0306303	435	10	8	7	10	0	0.44
2R	CG43265	FBgn0262946	FBtr0306553	1084	3	8	0	1	NA	1
2R	CG43267	FBgn0262948	FBtr0306554	358	6	10	5	10	0	0.166666666666667
2R	CG43272	FBgn0262961	FBtr0306714	439	6	2	5	9	0	0.814814814814815
2R	CG43277	FBgn0262966	FBtr0306718	415	6	3	3	2	0	0.25
2R	CG4329	FBgn0034745	FBtr0071940	3781	173	7	57	4	5.55111512312578e-17	0.423410404624277
2R	CG43296	FBgn0262988	FBtr0306826	445	8	9	3	6	0	0.4375
2R	CG43308	FBgn0263000	FBtr0306843	487	16	16	8	5	0	-0.6
2R	CG43315	FBgn0263020	FBtr0306900	552	22	19	5	4	1.11022302462516e-16	-0.0795454545454546
2R	CG43316	FBgn0263021	FBtr0306902	576	39	44	7	9	0	0.122507122507123
2R	CG43325	FBgn0263030	FBtr0306908	1229	23	15	8	3	1.11022302462516e-16	-0.739130434782609
2R	CG43327	FBgn0263032	FBtr0306912	1526	8	13	9	4	-5.55111512312578e-17	-2.65625
2R	CG43328	FBgn0263033	FBtr0306913	1526	34	14	12	4	0	-0.235294117647059
2R	CG43340	FBgn0263077	FBtr0306941	10517	207	360	172	356	1.11022302462516e-16	0.159745969711773
2R	CG43341	FBgn0263046	FBtr0306944	1040	5	3	9	2	0	-1.7
2R	CG43351	FBgn0263083	FBtr0307099	242	7	9	4	1	0	-4.14285714285714
2R	CG43352	FBgn0263084	FBtr0307100	338	7	4	4	25	0	0.908571428571429
2R	CG43366	FBgn0263109	FBtr0307307	7712	61	71	169	93	0	-1.11510664551384
2R	CG43370	FBgn0263113	FBtr0307337	4255	168	129	80	41	0	-0.498257839721254
2R	CG43371	FBgn0263114	FBtr0307338	565	14	7	8	6	0	0.333333333333333
2R	CG43396	FBgn0263270	FBtr0308492	575	14	11	10	17	0	0.53781512605042
2R	CG43397	FBgn0263271	FBtr0308493	1047	5	0	1	1	NA	1
2R	CG4363	FBgn0034663	FBtr0071740	687	19	25	6	3	0	-1.63157894736842
2R	CG43646	FBgn0263655	FBtr0310091	444	3	14	10	16	-1.11022302462516e-16	-1.91666666666667
2R	CG43647	FBgn0263656	FBtr0310092	441	10	7	7	19	0	0.742105263157895
2R	CG43659	FBgn0263707	FBtr0310345	336	16	5	8	4	1.11022302462516e-16	375
2R	CG43666	FBgn0263741	FBtr0310390	1023	41	18	25	10	2.22044604925031e-16	-0.097560975609756
2R	CG43667	FBgn0263742	FBtr0310389	907	26	38	11	19	0	0.153846153846154
2R	CG43668	FBgn0263743	FBtr0310388	676	28	22	11	5	-1.11022302462516e-16	-0.728571428571429
2R	CG43677	FBgn0263760	FBtr0310452	903	27	29	13	25	5.55111512312578e-17	0.441481481481481
2R	CG43691	FBgn0263774	FBtr0310562	3614	155	113	80	138	0	0.57737260402057
2R	CG43709	FBgn0263848	FBtr0321317	615	20	30	9	11	-5.55111512312578e-17	-0.227272727272727
2R	CG43710	FBgn0263849	FBtr0321316	1023	77	64	25	26	0	0.200799200799201
2R	CG43711	FBgn0263850	FBtr0321315	1239	39	48	41	20	1.11022302462516e-16	-1.52307692307692
2R	CG4372	FBgn0034665	FBtr0071738	1194	71	31	13	11	0	0.483994878361076
2R	CG43729	FBgn0263980	FBtr0330013	10954	203	113	61	22	0	-0.543439319301388
2R	CG43742	FBgn0263999	FBtr0334012	1508	34	30	33	114	0	0.744582043343653
2R	CG4377	FBgn0034664	FBtr0071739	788	44	27	12	8	-5.55111512312578e-17	0.0795454545454545
2R	CG43775	FBgn0264297	FBtr0331500	2959	32	11	18	17	0	0.636029411764706
2R	CG43776	FBgn0264298	FBtr0331501	2959	28	12	19	25	-5.55111512312578e-17	0.674285714285714
2R	CG43777	FBgn0264299	FBtr0331502	2959	27	11	12	20	0	0.755555555555556
2R	CG43788	FBgn0264329	FBtr0331961	351	7	1	7	6	0	0.833333333333333
2R	CG43795	FBgn0264339	FBtr0331989	5891	213	78	60	14	1.11022302462516e-16	-0.569416498993964
2R	CG43829	FBgn0264377	FBtr0332268	444	11	17	2	9	0	0.656565656565657
2R	CG4386	FBgn0034661	FBtr0071743	1510	60	12	15	3	0	0
2R	CG43919	FBgn0264540	FBtr0333167	474	29	13	6	12	0	0.775862068965517
2R	CG4398	FBgn0034126	FBtr0087157	822	34	22	15	12	1.11022302462516e-16	0.191176470588235
2R	CG43982	FBgn0264714	FBtr0334046	701	9	16	2	2	0	-0.777777777777778
2R	CG4409	FBgn0034128	FBtr0113085	939	40	25	20	10	0	-0.25
2R	CG4554	FBgn0034734	FBtr0071833	8425	440	253	165	58	0	-0.635775862068966
2R	CG4563	FBgn0035006	FBtr0072355	1766	56	13	22	7	0	0.270408163265306
2R	CG4585	FBgn0025335	FBtr0072227	1734	37	11	8	3	1.11022302462516e-16	0.207207207207207
2R	CG4610	FBgn0034735	FBtr0071834	2099	93	53	34	15	1.11022302462516e-16	-0.291756272401434
2R	CG4622	FBgn0035021	FBtr0072344	1892	53	37	29	46	0	0.559885151763741
2R	CG4627	FBgn0033808	FBtr0087738	988	28	27	14	19	0	0.289473684210526
2R	CG4630	FBgn0033809	FBtr0333151	2074	80	50	44	14	0	-0.964285714285714
2R	CG4646	FBgn0033810	FBtr0087764	699	16	11	15	5	0	-1.0625
2R	CG4670	FBgn0033814	FBtr0087760	2370	98	47	40	14	-1.11022302462516e-16	-0.370262390670554
2R	CG4676	FBgn0033815	FBtr0087743	1024	42	22	13	5	0	-0.361904761904762
2R	CG4679	FBgn0033816	FBtr0087759	2159	69	36	41	23	0	0.0699432892249529
2R	CG4681	FBgn0069913	FBtr0301624	1497	26	28	22	16	0	-0.480769230769231
2R	CG4688	FBgn0033817	FBtr0087744	1008	26	21	9	4	0	-0.817307692307693
2R	CG4692	FBgn0035032	FBtr0072339	548	8	1	3	1	0	625
2R	CG4707	FBgn0035036	FBtr0072338	2248	40	14	43	16	-5.55111512312578e-17	0.0593750000000001
2R	CG4712	FBgn0033818	FBtr0087757	2251	67	62	42	74	0	0.474788221056878
2R	CG4714	FBgn0033819	FBtr0087756	2355	96	47	29	58	0	0.755208333333333
2R	CG4716	FBgn0033820	FBtr0087747	792	31	28	16	38	0	0.619694397283531
2R	CG4734	FBgn0033826	FBtr0087754	1011	58	21	7	9	-1.11022302462516e-16	0.718390804597701
2R	CG4741	FBgn0035040	FBtr0072337	881	7	17	9	10	0	-1.18571428571429
2R	CG4744	FBgn0033834	FBtr0087717	4681	236	116	74	90	0	0.595856873822975
2R	CG4752	FBgn0034733	FBtr0071832	3995	235	97	65	9	0	-1.98108747044917
2R	CG4763	FBgn0034910	FBtr0072238	1035	54	48	20	23	0	0.227053140096618
2R	CG4781	FBgn0035043	FBtr0072335	1557	47	29	21	12	0	-0.0797872340425532
2R	CG4797	FBgn0034909	FBtr0072239	2106	77	19	34	11	0	0.237308146399056
2R	CG4802	FBgn0034215	FBtr0329993	1234	32	8	19	3	1.11022302462516e-16	-0.583333333333333
2R	CG4806	FBgn0260456	FBtr0072332	2070	33	37	52	14	0	-3.16450216450216
2R	CG4847	FBgn0034229	FBtr0086935	1501	42	16	26	20	-1.11022302462516e-16	0.504761904761905
2R	CG4853	FBgn0034230	FBtr0086938	2829	85	70	41	13	1.11022302462516e-16	-1.5972850678733
2R	CG4866	FBgn0034232	FBtr0086940	692	26	5	8	1	0	-0.538461538461539
2R	CG4882	FBgn0025336	FBtr0072225	1397	38	30	14	12	0	0.0789473684210525
2R	CG4927	FBgn0034139	FBtr0100547	1449	65	55	29	24	0	-0.0224358974358974
2R	CG4975	FBgn0034266	FBtr0299816	1603	68	53	18	3	-1.11022302462516e-16	-3.67647058823529
2R	CG4984	FBgn0034267	FBtr0301182	1990	78	16	20	2	0	-1.05128205128205
2R	CG4996	FBgn0034271	FBtr0086864	3503	131	67	42	6	0	-2.58015267175573
2R	CG5002	FBgn0034275	FBtr0089546	1998	92	32	27	4	0	-1.34782608695652
2R	CG5009	FBgn0027572	FBtr0089548	2506	79	21	34	5	0	-0.807594936708861
2R	CG5033	FBgn0028744	FBtr0089550	2514	79	39	23	5	0	-1.27088607594937
2R	CG5065	FBgn0034145	FBtr0087108	4185	68	15	11	3	1.11022302462516e-16	0.191176470588235
2R	CG5084	FBgn0034288	FBtr0086804	773	32	23	10	4	0	-0.796875
2R	CG5089	FBgn0034144	FBtr0087107	1664	37	21	29	30	-1.11022302462516e-16	0.451351351351351
2R	CG5098	FBgn0034300	FBtr0329994	5154	119	107	77	39	1.11022302462516e-16	-0.77526395173454
2R	CG5174	FBgn0034345	FBtr0306637	2237	34	15	8	3	1.11022302462516e-16	-0.176470588235294
2R	CG5189	FBgn0034350	FBtr0086694	684	19	3	4	1	0	0.368421052631579
2R	CG5190	FBgn0034351	FBtr0086696	1453	47	29	29	18	1.11022302462516e-16	0.00591016548463363
2R	CG5210	FBgn0013763	FBtr0087111	1541	64	10	17	4	-1.11022302462516e-16	0.3359375
2R	CG5224	FBgn0034354	FBtr0086697	762	37	19	10	3	-1.11022302462516e-16	-0.711711711711712
2R	CG5267	FBgn0034154	FBtr0087021	723	31	7	15	8	1.11022302462516e-16	0.576612903225806
2R	CG5323	FBgn0034362	FBtr0086706	783	17	9	8	1	0	-3.23529411764706
2R	CG5327	FBgn0034363	FBtr0086707	2136	30	2	10	4	1.11022302462516e-16	0.833333333333333
2R	CG5335	FBgn0034365	FBtr0086708	1273	37	13	20	2	-1.11022302462516e-16	-2.51351351351351
2R	CG5339	FBgn0034925	FBtr0072220	1239	32	9	26	4	0	-0.828125
2R	CG5348	FBgn0034156	FBtr0305319	2126	2	3	4	5	-1.11022302462516e-16	-0.2
2R	CG5482	FBgn0034368	FBtr0086661	1637	44	11	16	7	-1.11022302462516e-16	0.428571428571429
2R	CG5522	FBgn0034158	FBtr0087026	3488	93	34	25	3	1.66533453693773e-16	-2.04659498207885
2R	CG5532	FBgn0034902	FBtr0072091	594	14	2	2	2	0	0.857142857142857
2R	CG5539	FBgn0034907	FBtr0072123	1078	37	18	19	19	0	0.513513513513513
2R	CG5543	FBgn0034908	FBtr0072124	2163	86	32	30	14	0	0.20265780730897
2R	CG5549	FBgn0034911	FBtr0301162	6361	161	100	54	28	0	-0.197870452528838
2R	CG5550	FBgn0034160	FBtr0308764	938	46	39	9	2	0	-2.81521739130435
2R	CG5554	FBgn0034914	FBtr0072126	1565	32	12	11	3	0	-375
2R	CG5569	FBgn0034919	FBtr0072128	774	18	11	15	2	0	-3.58333333333333
2R	CG5597	FBgn0034920	FBtr0072131	920	22	9	9	2	0	-0.840909090909091
2R	CG5721	FBgn0034315	FBtr0086771	1601	37	14	39	6	1.11022302462516e-16	-1.45945945945946
2R	CG5726	FBgn0034313	FBtr0086772	3491	75	41	40	14	0	-0.561904761904762
2R	CG5742	FBgn0034304	FBtr0330000	2947	59	15	29	10	0	0.26271186440678
2R	CG5756	FBgn0034301	FBtr0330001	4100	152	119	72	33	1.11022302462516e-16	-0.708133971291866
2R	CG5757	FBgn0034299	FBtr0086787	897	22	11	13	10	0	0.35
2R	CG5767	FBgn0034292	FBtr0086811	854	41	20	8	7	0	0.442508710801394
2R	CG5770	FBgn0034291	FBtr0086812	910	51	35	8	6	0	0.0849673202614379
2R	CG5773	FBgn0034290	FBtr0086813	586	19	7	4	4	1.11022302462516e-16	0.631578947368421
2R	CG5819	FBgn0034717	FBtr0071811	3171	161	61	54	19	0	-0.0768224910101341
2R	CG6018	FBgn0034736	FBtr0071835	1955	108	57	30	4	-1.11022302462516e-16	-2.95833333333333
2R	CG6044	FBgn0034725	FBtr0071823	1484	38	25	12	7	0	-0.12781954887218
2R	CG6145	FBgn0033853	FBtr0087686	2260	69	13	24	10	5.55111512312578e-17	0.547826086956522
2R	CG6191	FBgn0027581	FBtr0330618	3439	87	22	12	5	0	0.393103448275862
2R	CG6197	FBgn0033859	FBtr0087623	2793	132	34	57	12	0	-0.223484848484849
2R	CG6209	FBgn0033862	FBtr0087651	2104	100	73	31	33	0	0.314242424242424
2R	CG6220	FBgn0033865	FBtr0087650	1427	32	9	41	99	0	0.883522727272727
2R	CG6262	FBgn0034121	FBtr0087152	3398	185	96	62	36	-2.22044604925031e-16	0.106306306306306
2R	CG6280	FBgn0033866	FBtr0087628	3706	195	150	65	24	0	-1.08333333333333
2R	CG6337	FBgn0033873	FBtr0087646	1117	54	19	17	13	-5.55111512312578e-17	0.53988603988604
2R	CG6347	FBgn0033874	FBtr0087637	1312	53	11	19	3	0	-0.314465408805032
2R	CG6357	FBgn0033875	FBtr0087638	1441	64	69	31	35	0	0.0450892857142858
2R	CG6362	FBgn0028740	FBtr0089556	1875	80	55	34	14	0	-0.669642857142857
2R	CG6370	FBgn0034277	FBtr0089559	2201	78	40	41	8	-1.11022302462516e-16	-1.62820512820513
2R	CG6385	FBgn0034276	FBtr0089560	2750	136	108	50	10	5.55111512312578e-17	-2.97058823529412
2R	CG6401	FBgn0034270	FBtr0086882	1642	54	28	37	12	0	-0.598765432098765
2R	CG6406	FBgn0034269	FBtr0086883	2740	84	24	20	2	-5.55111512312578e-17	-1.85714285714286
2R	CG6421	FBgn0025827	FBtr0087043	600	21	15	13	4	0	-1.32142857142857
2R	CG6424	FBgn0028494	FBtr0086886	5765	147	25	27	7	1.11022302462516e-16	0.34402332361516
2R	CG6426	FBgn0034162	FBtr0087042	713	12	5	5	3	0	0.305555555555555
2R	CG6429	FBgn0046999	FBtr0087044	672	25	19	14	4	0	-1.66
2R	CG6435	FBgn0034165	FBtr0087045	794	23	21	7	1	0	-5.39130434782609
2R	CG6484	FBgn0034247	FBtr0086903	1590	27	6	34	16	0	0.527777777777778
2R	CG6520	FBgn0034224	FBtr0086953	854	20	23	17	4	1.11022302462516e-16	-3.8875
2R	CG6543	FBgn0033879	FBtr0087643	1051	47	4	14	2	0	0.404255319148936
2R	CG6550	FBgn0034214	FBtr0086961	1782	34	19	38	18	0	-0.179738562091503
2R	CG6553	FBgn0033880	FBtr0087642	1145	48	42	20	25	0	0.3
2R	CG6568	FBgn0034210	FBtr0086964	1813	45	37	37	40	1.66533453693773e-16	0.239444444444445
2R	CG6613	FBgn0034694	FBtr0071758	2412	113	54	36	8	-1.11022302462516e-16	-1.15044247787611
2R	CG6665	FBgn0034172	FBtr0087054	1395	42	12	25	2	0	-2.57142857142857
2R	CG6701	FBgn0033889	FBtr0303989	4934	50	45	113	130	0	0.217692307692308
2R	CG6758	FBgn0034704	FBtr0071767	2392	86	25	26	5	1.66533453693773e-16	-0.511627906976744
2R	CG6796	FBgn0034177	FBtr0087057	1482	67	47	14	5	0	-0.964179104477612
2R	CG6805	FBgn0034179	FBtr0086966	1770	44	31	15	6	0	-0.761363636363636
2R	CG6967	FBgn0034187	FBtr0300276	3410	68	49	58	84	0	0.502450980392157
2R	CG6984	FBgn0034191	FBtr0086979	1030	43	38	15	8	-1.11022302462516e-16	-0.656976744186047
2R	CG7137	FBgn0034422	FBtr0086505	1270	47	27	18	25	0	0.586382978723404
2R	CG7220	FBgn0033544	FBtr0088218	877	13	2	9	3	5.55111512312578e-17	0.538461538461538
2R	CG7229	FBgn0034423	FBtr0086511	2332	61	29	67	127	-5.55111512312578e-17	0.74919323609139
2R	CG7461	FBgn0034432	FBtr0300283	2013	102	17	33	5	0	-0.0999999999999999
2R	CG7544	FBgn0033994	FBtr0087417	1585	34	35	19	7	0	-1.79411764705882
2R	CG7639	FBgn0033989	FBtr0087424	1834	59	17	15	13	5.55111512312578e-17	0.667535853976532
2R	CG7686	FBgn0027525	FBtr0088245	1660	69	29	33	8	0	-0.733695652173913
2R	CG7737	FBgn0033584	FBtr0088105	2317	85	33	26	6	0	-0.682352941176471
2R	CG7741	FBgn0033615	FBtr0088118	3158	30	42	46	9	-1.11022302462516e-16	-6.15555555555556
2R	CG7744	FBgn0034447	FBtr0086535	2585	64	38	51	33	0	0.0823863636363636
2R	CG7745	FBgn0033616	FBtr0088119	1893	36	28	36	6	0	-3.66666666666667
2R	CG7747	FBgn0034109	FBtr0087179	1696	76	30	25	1	0	-8.86842105263158
2R	CG7755	FBgn0034105	FBtr0087182	1317	76	8	26	9	1.11022302462516e-16	0.695906432748538
2R	CG7759	FBgn0033633	FBtr0088133	2174	116	52	35	10	1.11022302462516e-16	-0.568965517241379
2R	CG7763	FBgn0040503	FBtr0088135	767	24	20	8	14	0	0.523809523809524
2R	CG7777	FBgn0033635	FBtr0305074	1479	43	10	16	1	1.11022302462516e-16	-2.72093023255814
2R	CG7786	FBgn0034096	FBtr0087190	579	42	19	11	1	0	-3.97619047619048
2R	CG7791	FBgn0033038	FBtr0086057	2226	18	14	54	11	0	-2.81818181818182
2R	CG7798	FBgn0034092	FBtr0087192	516	27	17	10	1	0	-5.2962962962963
2R	CG7813	FBgn0034133	FBtr0087126	2375	134	74	52	27	0	-0.0635710337202875
2R	CG7845	FBgn0033059	FBtr0086023	1414	24	21	34	14	0	-1125
2R	CG7848	FBgn0034127	FBtr0087160	2103	86	10	52	35	1.11022302462516e-16	0.827242524916944
2R	CG7849	FBgn0033060	FBtr0085977	1075	13	9	28	10	1.11022302462516e-16	-0.938461538461538
2R	CG7856	FBgn0033056	FBtr0086024	2202	36	44	55	54	0	-0.244855967078189
2R	CG7881	FBgn0033048	FBtr0086033	2084	17	9	34	10	0	-0.8
2R	CG7882	FBgn0033047	FBtr0085966	1802	17	15	45	15	0	-1.64705882352941
2R	CG7997	FBgn0034117	FBtr0087171	1680	74	33	19	6	0	-0.412162162162162
2R	CG8008	FBgn0033387	FBtr0114598	2680	33	12	41	6	0	-1.48484848484848
2R	CG8026	FBgn0033391	FBtr0302512	1941	18	5	17	7	0	0.325396825396825
2R	CG8027	FBgn0033392	FBtr0088609	2597	59	38	54	11	0	-2.1617873651772
2R	CG8046	FBgn0033388	FBtr0088620	1878	27	49	44	26	0	-2.07122507122507
2R	CG8060	FBgn0034113	FBtr0087178	4017	137	116	71	32	0	-0.878649635036496
2R	CG8067	FBgn0033891	FBtr0087595	1146	13	11	39	3	1.11022302462516e-16	-10
2R	CG8079	FBgn0034002	FBtr0087368	2156	63	51	29	13	0	-0.805860805860806
2R	CG8080	FBgn0033373	FBtr0088633	1808	16	10	21	4	0	-2.28125
2R	CG8083	FBgn0025709	FBtr0088560	2115	32	15	57	10	0	-1.671875
2R	CG8089	FBgn0033993	FBtr0087418	2000	73	53	57	41	-5.55111512312578e-17	-0.00935516204477116
2R	CG8090	FBgn0033995	FBtr0087404	1780	51	4	24	4	0	0.529411764705882
2R	CG8093	FBgn0033999	FBtr0087401	1334	45	11	24	6	0	0.0222222222222223
2R	CG8102	FBgn0034007	FBtr0087394	1566	79	12	26	6	0	0.341772151898734
2R	CG8152	FBgn0034008	FBtr0087392	1204	43	47	23	16	0	-0.571220930232558
2R	CG8155	FBgn0034009	FBtr0087391	4211	91	50	69	15	0	-1.52747252747253
2R	CG8157	FBgn0034010	FBtr0087390	427	13	11	11	16	0	0.418269230769231
2R	CG8160	FBgn0034011	FBtr0087389	1072	29	46	18	22	-1.11022302462516e-16	-0.297805642633229
2R	CG8170	FBgn0033365	FBtr0088665	3887	75	29	58	7	1.11022302462516e-16	-2.20380952380952
2R	CG8172	FBgn0033362	FBtr0301193	2364	32	18	34	1	-1.11022302462516e-16	-18125
2R	CG8180	FBgn0034021	FBtr0087359	2273	62	38	22	11	0	-0.225806451612903
2R	CG8187	FBgn0034027	FBtr0087355	1698	43	36	17	6	0	-1.37209302325581
2R	CG8192	FBgn0034030	FBtr0087354	1755	58	15	13	2	0	-0.681034482758621
2R	CG8195	FBgn0034032	FBtr0087353	2280	51	15	29	2	-1.11022302462516e-16	-3.26470588235294
2R	CG8197	FBgn0033369	FBtr0088661	1288	33	11	45	8	0	-875
2R	CG8204	FBgn0034033	FBtr0087349	735	17	14	6	6	1.11022302462516e-16	0.176470588235294
2R	CG8207	FBgn0034035	FBtr0087342	1562	27	8	43	2	-1.11022302462516e-16	-5.37037037037037
2R	CG8213	FBgn0033359	FBtr0273385	6171	101	80	104	30	-1.11022302462516e-16	-1.74587458745875
2R	CG8214	FBgn0034037	FBtr0087320	1483	37	31	28	12	0	-0.954954954954955
2R	CG8216	FBgn0033358	FBtr0088671	1203	17	15	21	6	0	-2.08823529411765
2R	CG8229	FBgn0033356	FBtr0290278	1459	13	28	27	38	0	-0.530364372469635
2R	CG8230	FBgn0027607	FBtr0088674	2781	34	8	55	3	0	-3.31372549019608
2R	CG8232	FBgn0033352	FBtr0088654	4051	63	18	96	20	-5.55111512312578e-17	-0.371428571428571
2R	CG8235	FBgn0033351	FBtr0088676	1036	16	15	20	12	0	-0.5625
2R	CG8237	FBgn0033350	FBtr0088653	1220	20	8	31	24	0	0.483333333333333
2R	CG8243	FBgn0033349	FBtr0088652	2410	32	12	30	7	0	-0.607142857142857
2R	CG8245	FBgn0033031	FBtr0086036	1316	9	6	22	11	5.55111512312578e-17	-0.333333333333333
2R	CG8247	FBgn0033348	FBtr0290033	2119	26	52	51	30	0	-2.4
2R	CG8248	FBgn0033347	FBtr0088678	1372	16	15	16	14	1.11022302462516e-16	-0.0714285714285714
2R	CG8249	FBgn0034045	FBtr0087310	1945	88	43	16	7	-1.66533453693773e-16	-0.116883116883117
2R	CG8252	FBgn0033344	FBtr0088682	918	11	8	20	10	0	-0.454545454545455
2R	CG8257	FBgn0033900	FBtr0087580	1813	49	29	42	12	0	-1.07142857142857
2R	CG8258	FBgn0033342	FBtr0088683	1904	20	6	40	6	0	-1
2R	CG8272	FBgn0033337	FBtr0330246	2804	30	21	51	15	0	-1.38
2R	CG8290	FBgn0026573	FBtr0088042	4541	84	66	83	84	0	0.223639455782313
2R	CG8297	FBgn0034050	FBtr0087290	1057	43	11	5	11	0	0.883720930232558
2R	CG8298	FBgn0033673	FBtr0088043	2069	34	16	49	10	0	-1.30588235294118
2R	CG8299	FBgn0034052	FBtr0087291	874	41	28	6	5	0	0.180487804878049
2R	CG8311	FBgn0034141	FBtr0087121	1897	103	64	20	7	5.55111512312578e-17	-0.775312066574202
2R	CG8314	FBgn0034057	FBtr0087268	1280	41	10	9	1	-1.11022302462516e-16	-1.19512195121951
2R	CG8317	FBgn0034140	FBtr0306005	1074	32	10	14	4	0	-0.09375
2R	CG8320	FBgn0034059	FBtr0087202	981	8	2	11	2	-5.55111512312578e-17	-375
2R	CG8321	FBgn0033677	FBtr0087975	1195	20	20	9	7	0	-0.285714285714286
2R	CG8323	FBgn0033903	FBtr0087521	1460	17	4	26	5	0	-0.223529411764706
2R	CG8331	FBgn0033906	FBtr0302452	1023	1	1	5	3	0	-0.666666666666667
2R	CG8335	FBgn0033069	FBtr0085990	1048	11	5	16	19	0	0.617224880382775
2R	CG8343	FBgn0040502	FBtr0085988	631	7	4	18	7	-5.55111512312578e-17	-0.469387755102041
2R	CG8366	FBgn0034054	FBtr0087201	1472	54	21	21	11	5.55111512312578e-17	0.257575757575758
2R	CG8370	FBgn0034060	FBtr0087203	5610	176	101	91	46	0	-0.135251976284585
2R	CG8378	FBgn0027495	FBtr0087983	2474	36	2	38	22	-1.11022302462516e-16	0.904040404040404
2R	CG8386	FBgn0034061	FBtr0087264	656	23	5	6	1	0	-0.304347826086957
2R	CG8388	FBgn0034062	FBtr0087263	1865	50	34	36	23	5.55111512312578e-17	-0.0643478260869568
2R	CG8389	FBgn0034063	FBtr0087204	1882	51	24	45	6	0	-2.52941176470588
2R	CG8397	FBgn0034066	FBtr0087261	921	21	9	15	3	0	-1.14285714285714
2R	CG8399	FBgn0034067	FBtr0087207	2315	83	33	36	10	1.11022302462516e-16	-0.431325301204819
2R	CG8401	FBgn0034069	FBtr0301196	1053	26	46	18	8	-5.55111512312578e-17	-2.98076923076923
2R	CG8405	FBgn0034071	FBtr0087210	3169	98	64	29	23	-1.11022302462516e-16	0.176574977817214
2R	CG8407	FBgn0033687	FBtr0087985	612	10	1	3	1	0	0.7
2R	CG8414	FBgn0034073	FBtr0087255	3133	140	144	55	87	-1.11022302462516e-16	0.349753694581281
2R	CG8435	FBgn0034084	FBtr0087249	1148	57	26	19	10	-5.55111512312578e-17	0.133333333333333
2R	CG8441	FBgn0034086	FBtr0087247	841	32	25	11	11	1.11022302462516e-16	0.21875
2R	CG8468	FBgn0033913	FBtr0087532	3417	88	20	27	19	5.55111512312578e-17	0.677033492822967
2R	CG8485	FBgn0033915	FBtr0087569	3198	73	43	27	7	0	-1.2720156555773
2R	CG8490	FBgn0033715	FBtr0087899	826	18	10	16	14	-5.55111512312578e-17	0.365079365079365
2R	CG8494	FBgn0033916	FBtr0087535	3423	87	38	67	34	0	0.139283299526707
2R	CG8501	FBgn0033724	FBtr0087915	1077	11	7	6	22	0	0.826446280991736
2R	CG8503	FBgn0033917	FBtr0087536	1774	47	28	32	12	0	-0.588652482269503
2R	CG8517	FBgn0034472	FBtr0086329	732	5	3	4	1	0	-1.4
2R	CG8520	FBgn0033734	FBtr0087926	2134	49	18	28	6	0	-0.714285714285714
2R	CG8531	FBgn0033918	FBtr0087538	2001	51	12	37	10	0	0.129411764705882
2R	CG8545	FBgn0033741	FBtr0087934	2949	100	81	44	20	0	-782
2R	CG8547	FBgn0033919	FBtr0301203	2676	70	48	27	4	1.11022302462516e-16	-3.62857142857143
2R	CG8550	FBgn0033742	FBtr0087935	2107	81	108	46	27	0	-1.2716049382716
2R	CG8569	FBgn0033752	FBtr0087940	2334	66	46	36	31	0	0.190615835777126
2R	CG8584	FBgn0033322	FBtr0088724	1103	21	5	18	15	0	0.714285714285714
